[msd = ".*V.*Neg.*Sg3.*"][msd = ".*V.*Sg3.*"]

	Administrative texts –
Dat leat nu stuora hástalusat maid Sámediggi nugo institušuvdna 	ii lea 	nagodan gieđahallagoahtit ja čoavdit .
Fylkasuohkan 	ii lea 	oppalohkái geatnegahttejuvvon fállat sámegiel oahpahusa dahje oahpahusa sámi oahppoplánabuktosiid mielde , maid vuođđun lea sámegiella , kultuvra ja serrvodateallin .
Sámediggi 	ii lea 	konsulteren ieš dieđáhusa birra oktan čielggadusprográmmain , muhto mii leat doalahan dan vuoigatvuođa ahte čađahit konsultašuvnnaid maŋŋeleappos proseassas .
Sámediggi lea dievasčoahkkinmearrádusastis bidjan máŋga eavttu mat mearkkašit ahte 	ii lea 	makkárge suorggis šiehtadallan eret vuoigatvuođaid .
Sámediggi 	ii lea 	oasálaš áššis ja danne ii sáhte seaguhit iežas áššemeannudeapmái .
Maid lea Sámediggeráđđi bargan bissehit dan ahte nationála luondduluossavuotna , Báhčaveaivuotna 	ii billistuvvošii 	mirkobázahusaid geažil maid Mátta Várjjaga ruvkedoaibma luoitá ?
Manne 	ii lea 	ášši dán dievasčoahkkima áššelisttas ?
Konsultašuvdnaprosedyraid 6. čuokkis 	ii lea 	vuhtiiváldojuvvon dohkálaččat dán áššis .
Dan oktavuođas lea imaš go Sámediggi 	ii lea 	čalmmustahttán dáid dáhpáhusaid main lea leamaš nu stuorra mearkkašupmi sámi servodahkii , ja áinnas Sámedikki ásaheapmái álbmotválljen orgánan sápmelaččaid várás 1989:s .
Dalle garvit dan ahte giellaoahpahus mánáidgárddiin 	ii šattašii 	nu soaittáhagas ja sorjavaš ovttaskas olbmuin .
Dalle garvit dan ahte giellaoahpahus mánáidgárddiin 	ii šattašii 	nu soaittáhagas ja sorjavaš ovttaskas olbmuin .
Dán virggi ásaheamis 	ii livččii 	dušše lean positiivvalaš váikkuhus sámegillii , muhto dainna maiddái oainnusin dahkkošii Sámediggi dáin guovlluin ja oččošii dohkkejumi .
) 13.11.00 ođđa minerálaláhkaevttohusa birra , várrepresideanta dárkilasttii Sámedikki mearrádusa áššis ahte ođđa minerálaláhka 	ii galggašii 	meannuduvvot Stuorradikkis ovdal go vuoigatvuohta Finnmárkku eatnamiidda ja čáziide lea čilgejuvvon .
Bohccobierggu ja eará boazobuktagiid eanet náláštuhttin 	ii bajidivččii 	dušše árvoháhkama , muhto maiddái sáhtášii sihkkarastit dan ahte nissonat eanet servet boazodoalus .
Lea maid deaŧalaš deattastit ahte dás 	ii lea 	sáhka dušše das , ahte ” ovddidit bajásčuvgehusa , oahpu ja eará kulturdoaimmaid ” , muhto maiddái das , makkár bálvalusaid sii háliidit fállat geavaheaddjiidasaset , ležžet dal sámit vai eai .
Beroškeahttá sámiid ávžžuhusain ahte 	ii galggašii 	evttohuvvot áššin sámi miellahttovuohta Davviriikkaid ráđis ovdalgo mii leat gergosat dasa , de evttohii presideantagoddi dán áššin ráđi 53. sešuvnnas Københámmanis 29. - 31.10.01 .
Áirras Willy Ørnebakk jearrá , ahte leago riekta ja buorre politihkalaš bargovuohki dahkaluddat dego opposišuvndna 	ii livččii 	ovddidan guoskevaš evttohusa , ja atnit dan evttohusa dego iežas evttohussan .
Mii guoská maŋimuš lađđasii Ráđđehusa váldái nammadit soabaheaddji , de oaivvilda Sámediggi ahte fylkkagielda 	ii galggašii 	oažžut soabaheaddji doaimma , go ovddiduvvo vuosteháhku almmolaš plánaide .
Dain oktavuođain goas stáhtalaš sektuvraeiseváldi lea vuosttildan sierralobi addima , 	ii galggašii 	gielddas leat vejolašvuohta geavahit sierralobi .
Jos dat duođai livččii lean nu , de 	ii livččii 	sámi servodat ná positiivvalaččat ovdánahttojuvvon maŋŋá Sámedikki ásaheami .
Jos dat duođai livččii lean nu , de 	ii livččii 	sámi servodat ná positiivvalaččat ovdánahttojuvvon maŋŋá Sámedikki ásaheami .
Bargun lea leamaš nuortasámiid historjjá ovdanbuktin , kultuvrralaš ja ealáhusvuoigatvuođaid , kulturmuittuid ja árbevieruid suodjaleami hárrái , ja hehttet ahte nuortasámi kultuvra ja historjá 	ii geavahuvvošii 	seaiva gávppálaš ulbmiliidda .
Bargun lea leamaš nuortasámiid historjjá ovdanbuktin , kultuvrralaš ja ealáhusvuoigatvuođaid , kulturmuittuid ja árbevieruid suodjaleami hárrái , ja hehttet ahte nuortasámi kultuvra ja historjá 	ii geavahuvvošii 	seaiva gávppálaš ulbmiliidda .
Dat ahte sáhttet leat siskáldas vuostálasvuođat ja nággu dološvuoigatvuođaid alde lea čuolbma , muhto dát 	ii berrešii 	leat hehttehussan dasa ahte váldá vuolggasadjin dan siskáldas proseassa ealáhusas , ja lávke ovtta lávkki viidáseabbot guohtoneatnamiid čielggadeames čielgaseabbon .
Dat ahte sáhttet leat siskáldas vuostálasvuođat ja nággu dološvuoigatvuođaid alde lea čuolbma , muhto dát 	ii berrešii 	leat hehttehussan dasa ahte váldá vuolggasadjin dan siskáldas proseassa ealáhusas , ja lávke ovtta lávkki viidáseabbot guohtoneatnamiid čielggadeames čielgaseabbon .
	Ii galggašii 	dásseárvodoaibmaplána atnit nissoprošeeavtta sierahuvvon buvttagin , muhto proseassaoassin gos Sámediggi viggá joksat dakkár dási gos lea „ ielga dásseárvo- ja nissonperspektiiva barggustis .
Ovdalgo Sámedikki mearrádusat leat fámus , de gáibiduvvo ahte jienastuvvon jienastagaid eanetlohku lea daid mearridan , jos jo eará láhkai 	ii lea 	„ „ a mearriduvvon dán „ oahkkinortnegis .
Ovdal go Sámedikki mearrádusat leat fámus , de gáibiduvvo ahte jienastuvvon jienastagaid eanetlohku lea daid mearridan , jos jo eará láhkai 	ii lea 	„ „ a mearriduvvon dán „ oahkkinortnegis .
Danin 	ii galggašii 	sámi servodaga buohtastahttit našuvnnalaš servodagain resursaid juogadeami oktavuoÜas .
Sámedikki prinsihpalaš oaidnun lea ahte 	ii galggašii 	ásahir oÜÜa hálddašanmálliid ovdal go sámi vuoigatvuoÜalávdegoddi lea geargan bargguinis Norlánddas , Tromssas ja lullisámi guovllus .
Dákkár báikkálaš guovddá ¿iid galggašii ásahit daid guovlluide gos giella 	ii lea 	nanus .
Danin 	ii galggašii 	sámi servodaga buohtastahttit našuvnnalaš servodagain resursaid juogadeami oktavuoÜas .
Sámedikki prinsihpalaš oaidnun lea ahte 	ii galggašii 	ásahir oÜÜa hálddašanmálliid ovdal go sámi vuoigatvuoÜalávdegoddi lea geargan bargguinis Norlánddas , Tromssas ja lullisámi guovllus .
Dákkár báikkálaš guovddá ¿iid galggašii ásahit daid guovlluide gos giella 	ii lea 	nanus .
Dásseárvodoaibmaplána 	ii galggašii 	atnit sierahuvvon buvttagin , muhto proseassaoassin Sámedikki „ ielga dásseárvo- ja nissonperspektiiva áigumusain ie ¿as barggus .
Dásseárvodoaibmaplána 	ii galggašii 	atnit sierahuvvon buvttagin , muhto proseassaoassin Sámedikki „ ielga dásseárvo- ja nissonperspektiiva áigumusain ie ¿as barggus .
Ohcii ii leat sádden prošeaktačilgehusa , mii mearkkaša ahte ohcan 	ii lea 	dievaslaš .
Doarjja suohkaniid báikkálašlávdegottiid doaimmaide , mielddisbuvttášii stuora ekonomalaš váikkuhusaid máid foanda 	ii sáhtašii 	čoavdit muđui váttis ekonomalaš dili geažil .
Sámedikki doarjjastivra 	ii árvvoštallá 	droššedoaimma álggaheami nu erenoamážiin ahte sáhttá spiehkastit dábálaš doarjjageavadis .
Meahccebiila vuodjá hárve olggobealde luotta go biila 	ii lea 	ráhkaduvvon dan gierdat , muhto ATV:in sáhttá álkit vuodjit juohke saji .
Minerálanjuolggadusevttohusas válddahallojuvvo movt Sámedikkis almmolaš orgánan čađačuovgi vugiin sáhtášedje leat individuála ja njuolgga šiehtadallamat minerálaservviiguin minerálaaktivitehtaid vejolašvuođa birra sámi guovlluin vaikko láhka 	ii gozihivččiige 	sámiid vuoigatvuođaid álgoálbmogin .
Dovdomearkan daid doaluide mat heaittihuvvojit , lea dat go dáid doaluid divodeapmi livččii hui divrras ja doaibmaekonomiija liikká 	ii buorránivččii 	dan geažil .
Nu leat šaddan dahkat vai vuosttašgiela ja nuppigiela oahpahus nannejuvvošii , ja vai eará fágaid oahpahus 	ii fuoniduvvošii 	.
Ekonomalaš lávdegoddi lea raporttas Reindriften - skatter og avgifter , meroštallan ahte jahkásaččat seasttášii boazodoallu oktiibuot 31,5 miljon ruvnno jos ealáhus 	ii dárbbašivččii 	máksit geardedivada go investere bargoreaidduid ja jos dat luvvejuvvošii bensindivadis .
Go ILO 169 lea viehka viidát árvvoštallojuvvon dan rájes go Norga dohkkehii konvenšuvnna 1990:s , ja dat movt konvenšuvdna riikkaidgaskasaččat lea geavahuvvon , de 	ii berrešii 	leat váttis heivehit dán konvenšuvnna olmmošvuoigatvuođalágas nugo earret eará ON konvenšuvdna siviila ja politihkalaš vuoigatvuođaid hárrái ja ON ekonomalaš , sosiálalaš ja kultuvrralaš vuoigatvuođaid konvenšuvdna leat heivehuvvon .
Minerálanjuolggadusevttohusas válddahallojuvvo movt Sámedikkis almmolaš orgánan čađačuovgi vugiin sáhtášedje leat individuála ja njuolgga šiehtadallamat minerálaservviiguin minerálaaktivitehtaid vejolašvuođa birra sámi guovlluin vaikko láhka 	ii gozihivččiige 	sámiid vuoigatvuođaid álgoálbmogin .
Muhto dákkár vuohkái dárbbaša ollu eanet áiggi , 	iige livččii 	lean vejolaš fidnet nu viiddis dieđuid .
Masá okta golmmát oassi ásahusain lohket ahte 	ii oččošii 	vástádusa sámegillii .
Vuollel bealli ásahusain lohket ahte 	ii oččošii 	vástádusa sámegillii jos válddášii telefovnna bokte oktavuođa .
26 % leat vástidan ahte várra oččošii vástádusa sámegillii , ja 32 % ásahusain lohket ahte 	ii oččošii 	sámegiel vástádusa .
Masá bealli fylkkagielddalaš ásahusain lohká ahte 	ii oččošii 	vástádusa sámegillii .
Davvesiiddas ja Fálesnuoris lea goittotge hui unna vejolašvuohta oažžut sámegielat vástádusa eará guovlluid ektui , ja eanáš ásahusat vástidit ahte 	ii oččošii 	vástádusa sámegillii .
Diagrámmas boahtá ovdan ahte lágabui bealli ásahusain ( 39 - 46 % lohket ahte 	ii oččošii 	vástádusa sámegillii vaikke man láhkai válddášii njálmmálaččat oktavuođa .
Buot ásahusat Davvisiiddas ja Fálesnuoris ( 100 % leat vástidan ahte 	ii oččošii 	vástádusa sámegillii telefovnna bokte .
Nu ollu go 22 % dain lohket ahte 	ii oččošii 	vástádusa sámegillii .
Ii oktage sámi ásahus loga ahte 	ii oččošii 	vástádusa sámegillii .
Dušše okta ásahus ( 14 % lea vástidan ahte 	ii oččošii 	gásttašeami , vihaheami ja eahkedaččaid sámegillii .
Davvisiidda báhppasuohkan maid gullá seamma ortnegii , muhto lea liikká vástidan ahte 	ii oččošii 	ovttage daid ovdalis namuhuvvon bálvalusaid sámegillii vaikke bivddášiige .
Sullii bealli dearvvašvuođa- ja sosiálaásahusain leat vástidan ahte vaikke bivddášii , de 	ii oččošii 	bálvalusaid sámegillii .
Ii oktage loga ahte 	ii oččošii 	vástádusa jos válddášii njálmmálaččat oktavuođa sámegillii .
Jos máhttá čállit sámegiela , de leat stuorát vejolašvuohta ahte oaidná sámegiela dili Norggas menddo fuotnin , ahte 	ii lea 	duhtavaš mo iežas gielda ovddida sámegiela ja kultuvrra , ja ahte dadjá dehálažžan mánát ohppet sámegiela , dan ektui maid sámegielat olmmoš gii ii máhte čállit sámegiela .
Ja dat digaštallan lea dehálaš ja dat 	ii galggašii 	šaddat oainnuid duohkut deike dovddaheapmin ja bealkkašeapmin .
Dađibahábut 	ii lea 	duohtavuohta ná buohkaide .
Ná 	ii berrešii 	leat 2008:is .
Sámediggeráđđi čuoččuha ahte dál 	ii lea 	makkárge ruvkedoaibma stáhta minerálaid ektui Finnmárkkus mainna sáhtášii vuođustit ahte láhkaásahusas livččii hui hoahppu .
Ii danne ahte dásseárvu dahje ovttadássásašvuohta boazodoalus 	ii livččii 	deaŧalaš Sámediggái .
Sámediggái lea deaŧaleamos guhkes áiggi badjel čoavddus , 	iige galggašii 	dárbbašit jahkásaččat rahčat dan beali bušeahttaráđđádallamiin fylkkadikkis , dadjá Laila Susanne Vars .
Dál lea vuođđoskuvlaoahpaheaddjioahppu Sámi allaskuvllas , muhto mihkkege 	ii galggašii 	hehttet earáid fállamis dákkár oahpu sámegillii .
Mun in sáhte dadjat eará go rámiidit dán oahpu buollisearaid , go almmá nana buollisearaid haga geain lea sávaldat nannet ja ovddidit duoji ja máttasámegiela , 	ii livččii 	dát kursa álggahuvvon , cealká Jåma .
Oanádusa geažil loahppageaži B-bustávva čállojuvvo stuorra bustávain , ja maiddái danin vai namma 	ii seahkanivččii 	sápmelaš goargguin Sombyin
Oanádusa geažil loahppageaži B-bustávva čállojuvvo stuorra bustávain , ja maiddái danin vai namma 	ii seahkanivččii 	sápmelaš goargguin Sombyin
Ságadoalligilvvus nubbin báhcán Tiina Sanila-Aikio sávvá , ahte ovddit válgabadjái mihtilmas guovtti jovkui juohkášuvvan 	ii boađášii 	váivvidit dál álggahuvvon válgabaji barggu .
” In oainne makkárge eastaga dasa , ahte manin sámediggi 	ii sáhtášii 	várret guovddážis doaimmahatlanjaid guovtte olbmui .
Sámediggi gávnnaha , ahte ILO 169-soahpamuša ratifiseren 	ii váikkuhivččii 	juohkeolbmovuoigatvuođaide iige eará láhkaaddimis dáhkiduvvon geavahan- ja návddašanvuoigatvuođaide dáhkidemiin maiddái guovllus ássi váldekultuvra ovddasteaddjiid vuoigatvuođaid geavahit luonddu ja luondduresurssaid sierralágain mearriduvvon eavttuiguin .
Sámediggi gávnnaha , ahte ILO 169-soahpamuša ratifiseren 	ii váikkuhivččii 	juohkeolbmovuoigatvuođaide iige eará láhkaaddimis dáhkiduvvon geavahan- ja návddašanvuoigatvuođaide dáhkidemiin maiddái guovllus ássi váldekultuvra ovddasteaddjiid vuoigatvuođaid geavahit luonddu ja luondduresurssaid sierralágain mearriduvvon eavttuiguin .
Nuppástus ii eretváldde dan vejolašvuođa , ahte čoahkkinbovdehusaid ja áššelisttuid 	ii sáhtášii 	sáddet dán árat .
Nuppástus ii eretváldde dan vejolašvuođa , ahte čoahkkinbovdehusaid ja áššelisttuid 	ii sáhtášii 	sáddet dán árat .
	Aššu –
Ádjás 	ii lea 	oba ámadeadju ge !
Lohká Nils Oskar Anthi , gii dál 	ii beassá 	geahpedit báberdoaimma ja bargagoahtit eanet návetbargguid fas .
Livččii imaš jus 	ii dovdošii 	
- 	Ii lea 	mu ge goasse giitán !
Muhto máilmmis olggobealde norggas 	ii lea 	seamma ipmárdus ja buorremielalašvuohta njuorjobivdui .
Muhto máilmmis olggobealde norggas 	ii lea 	seamma ipmárdus ja buorremielalašvuohta njuorjobivdui .
Son oaivvilda ahte Sámi Grand Prix 	ii galggašii 	leat dego popkonsearta , muhto baicca ovddidit min iežamet kulturárbbi ođđa vugiiguin .
In dieđe gal maid muitalit dát namat dán olbmo birra , muhto 	ii lea 	nu dehálaš , go ruoššat ieža gal dihtet maid namat mearkkašit .
Ođđa oahpahusrefoarbma addá vejolašvuođaid váldit oahpu allaskuvllas vaikko 	ii lea 	lohkangelbbolašvuohta .
Son vulggii gollefatnasiin vánddardit , ja go ollii iežas boares ruoktobáikái , su áhčči muitala ahte vieljat leaba gottahallan , ja ahte sus 	ii lea 	eambbo okta bárdni šat .
Ii oktage beasa vuodjit nu ahte nubbi 	ii guoska 	su skuterii gilvvuin , lohká Hætta , gii lea duhtavaš ahte áššis lea celkon duopmu .
Guovttes leaigga hirbmat stuorrat ja okta , gean namma lea Nikkala , 	ii lea 	stuoris šattus , vaikko lei boaris .
Kongsnes ii dieđe mii dáhpáhuvvá Reinproduktera rusttegiiguin , 	iige lea 	go fitnodat dáid viežžan ruovttoluotta .
Lei dáluisit gean bážii , danin go isit 	ii lea 	dalle das go dálueamit bijai reaŋgga fáktet bealddu .
Muhto 	ii lea 	nu aktolagan ášši obanassiige .
WPD gal ii áiggo billistit bargomovtta earáin geat leat iskame eará energigálduid , muhto mii diehtit ahte 	ii guoská 	min áššái hukset bieggamilluid , muhto lea baicca luonddu ja energibuktaga ášši .
Go rieban holvu báikái njálmmiid , de dat 	ii lea 	buorre .
Go Mari dás nagoda jiena geavahit ahte 	ii lea 	ilá bastil iige ilá linis , addá dát buori ollislaš bohtosa .
Mii Tine « 	ii guoská 	de masset sii miellahttuid priváhta meieriijaide , muhto goitge lea dáhkádussan sidjiide geat eai leat miellahttut jus priváhta geahččaleamit eai lihkostuva .
– Lea čielggas ahte obbaealuid ii sáhte nu guođohit ahte 	ii guoská 	earáid dálveorohagaide , lohká Hætta .
Dakkár ágga ii leat dás muđuigo čujuhus transcendeanssa albmavuođas , dego 	ii livččii 	doarvái čájehit vel smávimus geaži eará argumeantamáilmmis .
Ja nu 	ii dáhpáhuvvá 	dál ge .
Muhto dasa 	ii lea 	Bargiidbellodaga sámediggejoavku ovttaoaivilis .
Mihkkal 	ii lea 	dat buot viisámus , muhto hui buorre bargat .
Gaskabeaivvi maŋŋá 	ii galggašii 	leat beaivvážis go 15 minuhta ja mii gárttaimet rahpanseremoniijas čohkkát 3 diimma ovtta sajis .
Čállingotti vuođđudeamis lea maiddái nu olu geavatlaš váigatvuođat , ahte dat 	ii livččii 	ollašuvvan buoril ja muđuige ON:a organisašuvdna ja bargovuogit eai orron leamen oahppásat sidjiide , geat ledje evttohusa duohken .
Dát 	ii lea 	gal dan dihte nu ahte dušše sápmelaččat čoahkkanit márkaniidda , muhto oallugat earát maid .
Jus dás 	ii lea 	buollašeabbo go doin earáin , de gal beasan agibeaivvi gullat Biera-ránnjás ahte su áidde siskkobealde lea buollašeabbo .
– Muhto dilli 	ii lea 	seammalágan buot orohagain .
– Dan maid sáhtán dadjat , lea ahte čoavddus 	ii lea 	heahterádjosa ásahit .
Čoavji gal maid 	ii galggašii 	, muhto eamidis lea nu njálgga biebmu !
	Avvir –
– Válggaid oktavuođas mii doarjjuimet su ja duođai barggaimet dan nala ahte Árja beassá Sámediggái , lohká Triumf , gean mielas 	ii lea 	Vars bargan válgaprográmma ektui riekta .
Son dattege 	ii áiggošii 	gal moktege geavahit fillengoansttaid ahte beasašii guhkidit bivdolobis , numo ahte čujuhusa fárrehit Ohcejohkii , muhto dan leaš vel oaidnit mo dás rassá ovddos .
– Rávis olmmoš 	ii galggašii 	nie cealkit mánáide , loahpaha Rasmussen .
Olbmot sáhttet muitalit ahte leat goddán luosaid vaikko 	ii doalašiige 	deaivása , ja nuppe beliid maid , dadjá soames báikkálaš guolásteaddji .
– Smávit báikkiin gos lea dat ealli sámi kultuvra ja danin 	ii galggašii 	duvdit daid smávva báikkiid , lohká Aslak Pieski , gean mielas ii leat vuogas go buot čoahkkanit Anárii .
	Ii gánnáhahtii 	divvut vistiid , Marja Keskitalo , guovllu hoavda Yles , ii ádde manin Juuso ná čuoččuha go dát han lei su iežas mearrádus .
Son muitala , ahte sii leat iskan bargat Ohcejohkii bargosajiid ja stággomávssu geažil ohcejohkalaččaide 	ii bázášii 	šat mihkkige .
Son ballá dán njuolggadusmoivvis liikká báhcit váikkuhusaid , vaikke dál gielddus 	ii šattašiige 	válddálažžan .
– Ovdal ožžo dušše mearraguollebivdit dakkár doarjaga , go Sámediggi oaivvildii ahte sáivaguolásteamis 	ii lea 	dienas , lohká Vars .
Son lohká Trine ( 6 ) , gii dál álgá skuvlii , galgá stuorraoappá Kristine ( 11 ) čuovvut skuvlii , jus 	ii lea 	vejolaš , de doalvu son mánáid skuvlii , go ii oskkil guđa-jahkásačča okto mannat .
Mis dađi bahábut 	ii lea 	ordnejupmi mii duste dáid áššiid .
	Ii galggašii 	nama rievdadit , iige nama galgga tulkot ja botnjat .
Mii leat geahččalan dárkilit bargat nu ahte boazodoalli 	ii galgá 	oažžut unnit go dan mii bohccos lei árvu , čilge Stenseth .
– Go dákkár gáržžes lanjain čohkkájit olu olbmot , de lea maid bahá ahte dieđut mat eai galgga boahtit albmosii gullojit , ja dat 	ii galggašii 	dáhpáhuvvat , lohká Helnner .
Honnesvági deklarašuvnnas boahtá justa dat ovdan ahte sápmelaččat berrejit oažžut iešmearrideami čáziide ja eatnamiidda , ja jus dan oaivvilda , de han 	ii lea 	eahpečielggas ahte leat dan guvlui čujuheamen ahte sirret eret eará álbmogis , oaivvilda Eriksen .
Dáhtto bilistit ja bálkestit Birasgáhttendepartemeantta gulahallanráđđeaddi , Gard Nybro Nielsen , muitala ahte stáhtačálli Heidi Sørensen 	ii astá 	háleštit Ávvirin .
Dat mearkkaša ahte áššis 	ii šaddá 	ráŋggáštus ášši .
Fallehan iešmielas Boles Frank Nilsen gii lea váldodutki dán áššis 	ii duostá 	vuos áibbas sihkkariid dadjat sáddejit go dán doarrun ášši maiddái Riidočoavdinráđđái .
Juste dal 	ii astá 	leat nu ‹ ‹ čáppat › › go lea ávvudeami ruksesrussan go dán giđa geargá joatkkaskuvlla oahpan .
– Ođđa vihtan Son gii jođiha ášši eiseválddiid ovddas , áktor Magnus Nilsson , muitala ahte 	ii lea 	nu ollu ođas mii lea boahtán ovdan diggegotti rájes .
Vurdet čoahkkima Eira 	ii ii 	loga diehtit manne loattat eai leat vel vuorbáduvvon .
Die 	ii lea 	boazosápmelačča vuohki ealu lihkahallat , beaškala son .
– 	Ii livččii 	rievtti mielde dárbu stuoridit sávzaealu , jus buot sávzzaid ealihivčče .
Ja jus buot sávzzaid ealihivčče , de 	ii livččii 	dárbu buhtadusskoviid ge deavdit šat , loahpaha Henriksen gii ovdalii dáhtošii iežas elliid gávdnat heakkas guohtumis , dan sadjái go buhtadusskoviin eallit .
Mathisen lohká 	ii galggašii 	dáhpáhuvvat ahte eallit darvánit boares áiddiide , muhto čilge ahte leat ollu boares áiddit ja ii oktage váldde ovddasvástádusa daid čorget .
Jus Árrana mánáidgárdi 	ii livččii 	viiddiduvvon , de livččii Emil Johan šaddat álgit dárogielat mánáidgárdái .
– Lea hui dábálaš buohkat vigget bargat ahte bohtet buorebut oidnosii politihkas , go dál han 	ii lea 	go moadde jagi de lea fas Sámedikki válga .
– Álo go galgat oahpahit olggobeale skuvlla de lea issoras bargu čilget ja nágget hálddahusain manne mii dárbbašat vuolgit , ja dasa 	ii galggašii 	leat dárbu go máhttoloktenplánas čuožžu čielgasit makkár rievttit ohppiin leat , lohket oahpaheaddjit Ávvirii .
Buollinalárpma gudni Ellen Kristine ii jáhke ahte lei mannat ná bures jus sudno 	ii livččii 	leamaš buollinjuman bartta siste .
– Min neahttasiiddus 	ii lea 	vejolaš kommenteret , muhto mis lea « facebook » neahttasiidu iige doppege leat vuhtton cielaheapmi , inge leat gullan dange ahte livččii mannan duššás bargu maid mii bargat , čilge son .
Min fitnodagas lea dat oassemearri hui ollu , vai dáhkádus 	ii šattašii 	nu divrrasin , muhto dál gal lea gártan dat oba divrrasin go nuppes juo leat billisteamit leamaš , dadjá Olsen Vákšugoahtá Bahádahkki jálluvuođa geažil , ii oainne Kåfjord Vekst fitnodat eará ráđi go fáktegoahtit iežaset olgošiljuid .
Earret eará 	ii lea 	mu mielas riekta sirdit NRK Sámi Radio Sámedikki vuollái , dadjá Eliassen .
Ja manne 	ii galggašii 	Sámediggi oažžut nammadan válddi sámi ásahusaid stivrii , dajai Trosten earret eará .
NSR táhpii Aili Keskitalo mielas 	ii lea 	šállošahtti ahte áššái lea šaddan gudni deháleabbo go gulahallat ásahusaiguin maidda dat guoská .
	Iigo livččii 	vejolaš ovttasbargat advokáhtaid haga buohkaide buorrin .
	Ii galggašii 	dárbu Sámediggepresideanta Egil Olli ii hálit dadjat galle sáni ášši birra go ii loga iežas leamaš mielde meannudeames dan .
Son dadjá oanehaččat ahte : – 	Ii galggašii 	leahkit dárbu dakkár njuolggadusaide , muhto lea buorre go bohtet .
Dážat ealihit rádjagávppiid Su mielas 	ii galggašii 	Suomenrinne gávpi ollege bidjat Norgga ruvnnot hattiid go eai dattetge čuovo daid .
– 	Ii galggašii 	Norgga hattiid ba bidjat ge , mieđiha dát gávpejas Ari Naapanki , gii ii loga sin bidjat ollege Norgga hattiid , go olles beaivi manná hattiid rievdadit beaivvi kurssa mielde .
Báŋku máksá Jus 	ii livččii 	Helgeland Sparebank leamaš mielde ruhtadeami Mari Boine professorvirggi mii lea oasseáigebargu guovtti jahkái , de ii livččii Nesna allaskuvllas dása .
Báŋku máksá Jus ii livččii Helgeland Sparebank leamaš mielde ruhtadeami Mari Boine professorvirggi mii lea oasseáigebargu guovtti jahkái , de 	ii livččii 	Nesna allaskuvllas dása .
Goitge 	ii liiko 	son dasa .
Porsáŋgulaččat ballet ahte njealját sajiin 	ii beasašii 	sin áirras Sámediggái ja dalle nohká maid sin áŋgiruššan bargat válgalisttuin .
Ohcanáigemearri lea álgoálggus maŋiduvvon miesemánu 15. beaivái , ja álgin lea maŋiduvvon čakčamánu 15. beaivái , muhto 	ii lea 	vejolaš skuvlaálgima rádjái beassat studeantan midjiide , hástala Sámi allaskuvlla Internašunaliseren- ja rekrutterenkonsuleanta Isak Nils Eira .
Jođiheaddji gii ii máhte leaikkastallat , 	ii berrešii 	leat jođiheaddji dadjet dutkit , čilge Eikjok gii lea láhttu Harstad Allaskuvlla buvttadanfága čaibmanjoavkkus mii lágida konferánssa .
Dálá ságadoalli tittel 	ii lea 	menddo láivi su mielas .
– 	Ii lea 	ulbmil dáinna ruhtademiin dinet , ii oktage dine ruđa go ruhtada teáhtera Norggas .
Ellen J. Sara Eira mielas 	ii galggašii 	boares oahpponeavvuin dádjut ja dadjá dan leat badjelgeahččanvuohta go Sámediggi juohká sámemánáide boares girjjiid ja rábmojit , ahte leat bures bargan jus eai dasa lassin bargga maid eará .
Son livččii duđavaš ruovttuin jus guohpahádja 	ii váivvidivččii 	– Mun lean bivdán Ohcejoga hearráin veahki .
– Diibmá ja mannan jagi lei erenomáš buorre biergofievrrideapmi , nu ahte dát jahki lea dat 	ii lea 	dábálaš dásis .
Muhto mii maiddái fertet geahččat mo 	ii galggašii 	geavahit luonddu , nu go dál leat máŋggas geat vudjet skohteriin dušše duššáš ja dan mii fertetge geahččalit gáhttet ahte nu dahkko , dadjá Thomas Hansen , gii lea okta Luonddu Nuoraid álggaheddjiin .
	Ii julošii 	ollus Beaivváš Teáhterii , maid giellabargu geahpeduvvošii ja oahpahus ja oahpponeavvobuvttadeami bargu gillášii go geahpeduvvo .
Mearrasámi gielddasátnejođiheaddjis leat stuorra jáhkku dan bargui máid Kalstad rohkki lea bargan , 	iige lea 	almmustuvvon goasse ge .
Nikken Turi lohká ahte Guovdageainnu suohkan 	ii lea 	doarvái buori dieđuid addán olbmuide .
Soaitá ahte dát lea ovttaskas dáhpáhus man ii ábut čatnat dušše dasa ahte guohtumat fas soitet gáržume , go dán dálvvi han 	ii lea 	gullon heajos ealát ja guohtun .
Muhto dat 	ii galggašii 	hehttet mánáid oahppamis nu guhká go mis leat árbevirolaš ealáhusat ja birgenlágit , ja mis leat olbmot geat dan hálddašit ja máhttet maiddái dan oahpahit mánáide .
Movt mii muđui galggašeimmet nagodit jođihid siidda , jos buot nuvttá barggus 	ii livččii 	lean soames ovdamunni ?
Dološ olbmot sávve ahte boares máhtebeaivvi ovdal 	ii galggašii 	eisege bivaldit dahje njázudit , ahte ii šattašii garra giđđa .
Dološ olbmot sávve ahte boares máhtebeaivvi ovdal ii galggašii eisege bivaldit dahje njázudit , ahte 	ii šattašii 	garra giđđa .
Bummolárpui dat galgá giela bidjat , muhto 	ii galggašii 	nu gassat ja ritnolas go dán áigge árpu , muhto šallabut , čilge áddjá , gii ieš ii leat gávvedagain gárdon dološ rájes .
