Boađus: 1 058
						
Ovddit123Čuovvovaš
Cealkkačájeheapmi
	Administrative texts –
Ovddas guvlui šaddá deaŧalaš 	áššin 	registarastit erohusaid mat konjunktuvradilis leat riikkalaš ja guvllolaš dilálašvuođaid gaskkas .
Ulbmilsuorggit Buoridit ain eambbo guvllolaš ovddidanmáhtu dainna lágiin ahte máhttodássi loktejuvvo , strategalaš guovlofierpmádat huksejuvvo , riikkaidgaskasaš prográmmaide ja riikkaidgaskasaš foraide servojuvvo , main lea 	áššin 	guovlopolitihkka .
Go dat vejolašvuohta ráddjejuvvo garrasit , de čuožžila govttolaš 	áššin 	ahte báikkálaš servodat ferte oažžut buhtadasa guolleriggodatvuoigatvuođaid ovddas mat leat privatiserejuvvon .
Ovddas guvlui šaddá deaŧalaš 	áššin 	registarastit erohusaid mat konjunktuvradilis leat
Ulbmilsuorggit • Buoridit ain eambbo guvllolaš ovddidanmáhtu dainna lágiin ahte máhttodássi loktejuvvo , strategalaš guovlofierpmádat huksejuvvo , riikkaidgaskasaš prográmmaide ja riikkaidgaskasaš deaivvadanbáikkiide servojuvvo , main lea 	áššin 	guovlopolitihkka .
Gohččun ja áššelistu dohkkehuvvuiga čuovvovaš rievdadusain : Egil Olli hálidii ahte ášši 5-km-ráji birra galgá mearriduvvot sierra 	áššin 	.
3 ) Buoridit ain eambbo guvllolaš ovddidanmáhtu dainna lágiin ahte máhttodássi loktejuvvo , strategalaš guovlofierpmádat huksejuvvo , riikkaidgaskasaš prográmmaide ja riikkaidgaskasaš foraide servojuvvo , main lea 	áššin 	guovlopolitihkka .
Merkejuvvui , ahte čuovvovaš 	áššin 	gieđahallo áššelistui 9 § merkejuvvon ášši .
Sámediggi lea ovdal mearridan ođđan 	áššin 	sámiid oahpahusdili čielggadusa earret eará Ofuohtas // Lulli-Tromssas .
Sámediggi atná dán hui guovddáš 	áššin 	boazodollui .
Sámediggi atná dán hui guovddáš 	áššin 	boazodollui .
Sámediggi atná boazodoalu eatnamiid sihkkarastima áibbas guovddáš 	áššin 	boazodoalu seailluheamis ja ovddideamis sámi ealáhussan ja ekologalaš , ekonomalaš ja kultuvrralaččat ceavzi boazodoalu mihttomeari joksamis .
Sámediggi atná boazodoalu eatnamiid sihkkarastima áibbas guovddáš 	áššin 	boazodoalu seailluheamis ja ovddideamis sámi ealáhussan ja ekologalaš , ekonomalaš ja kultuvrralaččat ceavzi boazodoalu mihttomeari joksamis .
Politihkalaš digáštallamis Finnmárkkus lea boazosápmelaččaid « gielddagullevašvuohta » dávjá šaddan deatalaš 	áššin 	.
) ovddiduvvui Od.prp mas 	áššin 	váldojuvvo ovdan olmmošvuoigatvuohtasoahpamušaid váldojupmi oassin fárrui norgalaš láhkii .
Bargiidbellodaga joavku atná dan viehka muddui fuonášahtti 	áššin 	, go ágga dakkár sámi mearrideaddji váikkuhanválddi bidjat eananhálddašanorgánaid badjelii miehtá Finnmárkku boahtá sitáhtan mii lea váldojuvvon Álbmotriektejoavkku barggus - nammalassii
Dan mii mearkkašit positiiva 	áššin 	, muhto Sámediggeráđđi ferte gávnnahit maid oaiviliid dat oamasta Finnmárkku eananhálddašanorgána stivrra čoahkádusa hárrái , jos hálddašeapmi juohkása .
Bargiidbellodaga joavku atná dan positiiva 	áššin 	, go Sámediggeráđđi dattetge , vaikko dan prinsihpalaš vuođđo-oaidnu doarju guokte eananhálddašeami Finnmárkku várás , muhtun dihto eavttuid mielde sáhtášii doarjut ovtta oktasaš hálddašanorgána ásaheami ( FE ) , mas Sámedikkis ja Fylkkadikkis leat ovttamahtosaš ovddasteamit ( s. 25 ) .
Go mii ILO-soahpamuša 169 váldit vuhtii , de midjiide maid čuožžila 	áššin 	dat gažaldat , leago sámiin vuoigatvuohta beassat leat mielde hálddašeamen iežaset guovlluid luondduriggodagaid .
Joavku atná dan positiiva 	áššin 	go Sámediggeráđđi lea čujuhan dasa , ahte dakkár gillefidnoguovlluid ásaheami eiseválddit maid berrejit árvvoštallat gaskaoapmin mainna sáhttet bisuhit boaittobeal guovlluid ássamiid .
hirbmat šállošahtti 	áššin 	go Sámi vuoigatvuođalávdegoddi ii leat čielggadan sámiid eaiggáduššanvuoigatvuođa Finnmárkku eatnamiidda .
Politihkalaš digáštallamis Finnmárkkus lea boazosápmelaččaid « gielddagullevašvuohta » dávjá šaddan deatalaš 	áššin 	.
Ášši berre biddjojuvvot áššelistui 	áššin 	50/99/50 Guolástusealáhusa dilli .
Sámediggeráđđi lea gieđahallan Hálkavári ja Iŋggášguolbana báhčinfealtta 	áššin 	R 50/99/50 .
Sámediggi lohká dán ášši viiddis ja váttis 	áššin 	, ja dáhtošii guorahallat Hálkavárre- ja Iŋggášguolbanášši Suodjalusdepartemeanttain .
Sámediggeráđis leat čuovvovaš mearkkašumit áššiid hárrái mat ovddivuvvojedje ođđa 	áššin 	Sámedikki dievasčoahkkimis dán jagi geassemánu 1.-4. b.
Eavttuhus 1 gieđahallojuvvo dán dievasčoahkkima 50/99/50 	áššin 	.
Eavttuhus 1 gieđahallojuvvo dán dievasčoahkkima 50/99/50 	áššin 	.
Evttohus oktiibidjat dievasčoahkkimiid mat leat mearriduvvon biddjot čakča- ja skábmamánnui , meannuduvvo 	áššin 	15/00/15 .
Ášši meannuduvvo maŋimuš 	áššin 	dán dievasčoahkkimis .
Sámediggeráđđi áigu 2002-jagi stáhtabušeahta oktavuođas árvvoštallat evttohusa mas giellaguovddáža ásaheapmi Oslo:i lea 	áššin 	.
Sámediggeráđđi áigu maiddái ovddidit O97Sámi geavaheami 	áššin 	.
Bargiidbellodaga sámediggejoavku lea ollu oktavuođain ovddidan boraspireváttisvuođaid 	áššin 	— ja deattuhan man deaŧalaš lea buorebut skihkkadit máddodagaid — amaset boazodoallit ja eanadoallit goariduvvot — ja soitet vel gártat vuollánit .
Sámediggái álbmotválljen orgánan lea guovddáš 	áššin 	ahte diggi oažžu iešheanaleabbo saji .
Sámediggái álbmotválljen orgánan lea guovddáš 	áššin 	ahte diggi oažžu iešheanaleabbo saji .
Dievasčoahkkima vuosttas beaivvi ovddida Sámediggeráđđi sierra 	áššin 	dieđáhusa ráđi doaimmaid birra dievasčoahkkimiid gaskka .
Dievasčoahkkima vuosttas beaivvi ovddida Sámediggeráđđi sierra 	áššin 	dieđáhusa ráđi doaimmaid birra dievasčoahkkimiid gaskka .
Maiddái eambbo dutkan « kveisa » váhágiin ovddiduvvui 	áššin 	.
Áššelisttu 	áššin 	leat Sámi parlamentáralaš ráđi barggu ruhtadeapmi , Interreg-bargu , Árktalaš ráđđi , Barentsovttasbarggu eamiálbmotáššit , sámeministeriid ja sámediggepresideanttaid oktasasčoahkkin 2000 čavčča ja sámi ovddasteapmi Davviriikkaid Ráđis .
Eavttuhus 4 eavttuhuvvo meannuduvvot maŋimuš 	áššin 	dán dievasčoahkkimis :
Ášši 4 meannuduvvo maŋimuš 	áššin 	dán dievasčoahkkimis ; ášši 31/00/31 Ovddit rabahttaortnegiid ja hálbbiduvvon hattiid mátkkošteddjiide Leavnnja girdinšilljus ferte fas váldit atnui .
Sámediggi áigu erenoamážit namuhit ahte boazodoalu eatnamat leat guovddáš 	áššin 	Sámedikki politihkas .
Sámediggi áigu erenoamážit namuhit ahte boazodoalu eatnamat leat guovddáš 	áššin 	Sámedikki politihkas .
Geavaheaddji ja hálddašeami einnostahttivuohta ja álkideapmi lea ovddiduvvon 	áššin 	dán jagi šiehtadallamiin .
Sámediggi lea dán ovddidan 	áššin 	21.02.00 notáhtas Eanadoallodepartementii , ovttas áššiin mas lea sáhka NBR:a searvamis njuolggadusaid hábmemii , mat mearriduvvojit boazodoallošiehtadusa olis .
Sámediggi lea ovdal ovddidan 	áššin 	Dikki saji ja rolla boazodoalloáššiin .
Sámedikki sadji šiehtadallamiin lea ovdal ovddiduvvon 	áššin 	, ja dikki mielas lea deatalaš árvvoštallat dálá ortnega .
Geavaheaddji ja hálddašeami einnostahttivuohta ja álkideapmi lea ovddiduvvon 	áššin 	dán jagi šiehtadallamiin .
Sámediggi lea dán ovddidan 	áššin 	21.02.00 notáhtas Eanadoallodepartementii , ovttas áššiin mas lea sáhka NBR:a searvamis njuolggadusaid hábmemii , mat mearriduvvojit boazodoallošiehtadusa olis .
Sámediggi lea ovdal ovddidan 	áššin 	Dikki saji ja rolla boazodoalloáššiin .
Sámedikki sadji šiehtadallamiin lea ovdal ovddiduvvon 	áššin 	, ja dikki mielas lea deatalaš árvvoštallat dálá ortnega .
Joatkkaskuvlla njuolggadus lassičuoggáid ektui ovddiduvvui maiddái 	áššin 	stáhtaráđđái .
Birasgáhttenministera mátki oktavuođas Finnmárkui dollujuvvui čoahkkin 12.07.00 várrepresideantta ja ministera gaskka , gos guovlilas 	áššin 	leai earret eará Báiddára čáhcefápmohuksen .
Dasa lassin ovddidii Suoma Sámediggi 	áššin 	Reinprodukter A // S reastaluvvama .
Guovddáš 	áššin 	lea danne ahte man muddui sáhttá doaibma addit badjebáhcaga , seammás ferte doaimmas leat vissis duhkodat ja geahččalit vissis áiggi doaibmat ( www.skatteetaten.no )
Gealboguovddáža ovdánahttimis ja jođiheamis lea geavaheaddjimielváikkuheapmi áibbas guovddáš 	áššin 	.
Danne ferte sámi kulturáddejupmi leat guovddáš 	áššin 	.
Ref. ášši 1. sirdojuvvo 	áššin 	005/05/005
Sámediggeráđđi áigu láhčit dili nu ahte váldo bajás sierra 	áššin 	Sámedikki dievasčoahkkimis 2010 čakčamánu .
Sámediggeráđđi bargá viidáset 	áššin 	ja geahččala oažžut dillái čoahkkima GOD:in gos dát lea fáddán .
Orru dattetge nu ahte stuorra eanetlohku vuostálastá luossabiebmama , ja ollugat fievrridit dan prinsihpalaš 	áššin 	, ovdamearkka dihtii dainna lágiin ahte eai bora bibmojuvvon luosaid .
Olles proseassas lea leamaš ovttamielalašvuohta das ahte davviriikkalaš sámekonvenšuvdna ii šatta 	áššin 	dušše guoskevaš stáhtaide ja daid stáhtaid ráđđehusaide , muhto ahte sámedikkiin , mat leat álbmotválljenorgánat dan álbmogii maid konvenšuvdna válddahallá , ferte leat aktiivvalaš rolla šiehtadallamiin ja dat fertejit váldit ovddasvástádusa bohtosis .
Danne lea dehálaš ahte Sámediggi lokte buohcceviessostruktuvrra 	áššin 	árvvoštallan dihte sámi álbmoga vejolašvuođa oažžut ovttaárvosaš dearvvašvuođabálvalusaid .
Sámediggeráđđi ovddida Finnmárkkuopmodaga ođđa strategalaš plána sierra 	áššin 	Sámedikki skábmamánu dievasčoahkkimii .
Duodješiehtadus meannuduvvo sierra 	áššin 	dán dievasčoahkkimis .
Dát dagaha dan ahte dárbbut sámi mánáidgárdesajiid ektui eai leat kártejuvvon ja meannuduvvon ollislaš 	áššin 	, juoga mii maiddái dagaha ahte ásahanálgagat eai vealtameahttumit dárbbaš váldit vuolggasaji dán lágan ollislaš lagadeamis .
Dát dagaha dan ahte dárbbut sámi mánáidgárdesajiid ektui eai leat kártejuvvon ja meannuduvvon ollislaš 	áššin 	, juoga mii maiddái dagaha ásahanálgagat eai vealtameahttumit dárbbaš váldit vuolggasaji dán lágan ollislaš lagadeamis .
Sámedikki ja Oslo gieldda gaskasaš ovttasbargošiehtadus Oslo Sámiid Searvi lea ovdal ovddidan 	áššin 	ovttasbargošiehtadusa gaskal Sámedikki ja Oslo gieldda , mo lea Sámediggeráđi stáhtus dáinna šiehtadusbargguin ?
Miessemánu 2010 evttohii NSR ođđa 	áššin 	ahte stáhta berre váldit badjelasas Skániid joatkkaskuvlla hálddašeami dassážii go stáhta sámi joatkkaskuvllaid hálddašeapmi lea čielggaduvvon .
NSR bivdá ahte Sámediggeráđđi ovddida dán ođđa 	áššin 	plenumii .
Boazodoalu areáladilli ovddiduvvo sierra 	áššin 	dievasčoahkkimii .
Sámediggi bivdá sámediggeráđi ovddidit boazodoalu areáladili sierra 	áššin 	.
Sámediggi bivdá sámediggeráđi ovddidit boazodoalu areáladili sierra 	áššin 	.
Dát váldo fas 	áššin 	eará ovttasbargočoahkkimis .
Dan lassin dat lea 	áššin 	guovvamánu dievasčoahkkimis .
Dan maid mii oaidnit ságastallamiin buot váttisvuođaid birra , lea ahte dat geahčaduvvojit ovttaskas 	áššin 	.
Dan lassin meannuda vel doarjjastivra referáhta 	áššin 	dakkár áššiid main mearridanváldi lea fápmuduvvon .
Evttohus 2 : Revišuvdnagáibádus eret smávva oasusservviin Áirras Toril Bakken Kåven ovddida ođđa 	áššin 	sihkkut revišuvdnagáibádusa smávva oasusservviin .
Dalle sohpe ráđđehus ja Sámediggi geahčadit bušeahttabargovugiid sierra 	áššin 	, dan sivas go leat čuožžilan olu erenoamáš čuolmmat dan geažil .
Sámediggi gávnnaha ahte ovdalaš soahpamuš dan ektui ahte bušeahttabargovuogit galget gehččojuvvot sierra 	áššin 	, ii gusto šat .
) Sámediggi gávnnaha šállošemiin ahte ovdalaš soahpamuš dan ektui ahte bušeahttabargovuogit galget gehččojuvvot sierra 	áššin 	, ii gusto šat .
Dalle sohpe ráđđehus ja Sámediggi geahčadit bušeahttabargovugiid sierra 	áššin 	, dan sivas go leat čuožžilan olu erenoamáš čuolmmat dan geažil .
Sámediggi gávnnaha šállošemiin ahte ovdalaš soahpamuš dan ektui ahte bušeahttabargovuogit galget gehččojuvvot sierra 	áššin 	, ii gusto šat .
Sámediggi meannudii dán sierra 	áššin 	dievasčoahkkimis geassemánu 2011 .
Evttohus 4 : Árvvoštallat ođđa nama válgabiirii 5 Sámediggeráđđi árvvoštalai válgabiirre 5 nammarievdadeami mii ovddiduvvui ođđa 	áššin 	skábmamánus 2009 .
Dán árvolisttu , maid sáhttá gohčodit guovddáš 	áššin 	sámi oahpaheamis ja oahpahusas , sáhtášii vel guhkibun čállit .
Dat lea stuora ja viiddis ášši , mii gáibida konsultašuvnnaid , danin dat galgá meannuduvvot sierra 	áššin 	Sámedikkis , ja dasto eat suokkardala ge fága-ja diibmologu duođi dárkileappot dán oahpahusdieđáhusas .
Sámediggi áigu ságastallagoahtit departemeanttain , ja dan ságastallama 	áššin 	lea sihkkarastit buoret kvalitehta ja ovddosdiehtima sámegiel oahpahussii , maiddái de go dakkár oahpaheapmi čađahuvvo gáidosisoahpaheapmin .
Dát dahkko sierra 	áššin 	Sámedikki dievasčoahkkimii .
Dát dahkko sierra 	áššin 	Sámedikki dievasčoahkkimii .
Sámediggeáirasiid habilitehta lea máŋgga oktavuođas bohciidan 	áššin 	, earenoamážit bušeahttameannudeamis .
Sámediggi lea ovddidan hástalusa 	áššin 	Sámi parlamentáralaš ráđi dievasčoahkkimii mii dollojuvvui Girkonjárggas skábmamánu 9. b. 2011 .
Sámediggi lea ovddidan hástalusa 	áššin 	Sámi parlamentáralaš ráđi dievasčoahkkimii mii dollojuvvui Girkonjárggas skábmamánu 9. b. 2011 .
Sámediggi bivdá 2012 vuosttáš njealjádasjagis 	áššin 	gos Sámedikki doaibmabijuid juolludeamit biddjojit dáid prinsihpaid vuođul mat bohtet ovdán dán bušeahttačállosis .
Sámediggi oaivvilda ahte dát ealáhus ferte mihá eambbo loktejuvvot ealáhuspolitihkalaš 	áššin 	, nu ahte rámmaeavttut sáhttet buoriduvvot .
Konsultašuvdnačoahkkimis mii lea juohke jahkebeali gaskal Ođasmahttin- hálddahus- ja girkodepartemeanta ( OHD ) ledje barggut doaibmaplána oktavuođas 	áššin 	.
Sámediggeráđis leamaš čoahkkin Harald Gaskin ođđajagimánu 1. beaivvi 2012 gos sámi kulturgažaldagat ledje 	áššin 	.
Sámediggeráđis lei maid čoahkkin seammá beaivve RiddoDuottarMuseain , 	áššin 	lei Porsáŋggu musea dárbbu saji birra Rávttošnjárgga luonddudálus ja museas .
Sámediggeráđđi lei mielde bargočoahkkimis 28.11.12 Stáhta huksendoaimmahagain , Kulturdepartemeanttain ja Beaivváš Sámi Našunálateáhteriin , gos lei 	áššin 	ásahit ođđa teáhtervistti .
” Joatkkan dása ovddiduvvo bioteknologalaš ovdáneami mearkkašupmi sámi álbmogii 	áššin 	cuoŋománu dievasčoahkkimii .
Sámediggi sáhttá loktet dán 	áššin 	ovttasbargočoahkkimiin Máhttodepartemeanttain ja oahppodirektoráhtain , ja fievrredit dán fuolastuvvama fylkkamánniide .
Čoahkkimis válddii Sámediggi 	áššin 	earret eará dan ahte leat unnán sámi geavaheaddjit geat váldet oktavuođa Dásseárvo- ja vealahanáittardeddjiin , ja ahte sámi dásseárvoorganisašuvnnat eai leat searvadahttojuvvon dásseárvodoaimmain davviriikkalaš dásis ja movt sámi perspektiiva sáhtášii searvadahttojuvvot dásseárvolávdegotti bargguide .
Konsultašuvdna mánáid ovddasteaddji birra , 	áššin 	maid mánáidsuodjalus- ja sosiála fylkkalávdegoddi galget meannudit .
Čoahkkimis válddii Sámediggi 	áššin 	earret eará dan ahte leat unnán sámi geavaheaddjit geat váldet oktavuođa Dásseárvo- ja vealahanáittardeddjiin , ja ahte sámi dásseárvoorganisašuvnnat eai leat searvadahttojuvvon dásseárvodoaimmain davviriikkalaš dásis ja movt sámi perspektiiva sáhtášii searvadahttojuvvot dásseárvolávdegotti bargguide .
Konsultašuvdna mánáid ovddasteaddji birra , 	áššin 	maid mánáidsuodjalus- ja sosiála fylkkalávdegoddi galget meannudit .
čuolbma ferte meannuduvvot oktan ja deaŧalaš 	áššin 	gos sihkkarasto fága- ja diibmologojuohkin sámegielfágas , ja ii šatta dego noađđin eará fága- ja diibmologoveardidemiide .
Go vásihit oahppit lohku geat vallejit sámegiela lea njiedjan 26,5% dan maŋemus 5 jagis , de lea áibbas dehálaš ahte garrasit ja duođalaččat ferte bargat dainna 	áššin 	vái sámi oahppin bissu sámegiella fágan vuođđooahpahusas .
Dán oktavuođas lea Steinfjell čállán reivve departementii ahte son vásihii , go ovddastii joavkku , ahte go čujuhii bures duođaštuvvon áššečuolmma mas ohppiidlohku geain lea sámegiella nubbingiellan vuođđoskuvllas , lea njiedjan , ja dáhtui ahte dát váldojuvvo 	áššin 	našunála referánsajoavkkus , de čujuhii dalá stádačálli Rugtvedt , Máhttodepartemeanttas , Sámediggái , mii lea dat ásahus mii galgá čoavdit dán ášši .
Dán árvolisttu , maid sáhttá gohčodit guovddáš 	áššin 	sámi oahpaheamis ja oahpahusas , sáhtášii vel guhkibun čállit .
Dat lea stuora ja viiddis ášši , mii gáibida konsultašuvnnaid , danin dat galgá meannuduvvot sierra 	áššin 	Sámedikkis , ja dasto eat suokkardala ge fága-ja diibmologu duođi dárkileappot dán oahpahusdieđáhusas .
Sámediggi áigu ságastallagoahtit departemeanttain , ja dan ságastallama 	áššin 	lea sihkkarastit buoret kvalitehta ja ovddosdiehtima sámegiel oahpahussii , maiddái de go dakkár oahpaheapmi čađahuvvo gáidosisoahpaheapmin .
Skuvlaheaittiheamit ovddiduvvoje sierra 	áššin 	Máhttodepartemeanttain .
Sámediggeráđđi áŋgiruššá nannosit dainna ahte vuosttaldit skuvlaheaittihemiid ja dat váldojuvvo maiddái ovdan sierra 	áššin 	politihkalaš čoahkkimis Máhttodepartemeanttain guovvamánu 15. b. 2012 .
NSR šálloša go Sámediggeráđđi ii háliit meannudit dahje oažžut proposišuvnna árvvoštallojuvvot vuđolaš , áššálaš vuođul , dakko bokte ahte loktet dan sierra 	áššin 	.
Dát áššečuolbma lea ovddiduvvon ođđa 	áššin 	ja váldojuvvon ovdan gažaldahkan ráđđái Sámedikki dievasčoahkkimis .
NSR evttohii Sámedikkis juovlamánu 2008 ođđa 	áššin 	álggahit barggu ráhkadit ođđa olislaš sámi mátkkoštanplána .
Bivdit geahčadit ja árvvoštallat sámi kulturmuitohálddašeami ođđa 	áššin 	Sámedikki dievasčoahkkimii , mas erenoamážit ságastallat bistevaš ja rievddadeaddji rájiid birra automáhtalaččat ráfáidahttojuvvo sámi kulturmuittuid ektui ja dan birra ahte berrešii go priváhta máksingáibádusa oktasaškultuvrra hálddašeami oktavuođas joatkit .
Lávdegoddi háliida ahte Sámediggi ovddida árvalusaid bioteknologiijalága árvvoštallamii , ja bivdá danne sámediggeráđi ráhkkanahttit 	áššin 	dievasčoahkkimii .
Ovddiduvvo 	áššin 	019/12/019 St. prop. 70 L Rievdadusat oassálastinlágas , mearraresursalágas ja finnmárkolágas ( riddoguolástuslávdegottis ) .
Bearráigeahččanlávdegotti meannudeapmi : Bearráigeahččanlávdegoddi áigu ovddidit dán 	áššin 	dievasčoahkkimii 2012:s .
Bearráigeahččanlávdegotti meannudeapmi : Bearráigeahččanlávdegoddi áigu ovddidit dán 	áššin 	dievasčoahkkimii 2012:s .
Evttohus oktiibidjat dievasčoahkkimiid mat leat mearriduvvon biddjot čakča- ja skábmamánnui , meannuduvvo 	áššin 	15/00/15 .
Ášši meannuduvvo maŋimuš 	áššin 	dán dievasčoahkkimis .
Sámediggeráđđi áigu 2002-jagi stáhtabušeahta oktavuođas árvvoštallat evttohusa mas giellaguovddáža ásaheapmi Oslo:i lea 	áššin 	.
Sámediggeráđđi áigu maiddái ovddidit O97Sámi geavaheami 	áššin 	.
Bargiidbellodaga sámediggejoavku lea ollu oktavuođain ovddidan boraspireváttisvuođaid 	áššin 	— ja deattuhan man deaŧalaš lea buorebut skihkkadit máddodagaid — amaset boazodoallit ja eanadoallit goariduvvot — ja soitet vel gártat vuollánit .
Sámediggái álbmotválljen orgánan lea guovddáš 	áššin 	ahte diggi oažžu iešheanaleabbo saji .
Sámediggái álbmotválljen orgánan lea guovddáš 	áššin 	ahte diggi oažžu iešheanaleabbo saji .
Dievasčoahkkima vuosttas beaivvi ovddida Sámediggeráđđi sierra 	áššin 	dieđáhusa ráđi doaimmaid birra dievasčoahkkimiid gaskka .
Dievasčoahkkima vuosttas beaivvi ovddida Sámediggeráđđi sierra 	áššin 	dieđáhusa ráđi doaimmaid birra dievasčoahkkimiid gaskka .
Maiddái eambbo dutkan « kveisa » váhágiin ovddiduvvui 	áššin 	.
Áššelisttu 	áššin 	leat Sámi parlamentáralaš ráđi barggu ruhtadeapmi , Interreg-bargu , Árktalaš ráđđi , Barentsovttasbarggu eamiálbmotáššit , sámeministeriid ja sámediggepresideanttaid oktasasčoahkkin 2000 čavčča ja sámi ovddasteapmi Davviriikkaid Ráđis .
Eavttuhus 4 eavttuhuvvo meannuduvvot maŋimuš 	áššin 	dán dievasčoahkkimis :
Ášši 4 meannuduvvo maŋimuš 	áššin 	dán dievasčoahkkimis ; ášši 31/00/31 Ovddit rabahttaortnegiid ja hálbbiduvvon hattiid mátkkošteddjiide Leavnnja girdinšilljus ferte fas váldit atnui .
Sámediggi áigu erenoamážit namuhit ahte boazodoalu eatnamat leat guovddáš 	áššin 	Sámedikki politihkas .
Sámediggi áigu erenoamážit namuhit ahte boazodoalu eatnamat leat guovddáš 	áššin 	Sámedikki politihkas .
Geavaheaddji ja hálddašeami einnostahttivuohta ja álkideapmi lea ovddiduvvon 	áššin 	dán jagi šiehtadallamiin .
Sámediggi lea dán ovddidan 	áššin 	21.02.00 notáhtas Eanadoallodepartementii , ovttas áššiin mas lea sáhka NBR:a searvamis njuolggadusaid hábmemii , mat mearriduvvojit boazodoallošiehtadusa olis .
Sámediggi lea ovdal ovddidan 	áššin 	Dikki saji ja rolla boazodoalloáššiin .
Sámedikki sadji šiehtadallamiin lea ovdal ovddiduvvon 	áššin 	, ja dikki mielas lea deaŧalaš árvvoštallat dálá ortnega .
Geavaheaddji ja hálddašeami einnostahttivuohta ja álkideapmi lea ovddiduvvon 	áššin 	dán jagi šiehtadallamiin .
Sámediggi lea dán ovddidan 	áššin 	21.02.00 notáhtas Eanadoallodepartementii , ovttas áššiin mas lea sáhka NBR:a searvamis njuolggadusaid hábmemii , mat mearriduvvojit boazodoallošiehtadusa olis .
Sámediggi lea ovdal ovddidan 	áššin 	Dikki saji ja rolla boazodoalloáššiin .
Sámedikki sadji šiehtadallamiin lea ovdal ovddiduvvon 	áššin 	, ja dikki mielas lea deaŧalaš árvvoštallat dálá ortnega .
Joatkkaskuvlla njuolggadus lassičuoggáid ektui ovddiduvvui maiddái 	áššin 	stáhtaráđđái .
Birasgáhttenministera mátki oktavuođas Finnmárkui dollujuvvui čoahkkin 12.07.00 várrepresideantta ja ministera gaskka , gos guovlilas 	áššin 	leai earret eará Báiddára čáhcefápmohuksen .
Dasa lassin ovddidii Suoma Sámediggi 	áššin 	Reinprodukter A // S reastaluvvama .
Dát meannuduvvo 	áššin 	miessemánu dievasčoahkkimis dan oktavuođas go čielggadeapmi sámegiela dili birra meannuduvvo .
11. siidu ( Lassičuokkis prioriteremiidda 12. čuoggá vuolde ” Boazodoallu kulturguoddin ” : ) Sámedikki atná vuoigatvuođa bealljemerkii sápmelaččaid vieruiduvvan vuoigatvuohtan , ee. maiddái deaŧalaš 	áššin 	árbevirolaš verdde-vuogádagas , ja áigu bargat dan ovdii ahte dát vuoigatvuohta dohkkehuvvo formálalaččat .
Sámedikki atná vuoigatvuođa bealljemerkii sápmelaččaid vieruiduvvan vuoigatvuohtan , ee. maiddái deaŧalaš 	áššin 	árbevirolaš verdde-vuogádagas , ja áigu bargat dan ovdii ahte dát vuoigatvuohta dohkkehuvvo formálalaččat .
Dievasčoahkkima vuosttas beaivvi ovddida Sámediggeráđđi sierra 	áššin 	dieđáhusa ráđi doaimmaid birra dievasčoahkkimiid gaskka .
Dievasčoahkkima vuosttas beaivvi ovddida Sámediggeráđđi sierra 	áššin 	dieđáhusa ráđi doaimmaid birra dievasčoahkkimiid gaskka .
Beroškeahttá sámiid ávžžuhusain ahte ii galggašii evttohuvvot 	áššin 	sámi miellahttovuohta Davviriikkaid ráđis ovdalgo mii leat gergosat dasa , de evttohii presideantagoddi dán áššin ráđi 53. sešuvnnas Københámmanis 29. – 31.10.01 .
Beroškeahttá sámiid ávžžuhusain ahte ii galggašii evttohuvvot áššin sámi miellahttovuohta Davviriikkaid ráđis ovdalgo mii leat gergosat dasa , de evttohii presideantagoddi dán 	áššin 	ráđi 53. sešuvnnas Københámmanis 29. – 31.10.01 .
Bargiidbellodaga sámediggejoavku oaidná dárbun ahte guovvamánu dievasčoahkkimis ovddiduvvo 	áššin 	maiddái Sámedikki guolástuspolitihkka , mas bidjat vejolaš ođđa strategiijaid guolástusa , bivdoeriid jna. sihkkarastimii ja ovddideapmái , ja ahte oažžut vejolašvuođa geahččat dan stuorát guovlulaš oktavuođas .
Sámediggi galggašii omd. atnit duođalaš 	áššin 	dan ahte trolárat , main lea vuovdingeatnegasvuohta dihto riddoservodahkii , eai beroš dán lágan geatnegasvuođain ja dan bokte sáhttet uhkidit dáid báikegottiid birgenvejolašvuođa .
Guokte mánu maŋŋá go Bargiidbellodaga sámediggejoavku leai váldán oktavuođa , ovddidii NSR parlamentáralaš jođiheadjji ja NSR ovddit ráđđelahttu , vástevaš evttohusa Sámedikki dievasčoahkkimii ođđa 	áššin 	, dego ášši ii oppa livččege lean ovddiduvvon sámediggeráđđái .
Sámediggi váldá dán sierra 	áššin 	maŋŋá go láhkaásahusat ja njuolggadusat leamaš viiddis gulaskuddamis .
Áiggi mielde soaitá šaddat áigeguovdilis 	áššin 	evttohit njuolggadusaid rievdadit , vai sámi mánát ožžot vuoigatvuohtan oažžut fálaldaga iežaset gillii .
Áiggi mielde soaitá šaddat áigeguovdilis 	áššin 	evttohit njuolggadusaid rievdadit , vai sámi mánát ožžot vuoigatvuohtan oažžut fálaldaga iežaset gillii .
Bargiidbellodaga sámediggejoavku oaidná dárbun ahte guovvamánu dievasčoahkkimis ovddiduvvo 	áššin 	maiddái Sámedikki guolástuspolitihkka , mas bidjat vejolaš ođđa strategiijaid guolástusa , bivdoeriid jna. sihkkarastimii ja ovddideapmái , ja ahte oažžut vejolašvuođa geahččat dan stuorát guovllulaš oktavuođas .
