Boađus: 15 667
» Sii vástidedje : « Mii ba das 	guoská 	midjiide ? #ILL Sem/Hum
Láhkaásahus 	guoská 	mielladearvvašvuođadivššu gozihanlávdegottiid doaimmaide . #ILL Sem/Act
Gozihanlávdegotti miellahtuide 	guoská 	jávohisvuođageatnegasvuohta hálddahuslága §§ 13 – 13 e vuođul .
Dát kapihtal 	guoská 	buot váidalusáššiide . #ILL Sem/Hum
Go meannudit váidalusa , mii 	guoská 	viidásut iskkadeapmái , bákkolaš mielladearvvašvuođadivššu ásaheapmái dahje loahpaheapmái , ja sirdináššiide , geavahuvvojit maiddái mielladearvvašvuođadikšunlága § 6-4 njuolggadusat .
Divššohas , su lagamuš dahje ovddasteaddji , sáhttá ovddidit gozihanlávdegotti dárkkisteapmái mearrádusa , mainna gáibidit divššohasa miehtat dasa , ahte bákkolaš mielladearvvašvuođadivššu njuolggadusat 	gusket 	sutnje golmma vahku áigge . #ILL Sem/Hum
Jus mearrádus 	guoská 	mánáide ja nuoraide , geat leat 12 ja 16 jagi gaskkas , ja mánná ieš ii leat seammá oaivilis doaimmain , mearrádusa galgá ovddidit gozihanlávdegoddái . #ILL Sem/Hum
Ovdamearka Okta ovdamearka mii čájeha ahte ii leat álki diehtit guđe jávrris it beasa fierbmut lea dát čilgehus : Fierbmungielddus 	guoská 	buot jávrriide mat čuvvot dan linnjá gokko suohkanrádji Álttá guvlui manná eanu rastá , ja suohkanráji mielde riikkageainnus 93 , riikkageainnu mielde Suolovuomi duottarstohpui , boares riikkageainnu mielde lulágeahčái Uhca Suolojávrráža , njuolggo linnjás Gearpamšoaivvis Heastanjárgii Latnetoaivvis ... #ILL #Sem/Plc-water
Noraidkonsuleanta Anne Karine Utsi ii loga šat ábuhit dušše šluvgit oaivvi ja lohkat ahte dát váttisvuohta ii 	guoskka 	min nuoraide . #ILL Sem/Hum
Dát 	guoská 	sihke váhnemiidda ja bargiide , danin livčče sii maid galgan beassat oaiviliiddiset dása buktit . #ILL Sem/Hum
	Guoská 	goappešat virggiide : #ILL Sem/Pos
Virgai bidjan dahkko lágaid , njuolggadusaid ja tarriffašiehtadusaid mielde mat 	gusket 	suohkana mánáidgárddiide . #ILL Sem/Org Sem/Build
Virggiide 	guoská 	: 1 . #ILL Sem/Pos
Vuosttažettiin dan dihte go boahtte Sámediggi galgá stuora vuoigatvuođa ášši meannudit , mii ovddemusat 	guoská 	Finnmárkui - vaikko dat diehttelas maiddái guoská olles Sápmái . #ILL Sem/Plc
Vuosttažettiin dan dihte go boahtte Sámediggi galgá stuora vuoigatvuođa ášši meannudit , mii ovddemusat guoská Finnmárkui - vaikko dat diehttelas maiddái 	guoská 	olles Sápmái . #ILL Sem/Plc
Muhto in dieđe vissasit 	guoská 	go dát dušše daid luondduriggodagaid mat eai leat ođasmahtti riggodagat , nugo Sámi vuoigatvuođalávdegoddi lea árvalan . #ACC Sem/Value
“ Dohkkehuvvon prinsihpat ” mearkkaša earet eará ahte galgá váldit vuhtii riikkaidgaskasaš mearrádusaid mat 	gusket 	eamiálbmogiidda ja unnitlogu álbmogiidda . #ILL Sem/Hum Sem/Group
- In mun ádde dakkár moaitámušaid mat 	gusket 	dasa ahte Johttisámiid searvi lea luoddaneamen šiehtadallamiid geažil . #ILL
- Dat 	guoská 	buot šibihiidda mat leat badjel 6 mánu . #ILL Sem/Ani
Nissonvuovdin 	guoská 	mihá eanebuidda go dušše kundarii ja sutnje gii iežas vuovdá . #ILL Sem/Hum #ILL Sem/Hum
12.11.1991 njuolggadusaid mielde , mat 	gusket 	bávkkanasaid // rakeahtaid oastimii , gávppašeapmái ja fievrredeapmái § 3 -3 vuođul , ferte ohcat sierra vuovdinlobi jus áigu diekkár bávkkanasaid vuovdit . #ILL Sem/Act
* Vuolimus ahkemearri doaimmashehttejuvvon penšuvdnii mii lea 16 jagi 	guoská 	maid doaimmashehttejuvvon penšuvdnii virgevigi dihte . #ILL Sem/Hum
Dalle 	guoská 	dat maid ovttasorrubáraide geat leat 12 dan maŋemus 18 mánus orron ovttas .
Ja Norga addá maid máŋggalágán Tibet doaimmaide ruhtadoarjaga , earenoamážit doaimmaide mat 	gusket 	ohppui , dearvvašvuhtii ja kultivrii .
Sii geat barget sámi vuoigatvuođaiguin mat leat čadnojuvvon eatnamiidda ja čáziide Finnmárkkus , lávejit dávjá iežaset čilgemiin čujuhit ILO - šiehtadussii mii 	guoská 	eamiálbmogiid vuoigatvuođaide .
Stuoradiggi lea aitto dohkkehan ođđa njuolggadusaid mat 	gusket 	dasa gii beassá čálihit sámi jienastuslohkui .
Mii 	guoská 	dan oktasaš čoahkkimii gosa suohkan galggai bovdet Sáráhká bealis maid áirasa , de lohká Nils Ole iežas sávvan dan šaddat ovdal beassážiid , muhto hoahpu siste vajálduvai olles čoahkkingohččun dasa .
Dat 	guoská 	čuovvovaš skutterluottaide :
Njealját imašlaš fearán 	guoská 	maid Norgga Sámiid Riikkasearvái .
Sámi Luonddugáhtten searvi lea vuos ain hui unna searvvaš , muhto dat bargá nu stuora áššiiguin mat 	gusket 	olles máilbmái . #ILL Sem/Plc
Almmake leat olu bohccuid jápmán , ja dilli lea duođalaš sidjiide geaidda dat 	guoská 	. #ILL Sem/Hum
- Ain lea nu ahte mis leat guovttelágán oainnut dasa mii 	guoská 	eatnamiid oamasteapmái . #ILL Sem/Act
Gait virggiide 	gusket 	: - Gáivuona suohkan lea oasseváldin mánáidgárdesuorggi ovddidanprográmmas , ja dat gii biddjo virgái , ferte oassálastit mánáidgárddi ovddidanbarggus . #ILL Sem/Pos
Gáit virggiide 	gusket 	: Virggiide gusket bálká- ja virgáibidjaneavttut guoskevaš lágain , šiehtadusain ja njuolggadusain . #ILL Sem/Pos
Gáit virggiide gusket : Virggiide 	gusket 	bálká- ja virgáibidjaneavttut guoskevaš lágain , šiehtadusain ja njuolggadusain . #ILL Sem/Pos
Dát 	guoská 	fitnodagaide , organisašuvnnaide , sierralágán sápmelaš ovttastusaide ja maiddái ovttaskas olbmuide . #ILL Sem/Org  #ILL Sem/Org  #ILL Sem/Org  #ILL Sem/Hum
Guovddášbellodaga stuoradiggeáirras Johanne Gaup jearai Stuoradikkis mot Ráđđehus áigu oažžut doaresbeal báikkiid seamma dássái go stuora gávpogiid ja guovddáš báikkiid dasa mii 	guoská 	gálvvuid vuovdimii . #ILL Sem/Act
Mii 	guoská 	rasisttalaš ja sohkabealevealaheami guottuide Hápmira joatkkaskuvllas
Ahte dát 	guoská 	erenoamážit guovtti oahppái , lea dovddus , muhto dát guoská maiddái earáide , ja skuvla galggašii dáinna juoidá dahkat . #ILL Sem/Hum
Ahte dát guoská erenoamážit guovtti oahppái , lea dovddus , muhto dát 	guoská 	maiddái earáide , ja skuvla galggašii dáinna juoidá dahkat . #ILL Sem/Hum
Sápmelaččat vásihit dáid áiggiid ođđa giđa dasa mii 	guoská 	sámepolitihkalaš áššiide . #ILL Sem/Abstr-count
Dien leat gullan álo go juoga ođas boahtá mii 	guoská 	sámiide ! #ILL Sem/Hum
Luossabivdosearvvi mielas leat eiseválddiid veardideamit eahpesihkarat mii 	guoská 	njoammumii . #ILL Sem/Act
Mii 	guoská 	gáibádusaide ahte lávdegotti árvalusat galget meannuduvvot ovdal go leat gulaskuddamii ge sáddejuvvon , lea sámediggejoavkkus olles luohttámuš dan meannudanvuohkái maid Bb guovddážis ja min iežamet ráđđehus - gos stáhtaministar ja bellodatjođiheaddji čielgasit leat lohkan ahte loahpalaš oktiigeassu galgá easka dahkkot maŋŋil vuđolaš gulaskuddama . #ILL Sem/Prod
Go vuos lea daddjon ahte galgá albma gulaskuddan , 	guoská 	dat buot beliide . #ILL Sem/Part
Seamma galgá buot mii 	guoská 	earenomáš ruhtadeapmái oahppofálaldagaide , seamma maiddái ealáhusovddideapmái .
	Guoská 	go hal diet duođai midjiide ? #ILL Sem/Hum
Virggiide 	guoská 	: 1 . #ILL Sem/Pos
- Sámedikki rehketdoalloloahpaheapmi ( 1996 ) - Čilgehus sámiide 	guoski 	láhkaásahandoaimmaid ovdaneamis jagis 1996. - Cealkámuš evttohusas Suoma Natura 2000 - fierpmádahkan - Sámi giellalága ođasmahttin ; válmmaštallanbargojoavkku ásaheapmi . #ILL Sem/Hum
Guhkit áigge vuollái leat mis olu plánat dasa mii 	guoská 	kultuvrii , gos kulturviessoplána lea stuorámus , jotkkii presideanta ja logai váttisin ruhtadit institušuvnnaid jođiheami mat dál leat . #ILL Sem/Feat Sem/Hum Sem/Group
- Ja mii 	guoská 	ILO-šiehtadussi , de das fertet muitit ahte riikkat nugo Kanada , Suopma , Danmárkku ja Fiijii leat juo mearridan iešstivrema iežaset guovlluid eamiálbmogiidda . #ILL Sem/Prod-cogn
Oahpahusvirggiide 	guoská 	: #ILL Sem/Pos
Dat ii almmake 	guoskka 	Nordkáhppii , gos olbmot šaddet divrasii máksit jus áigot finadit várdádeame ge . #ILL Sem/Ill
Guovddášbellodaga ( Gb ) sámepolitihkalaš konferánsa lea dán vahkkoloahpa addán ollilaš doarjaga Finnmárkku Guovddášbellodahkii mii 	guoská 	eana- ja čáhcevuoigatvuođaide Finnmárkkus . #ILL Sem/Org
Mii 	guoská 	ođasmahtten riggodagaid hálddašanváldái , galgá daid sáhttit bidjat suohkandássái . #ILL Sem/Hum
	Guoská 	buot jođiheaddjivirggiide : Daidda gáibiduvvo dohkkehuvvon oahppu oahpaheaddjioahppolága mielde ja unnimusat 3 jagi bargohárjaneapmi skuvllas . #ILL Sem/Pos
Virggiide gáibiduvvo maid jođihanmáhttu ja buorit návccat ásahit buori oahppobirrasa skuvllas ja buori dili pedagogalaš ovddidahttinbargui ja návccat ovddidit ovttasbarggu ja dili buohkaide geat 	gusket 	skuvlii . #ILL Sem/Org
	Guoská 	buot virggiide : Oahpaheaddjit geain ii leat sámegiellamáhttu , sáhttet geatnegahttot lohkat sámegiela . #ILL Sem/Pos
	Guoská 	buot huksenáššiide suoidnemánu 1. b. 1997 rájes #ILL Sem/Prod
Mii 	guoská 	neavttariidda , de lei vuosttaš geardde go oidnen Biret Rávdna Johnskareng lávdde nalde . #ILL Sem/Hum
Váldobarggut ressursahálddašeapmi ja goziheapmi boazolohkamiid ja vihkkemiid oktavuođas , systematiseren ja dovddosin dahkat dieđuid mat 	gusket 	dieidda bargguide . #ILL Sem/Act
Ja mii 	guoská 	maŋábeale vuojáhallamii . #ILL Sem/Act
Sámedikkis lea váldosadji dasa mii 	guoská 	lágidit dili nu ahte stáhta geatnegasvuođat sámiide sáhttet dahkkot . #INF
Lea stuora erohus dasa mii guđesge 	guoská 	sámi servodaga gullevašvuhtii mearra ja siseatnan guovlluin . #ILL
Muhto mii muđui 	guoská 	sámeráđi juhkosii ja dan nammadeapmái , lohká Eira:–Buohkat sáhttet ohcat leat miellahttun sámeráđis , ja dakko bokte leat fárus nammadit juhkosii ovddasteddjiid . #ILL Sem/Act #ILL Sem/Act
2 ) Hamar bisma lea ovddidan gažaldaga lávdegoddái permitterejuvvon kapellána B virgáibidjama birra go kapellánai maid 	guoská 	Girkočoahkkima mearrádus ahte homofiillalaš ovttasorruma dihte ii sáhte sin bidjat viháhan virggiide Girkus .
Gait virggiide 	gusket 	bálká- ja virgáibidjaneavttut guoskevaš lágain , šiehtadusain ja njuolggadusain .
Otná fylkkamánni , Svein Alsaker , ii leat leamaš heajumus fylkkamánniid gaskkas , mii 	guoská 	sámi áššiide .
	Guoská 	buot jođiheaddjivirggiide : Daidda gáibiduvvo dohkkehuvvon oahppu oahpaheaddjioahppolága mielde ja unnimus 3 jagi bargohárjaneapmi skuvllas .
Virggiide gáibiduvvo maid jođihanmáhttu ja buorit návccat ásahit buori oahppobirrasa skuvllas ja buori dili pedagogalaš ovddidahttinbargui ja návccat ovddidit ovttasbarggu ja dili buohkaide geat 	gusket 	skuvlii .
	Guoská 	buot virggiide : Oahpaheaddjit geain ii leat sámegielmáhttu , sáhttet geatnegahttot lohkat sámegiela .
Mii 	guoská 	neaktáriidda , barget sii iešguđetge dásis .
Mii 	guoská 	eará neaktáriidda , lea eará govvá .
Áiggun maiddái čuovvolit NRK Sámi Radio teáhterárvvoštalli das mii 	guoská 	bivttashábmemii .
Mii 	guoská 	duodjeealáhussii leat mii vásihan ahte stuora oassi ealáhusas lea unnán gánnáhahtti .
Mii 	guoská 	lotnolasealáhusaide de lea mis unnán dahkamuš dakkár prošeavttain .
Fápmudusrájit gaska SND ja suohkaniid lea 150.000 ruvnno gollorámma mii 	guoská 	investeremiidda , ja 80.000 ruvnno gollorámmá mii guoská fitnodatovdáneapmái .
Fápmudusrájit gaska SND ja suohkaniid lea 150.000 ruvnno gollorámma mii guoská investeremiidda , ja 80.000 ruvnno gollorámmá mii 	guoská 	fitnodatovdáneapmái .
Mii 	guoská 	nuppástuhttinruđaide de eai leat dat erenoamážiid nuppástuhttiide .
Muhto go dorjot nuppástuhttiid prošeavttaid de rehkenastit doarjjadási gitta alimusdási rádjái mii lea 60% mii 	guoská 	investerendoarjagii ja 75% mii guoská fitnodatovddidandoarjagii .
Muhto go dorjot nuppástuhttiid prošeavttaid de rehkenastit doarjjadási gitta alimusdási rádjái mii lea 60% mii guoská investerendoarjagii ja 75% mii 	guoská 	fitnodatovddidandoarjagii .
Mii 	guoská 	albasii , orro dat buoremusat loaktimen riddoguovlluin , muitaleaba Oddleif Nordsletta ja Henrik Eira .
Son lohká vuohttit erehusa badjeolbmuid ja dáloniid gaskkas mii 	guoská 	čiŋadeapmái , muhto lohká ahte dát erehus unnu áiggis áigái .
	Guoská 	buot virggiide : Bálká : pedagogalaš jođiheaddji : bálkákoda 6709 : Bálkárámma 7.1 , bálkáceahkki 17 - 25.
Mii 	guoská 	oktiičaskimii , leat olu iešguđetgelágan oainnut .
	Guoská 	gait virggiide : - Jus muđuid leat seammá eavttut , ja go ii boađe earáládje ovdan almmuhusteavsttas , mannet ohccit geat máhttet sámegiela eará ohcciid ovddabeallái .
– Mis leat čielga njuolggadusat mat 	gusket 	dasa man ollu friddja galgá leat ohppin , vástida inspektora Kirste Máret Olsen .
– Mis leat čielga njuolggadusat mat 	gusket 	dasa man ollu friddja galgá leat ohppin , vástida inspektora Kirste Máret Olsen .
	Guoská 	1. prioriterejuvvon loanaide masa lea viessu siskkobealde 60% márkanárvvu* biddjon bántan , 15 jagi loatnaáigodat , 2 termiinna jahkasaččat , oktan etableren- ja depotgoluidguin , 1.250,- ru. .
Son muitala unohis dovddu leamašan lávdegottiin ovttasbargat álggus , muhto lohká lávdegotti muhtun muddui rievdadan oainnu sámi kultuvrra birra mii 	guoská 	guvhlarastimii .
Dat aigemearri 	guoská 	maid sidjiide geat gerget joatkkaskuvllas 1998 giđa .
Mii 	guoská 	bargobirrásii leat eatnasat duhtavaččat .
Virggiide 	guoská 	: 1 .
Dat 	guoská 	eretjávkamii buozanvuođa geažil mii deaivida áramusat cuoŋumánu 1. b. 1998.
Kulturpolitihkalaš plánen barggus leat jurdagat evttohit oktasaš kulturfoandda mii 	guoská 	buot njealji riikkaide gos orrot sámit .
Dat ferte bidjat sihke ekonomálaš ja lágalaš váikkuhangaskaoamit vai 	guoská 	buot doaluide .
Son logai maid ahte boazodoallu lea eambbo go biergu , ja ahte juohke guvlui mii 	guoská 	dan ealáhussii dárbbašuvvojit bárgit .
Mii 	guoská 	njuorjobivdui , leat dáža eiseválddit leamaš ovttaoaivilis , ahte dát lea dárbbašlaš bivdu .
Mii 	guoská 	njuorjobivdui , leat dáža eiseválddit leamaš ovttaoaivilis , ahte dát lea dárbbašlaš bivdu .
Ja doppe gávnnat maid eará čállosiid mat 	gusket 	sámedikke bargui .
Oktiibuot gullet 6 doalu guvlui masa dát eatnamat 	gusket 	.
Dát 	guoská 	ge buot ráŋggaštusnjuolggadusaide ja rituálanjuolggadusaide .
Baicca 	gusket 	buot morálamearrádusat maid ođđa testameanttas duođašta ja čuoččuha .
Dát mearriduvvo vuosttažettiin vuođđolága § 16 mas čuožžu : « Gonagas ordne buot almmolaš girko- ja ipmilbálvalusaid , buot čoahkkimiid mat 	gusket 	religiuvdnaáššiide , ja bearráigeahččá , ahte religiuvnna almmolaš oahpaheaddjit čuvvot sin mearriduvvon norpmaid » .
Religiuvnna « almmolaš oahpaheaddjit » leat vuosttamužžan bismmat ja báhpat , muhto dat 	guoská 	maiddái earáide geat oahpahit religiuvnna .
Dat 	guoská 	earenoamážit bárgiide Boasttas , NSB`as , Bárgomárkanetáhtas , Oadjoetáhtas ja Riikahospitálas .
Ovdagihtiimáksinmearri mii 	guoská 	mánáid birgehandoarjagii , lea geassemánu 1. beaivvi 1998 rájes indeksamuddejuvvon gitta 1070 ruvdnui mánus juohke mánás .
Indeksamudden ii 	guoskka 	dan vejolašvuhtii mii guđesge lea rievdadit máksinsumma mánáidlága njuolggadusaid mielde .
Muittuhit ahte ođđa njuolggadusat leat čávken njuolggadusaid dasa mii 	guoská 	geat gálget beassat vuovdit bávkkanasaid .
Doarjja 	guoská 	bearrašiidda geain lea okta gii lea juogo :
Mii 	guoská 	ahte eai leat ožžon mávssu buot bohccuid ovddas maid leat munnje buktán , leat dát dušši ságat .
Go searvegottiráđđi lea válljejuvvon orgána , de sis lea geatnegasvuohta čuovvut daid dábálaš njuolggadusaid mat 	gusket 	áššemeannudeapmái .
Áviisa čállá Báskár gillii , ja gokčá áššiid mat 	gusket 	olles Báskár álbmogii ja guvlui gos sii orrot .
Seamma lea mii 	guoská 	heajos vásihusaide .
Earenoamážit 	guoská 	dat joatkkaskuvllaide ja buohcciviesuide .
Jus fylkkagielda galgá viidáseappot doaibmat , dainna unnán luohttamušain maid lea ožžon álbmogis , ja vel oažžut vuostálastima stádas ja dan hálddahusas , de bohtet váttisvuođat mat 	gusket 	čađaheapmái fylkkagieldda doaimmain joatkit ja šaddat stuorabut .
Danne ferte dál áddit eambbo vuoimmi regionálalaš hálddahussii , vai álbmoga iežas válljejuvvon politihkkárat besset čájehit ahte sii nágodit guoddit ovddasvástádusa mii 	guoská 	fylkkagieldda hálddahussii .
Čáhcesullos lea suoladuvvon okta biila , maid doivot 	guoskat 	báhtareapmái .
Nu ahte soai eaba gal leat váralaččat , ja politiijat hálidit dieđuid jus oktage lea oaidnán maidege mii sáhttá 	guoskat 	báhtareapmái .
– Suohkanat lea njoazit buktit midjiide dieđuid mii 	guoská 	ealgabivdui .
Leat unnán dieđut guovllu , našuvnnalaš ja internašuvnnalaš konvenšuvnnaide ja lágaide mat 	gusket 	álgoálbmogiid rivttiide .
Earenoamážit 	guoská 	dat diesel biillaide .
Dat bargosajit maid dákkár bárggut buktet leat dehálaččat , ja ii Snøhvit huksen , mii lea meara alde gál várra 	guoskka 	sámiid eatnamiidda ja rivttiide .
	Guoská 	gait virggiide : Ohcci ferte máhttit sámegiela njálmmálaččat ja čálálaččat , ja sus galgá leahkit eksamena sámegielas allaskuvllas // universitehtas .
Njuolggadus 	guoská 	buot eanadoalloopmodahkii main lea vuoigatvuohta oažžut buvttadandoarjagiid .
Go deaddela skuttera maŋegeaži , de ii galgga geahči 	guoskat 	eatnamii .
Sáhttá njuikkodit skuttera alde , ja ii ge dallege galgga geahči 	guoskat 	eatnamii .
Muhto dát ii 	guoskka 	dušše sámiide ja kveanaide .
Muhto ii dušše sápmelaččaide lea dákkár iskkadeapmi ja gárten 	guoskan 	.
Dákkár bargu ii 	guoskan 	dušše čearddalašvuhtii .
– Ain odne leat olbmot eallimen geaidda dákkár registreren 	guoská 	.
De 	guoskkai 	bártni giehta báddái mas divga lei gitta ja divga skilihii .
– Muhto mii 	guoská 	duolvačáhce buhtisteapmái , lea ilá maŋŋit , go mii álggahit huksema dán geasi , lohká Nils Ole Turi Guovdageainnu teknihkalaš ossodagas .
– Muhto mii 	guoská 	duolvačáhce buhtisteapmái , soaitá leat ilá maŋŋit dál ásahit ovttasbarggu , goit dán oktavuođas .
Dat 	guoská 	dán oassái mii manná Máze girkus davas .
– Luodda lea nu seaggi ahte ii báljo čága hoigat muohttaga , biila láve measta 	guoskkadit 	ravddaide , muitala Lemet .
Dan go ferte váldit vuhtii sihke girku ja servvodagaid mat dása 	gusket 	.
	Guoská 	buot jođiheaddjivirggiide : Daidda gáibiduvvo dohkkehuvvon oahppu oahpaheaddjioahppolága mielde ja unnimusat 3 jagi bargohárjaneapmi skuvllas .
Virggiide gáibiduvvo maid jođihanmáhttu ja buorit návccat ásahit buori oahppobirrasa skuvllas ja buori dili pedagogalaš ovddidahttinbargui ja návccat ovddidit ovttasbarggu ja dili buohkaide geat 	gusket 	skuvlii .
Virgái 	guoská 	maid ráhkadit plánaid doibmii , ja muđui eará barggut maid šiehttá lagamus bargoaddiin gii lea Máze skuvlla rektor .
	Guoská 	buot virggiide :
Virggi doaimmat leat eastadeaddji dearvvašvuođabargu , skuvla-dearvvašvuođabálvalus , birrasii 	guoski 	dearvvašvuođagáhtten ja dearvvašvuođa- čuvgehus .
Dat ođđa láhka , mii 	guoská 	dása , bođii cuoŋománu 7. beaivvi 1995`as .
Danne guollebivdin njuolggadusat luossajogaide dál 	gusket 	Ánnejogas gitta dan rádjái mii gohčoduvvo Aldonenkulpen .
Virgái 	guoská 	: Virgái gáibiduvvo ovdaskuvllaoahpaheaddjioahppu , muhto maiddái earát geain lea sullásaš oahppu ja hárjáneapmi ávžžuhuvvojit ohcat .
Dát rievdadeapmi 	guoskkai 	earenoamážit johttisámiide geat 1978:s eai ožžon alcceseaset sierra
Virggiide 	guoská 	:
Gilvinplána mearrádus biddjui fápmui 1.1.1998 , ja 	guoská 	buot eanandolliide geat ohcet buvttadandoarjaga .
sámediggi han lea riikaviidosaš ásahus , ja nuppástuhttinprográmma ii 	guoskka 	eará go njealji suohkanii Finnmárkkus , ákkastalla Eira .
Máze suodjalusčiekči , Allen Lantto , oaččui rukses goartta dán čiekčamis , go son ribahii gieđain 	guoskat 	spábbii .
Dan lassin áimmunuoskkideamit johtet juohke sadjái badjel riikkaid rájiid ja 	gusket 	midjiide buohkaide .
	Guoská 	gait virggiide : - Jus muđuid leat seammá eavttut , ja go ii boađe earáládje ovdan almmuhusteavsttas , mannet ohccit geat máhttet sámegieala eará ohcciid ovdabeallái .
Dan seamma 	guoská 	friddjavuhtii biehttalit náitit earránan olbmuid .
Plána- ja hálddahussekšuvnna jođiheaddji virgi lea ođđa virgi , ja dát sekšuvdna lea hálddahusa bargoreaidu , mii 	guoská 	hálddahuslaš , merkantiila ja ekonomálaš fágasurggiid ovddideapmái , plánabargu , ovttastahttimii ja jođiheapmái rastá suorgerájáid , ja vuollásaš ráđiid ektui .
– Mii eat leat duhtavaččat stáda fálaldagaiguin , earenoamážit dasa mii 	guoská 	internáhta bargiide .
	Guoská 	goappaš virggiide Lassin 1 bc. go lea formálaš eksámen sámegielas unnimus vuođđofágadásis .
maŋideapmi 	guoská 	earenoamážit sidjiide geat giro bokte ožžot máksojuvvot bargguhisvuođa ruđaid .
Ohcan 	guoská 	orohagaide ja siiddaide geain leat delegáhtat NBR:a riikačoahkkimis .
Eanas áššit leat hui dehálaččat boazodoalu boahtteáigái , earenoamážit dat mii 	guoská 	lágaide , hálddahussii ja boazodoallošiehtadussii .
Fágabeaivvis ledje logaldallamat iešguđet fáttáid birra , ja buot áššit maid birra logaldalle 	gusket 	boazodollui .
– Mii 	guoská 	ođđa njuolgadusaide ja mearrádusaide , sihke boazodoallolága ja šiehtadusa ektui , de mii sáddet dákkár dieđuid sierra juohke dollui dađimielde go rievdadusat bohtet .
Mii 	guoská 	teavsttaide , mu oainnu mielde , leat dat hui ovttageardánat .
	Guoská 	plána- ja organisašuvdnaossodaga virggiide :
Dat geaidda dát ii 	guoskka 	leat : - ámmatbargit geat leat deavdán 62 jagi suoidnemánu 1. beaivái 1998 , dassážii ollejit peanšunahkái ( 70 jagi ) - dábálaš doaktárat ( guoská dassážii fásta doavttirortnet lea sajáiduvvan ) - fásta bálkahuvvon doaktárat geat fitnet buhcciid luhtte maŋŋil bargoáiggi - psykiatri ja klinihkalaš spesialisttaide geain ii leat šiehtaduvvon bargoortnet eará váldovirggi bálddas ( gaskaboddosaččat )
Dat geaidda dát ii guoskka leat : - ámmatbargit geat leat deavdán 62 jagi suoidnemánu 1. beaivái 1998 , dassážii ollejit peanšunahkái ( 70 jagi ) - dábálaš doaktárat ( 	guoská 	dassážii fásta doavttirortnet lea sajáiduvvan ) - fásta bálkahuvvon doaktárat geat fitnet buhcciid luhtte maŋŋil bargoáiggi - psykiatri ja klinihkalaš spesialisttaide geain ii leat šiehtaduvvon bargoortnet eará váldovirggi bálddas ( gaskaboddosaččat )
Jus manat maŋŋil suoidnemánu 1. beaivvi dakkár ámmatdivššára lusa geasa ii 	guoskka 	álbmotoaju doarjjaortnet , de it oaččo máksojuvvot dikšungoluid it ge mátkkoštangoluid divššu oktavuođas .
Veahkkeneavvoguovddáš ( HMS ) váldá badjelasas mearridanválddi mii 	guoská 	dasa gii galgá oažžut doarjaga dulkii oadjokántuvrras . #ILL
Mearrádus mii 	guoská 	dasa oaččut go dulkka , sáhttá dahkkot njálmmálaččat .
	Guoská 	gait virggiide : - Jus muđuid leat seammá eavttut , ja go ii boađe earáládje ovdan almmuhusteavsttas , mannet ohccit geat máhttet sámegieala eará ohcciid ovdabeallái . #ILL
	Guoská 	goappeš virggiide :
Samediggi galgá eambbo beassat mearridit áššiin mat earenoamážit 	gusket 	sámiide , nugo skuvlapolitihkka , ealáhusa ovdaneapmi , giella ja kultuvra sámi servvodagas .
Danin lea Suoma beale ássiide dát ollu mearkkašan , ahte 1972 njuolggadus bođii 	guoskat 	Norgga beale vuolle- ja njálbmeosiide .
Muhto ii dát dilli 	guoskka 	buot báikkiide ja fitnodagaide .
Muhto stáhtaráđđi Jon Lilletun oaidná ahte sáhttá leat dárbu earálágan vuohkái dasa mii 	guoská 	báhpaid oktavuhtii bismmain .
birra , - gaskkal bisma Steinholt « ja daid báhpaid geaidda dát 	guoská 	.
ILO-konvenšuvdna čujuha ahte dát prinsihppa maiddái 	guoská 	sierranas minoritehtaide .
Dás hástalan girku bismaid , báhpaid ja orgánaid aktiivvaleapput oassálastit digaštallamiin mat 	gusket 	sámiid rivttiide eatnamiidda .
Berre leat hui dehálaš ahte Girku 1999:s buktá hui čielga oainnu áššái mii 	guoská 	sámiid vuoigatvuođaide eatnamiidda Norggas .
Dat vuosttaš dat 	guoskkai 	dasa masa lávejit vanccaid geassit bajás .
Davvi-Hålogalándda bisma , Ola Steinholt , lea ožžon iežas oainnu čađa mii 	guoská 	Guovdageainnu suohkanbáhpa Olav Berg Lyngmo ja Gángaviika báhpa Arne Thorsen eretbidjamii .
– Departemeanta ferte gávdnat vuogi mainna lágiin sáhttá dahkat mearrádusa bajábealde searvegotteráđi , lohká Fiskenes ja joatká:Mii 	guoská 	girku luoikamii , sáhttá unnitlohkku searvegotteráđis váidit girku luoikama .
Dasa lassin ii leat TV2 deavdán gáibádusaid dasa mii 	guoská 	sierra kultur ja dáiddaprográmmaide .
Maiddái ferte nannejuvvot prográmmafálaldat mii 	guoská 	dutkamii , gaskariikkalaš oktavuođaide earet ođđasiid , oskku ja eallinfilosofiija ja nuoraidprográmmaide earet go nugohčoduvvon pop-videoid čájehit .
Earenoamážit dasa mii 	guoská 	sáddagiidda sámi álbmogii .
Earenoamážit dasa mii 	guoská 	sámiguoski áššiide ja prográmmaide .
TV2 diehtojuohkinhoavda Rune Inderøy lohká ahte TV2«as ja allmennkringkastingsrådas lea guovttelágan oaidnu dasa mii 	guoská 	mii lea nugohčoduvvon allmennkringskasting , dahje TVsáddagat olles álbmogii .
