# Distributed under the terms of the GNU General Public License version 2 
# or any later version.
# 
# speller-regressions.txt
# This file contains example pairs of known speller bugs. It follows the
# same pattern as the src/typos.txt files, ie error and correction separated
# by a <tab> character:
# error<tab>correction
# Furthermore, this file contains correct entries that should be accepted
# as is - their format is:
# correct<tab>
# ie the correct word followed by a <tab> char, followed by new-line.
# 
# The file should be extended with examples of all known bugs we have fixed,
# and can be used to ensure that we don't brake any old fixes in new releases.
# Also problematic patterns not yet properly handled should get test pairs here.
# 
# It is possible, and encouraged, to add a comment with the relevant bug ID
# after each (group of) test case. Comments start with <tab>! or <tab>#. If
# you start a comment with a bug ID, it will ensure that all test pairs
# belonging to one bug is grouped together in the test report.
# 
# For maintenance reasons, and to easier ensure that all bugs are covered by
# both negative and positive tests, all test pairs are sorted according to bug
# number, and test pairs without a bug number in the beginning. Please add new
# test pairs at the proper location (usually at the end of the document).
# 
# Format summary:
# 
# error<tab>correction<tab># comment
# correct<tab><tab>! comment
# 
FN:ii	FN:i
EO:a	EO
beavddeguorra	beavdeguorra	#539 - speller does not follow compound-tagging
beavdeguorra			#539 - speller does not follow compound-tagging
addojupmimuorra	addojupmemuorra	#540 - more "impossible" compounds accepted
anistupmimuorra	anistupmemuorra	#540 - more "impossible" compounds accepted
arvvosmahttojupmimuorra	arvvosmahttojupmemuorra	#540 - more "impossible" compounds accepted
albmabuktojupmimuorra	albmabuktojupmemuorra	#540 - more "impossible" compounds accepted
addojupmi		#540 - more "impossible" compounds accepted
anistupmi		#540 - more "impossible" compounds accepted
arvvosmahttojupmi		#540 - more "impossible" compounds accepted
albmabuktojupmi		#540 - more "impossible" compounds accepted
bajusdovdu		#541 - does not recognize compounds
lagusgoahti		#541 - does not recognize compounds
oktahatge		#542 - does not accepts pronouns + clitic
monge		#542 - does not accepts pronouns + clitic
dutnjege		#542 - does not accepts pronouns + clitic
iežáge		#542 - does not accepts pronouns + clitic
iešguđetge		#542 - does not accepts pronouns + clitic
iešguhtetge		#542 - does not accepts pronouns + clitic
ihtaluddandávda		#543 - plural actios do not form compounds
ihtanmuorra		#543 - plural actios do not form compounds
albmáidviessu		#544 - does not follow cmp-tagging, contracted nouns
báldáiddávda		#544 - does not follow cmp-tagging, contracted nouns
cugŋuiddávda		#544 - does not follow cmp-tagging, contracted nouns
1883:a	1883	#555 - speller does not suggest 1883 for 1883:a
Bq:a	Bq	#555 - speller does not suggest 1883 for 1883:a
NRK:a	NRK	#555 - speller does not suggest 1883 for 1883:a
#Oslo--Biela	Oslo-Biela	#575 - name+name suggestions with double hyphens
#Harstad--Biela	Harstad-Biela	#575 - name+name suggestions with double hyphens
#Børde--Rene	Børde-Rene	#575 - name+name suggestions with double hyphens
Børde-Rene		#575 - name+name suggestions with double hyphens
#Rød--Rene	Rød-Rene	#575 - name+name suggestions with double hyphens
Rød-Rene		#575 - name+name suggestions with double hyphens
#Børde--Renee	Børde-Renee	#575 - name+name suggestions with double hyphens
Børde-Renee		#575 - name+name suggestions with double hyphens
#BB--Rød--Rene	BB-Rød-Rene	#575 - name+name suggestions with double hyphens
#TV--Akse	TV-Akse	#575 - name+name suggestions with double hyphens
#Myd--Land	Myra-Land	#575 - name+name suggestions with double hyphens
#Ryd--Åland	Ryd-Åland	#575 - name+name suggestions with double hyphens
#Ryd--Öland	Ryd-Öland	#575 - name+name suggestions with double hyphens
Myra-Land		#575 - name+name suggestions with double hyphens
Ryd-Åland		#575 - name+name suggestions with double hyphens
Ryd-Öland		#575 - name+name suggestions with double hyphens
Tearbmajoavkočoahkkin		#577 - missing words
Tearbmajoavkolahttu		#577 - missing words
Váilevuohta		#577 - missing words
Lonuhusgávpeustibat		#577 - missing words
Báhkár		#577 - missing words
E-boasta		#577 - missing words
bajon		#577 - missing words
tearbmabargovuogádaga		#577 - missing words
38jahkásaš	38-jahkásaš	#580 - suggests 38jahkásasj for 38-jahkásasj
38-jahkásaš		#580 - suggests 38jahkásasj for 38-jahkásasj
čielgas	čielggas	#581 - consonant doubling
váigas	váiggas	#581 - consonant doubling
stirdas	stirddas	#581 - consonant doubling
stargas	starggas	#581 - consonant doubling
NuorraRomssas	Nuorra-Romssas	#582 - WONT FIX IN PLX noun+Prop without hyphen
Nuorra-Romssas		#582 - noun+Prop without hyphen
juovla-		#583 - BUVSSAT-words and hyphen
keasta-		#583 - BUVSSAT-words and hyphen
8-r.beaivi	￼8-beaivi	#588 - r. taking part in compounding
viessor.beaivi	viessobeaivi	#588 - r. taking part in compounding
viessor.	viesson	#588 - r. taking part in compounding
muorrar.	muorra	#588 - r. taking part in compounding
dollar.	dollár	#588 - r. taking part in compounding
hallat	hállat	#589 - suggestions involving vowel-replacement
ringet	riŋget	#589 - suggestions involving vowel-replacement
bealjeheapme		#592 - cases of caritives on -heapmi
bealjeheami		#592 - cases of caritives on -heapmi
bealjeheapmái		#592 - cases of caritives on -heapmi
bealjeheamis		#592 - cases of caritives on -heapmi
bealjehemiin		#592 - cases of caritives on -heapmi
bealjeheapmin		#592 - cases of caritives on -heapmi
bealjeheamit		#592 - cases of caritives on -heapmi
bealjehemiid		#592 - cases of caritives on -heapmi
bealjehemiide		#592 - cases of caritives on -heapmi
bealjehemiiguin		#592 - cases of caritives on -heapmi
Hámpparfierbmi		#593 - Missing words in beta 2
Mihkalmas-beaivi		#593 - Missing words in beta 2  WONT FIX IN PLX
Omma-goahti		#593 - Missing words in beta 2
Pieski-lávvu		#593 - Missing words in beta 2
Gaup-áiti		#593 - Missing words in beta 2
Moshagen-buvda			#593 - Missing words in beta 2
Bihárisvahkku		#593 - Missing words in beta 2
spilživahkku		#593 - Missing words in beta 2
Šlanzedálkkit		#593 - Missing words in beta 2
Ávildit		#593 - Missing words in beta 2
gierrinmuorra		#593 - Missing words in beta 2
gierrinsoabbi		#593 - Missing words in beta 2
fiehtti		#593 - Missing words in beta 2
ávildanmuorra		#593 - Missing words in beta 2
gierrinbáddi		#593 - Missing words in beta 2
gierrinárpu		#593 - Missing words in beta 2
ávildanárpu		#593 - Missing words in beta 2
Skoalžemielki		#593 - Missing words in beta 2
Bahtaboskkan		#593 - Missing words in beta 2
Velste		#593 - Missing words in beta 2
Ođđasisprenten		#593 - Missing words in beta 2
Nuppelohkái		#593 - Missing words in beta 2
guovssahasa	guovssahasaid	#593 - Missing words in beta 2
ovttatládje	ovttat ládje	#593 - Missing words in beta 2
sosioleakta		#593 - Missing words in beta 2
čolčet		#593 - Missing words in beta 2
Dakkobokte	Dakko bokte	#593 - Missing words in beta 2
Kásterolla		#593 - Missing words in beta 2
Čoaffil		#593 - Missing words in beta 2
Uffir		#593 - Missing words in beta 2
Bálggesbeallá		#593 - Missing words in beta 2
Hassat		#593 - Missing words in beta 2
Skižihit		#593 - Missing words in beta 2
ovdaLot-	ovda-Lot	#595 - prefix+name as split comp without hyphen
psykiatriijaÁlaš-	psykiatriija-Álaš	#595 - prefix+name as split comp without hyphen
ovda-Lot-		#595 - prefix+name as split comp without hyphen
psykiatriija-Álaš-		#595 - prefix+name as split comp without hyphen
nubbelohki		#597 - does not recognize nubbelohki
nuppelogi		#597 - does not recognize nubbelohki
nuppelohkái		#597 - does not recognize nubbelohki
nuppelogis		#597 - does not recognize nubbelohki
gievrramusas		#598 - superlative case-forms on -mus
gievrramussii		#598 - superlative case-forms on -mus
vuolimusain		#598 - superlative case-forms on -mus
bajimusa		#598 - superlative case-forms on -mus
bajimus		#598 - superlative case-forms on -mus
bajimussan		#598 - superlative case-forms on -mus
guoktelot		#599 - numeral attr:s on lot
golbmalot		#599 - numeral attr:s on lot
njealljelot		#599 - numeral attr:s on lot
sámi-dáru		#600 - Gen+hyph compound
máilmmicupa		#601 - does not recognize compounds on máilmmi
máilmmimuorra		#601 - does not recognize compounds on máilmmi
suomabieldi	suomabielbi	#603 - suomabealdi, norggabealdi accepted
norggabieldi	norggabielbi	#603 - suomabealdi, norggabealdi accepted
Suomabealdi	Suomabealli	#603 - suomabealdi, norggabealdi accepted
Guovdageainu	Guovdageainnu	#603 - suomabealdi, norggabealdi accepted
rájirastema		#604 - actios as second part of compound
ealuratifiserema		#604 - actios as second part of compound
ealuduvdimii		#604 - actios as second part of compound
rájiduvdimis		#604 - actios as second part of compound
rájirasten		#604 - actios as second part of compound
ealuratifiseren		#604 - actios as second part of compound
ealuduvdin		#604 - actios as second part of compound
rájiduvdin		#604 - actios as second part of compound
rájimuittašeapmi		#604 - actios as second part of compound
ealumuittašeami		#604 - actios as second part of compound
Ealumuittašeapmái		#604 - actios as second part of compound
burkkemuittašeamis		#604 - actios as second part of compound
heajosvuohtaustit	heajosvuođaustit	#606 - compound-tags LEXICON VUOHTA
NRKGE	NRK-EG	#607 - WONT FIX IN PLX acro-compounds without hyphen
NRK-EG		#607 - acro-compounds without hyphen
ILO-:I	ILO:i	#608 - acros with hyphen and case
Anár-julggaštusa		#609 - Anár-julggaštusa not recognized
Anar-julggaštusa	Anár-julggaštusa	#609 - Anár-julggaštusa not recognized
ovcciduhát		#610 - -duhát words missing
gávcciduhát		#610 - -duhát words missing
čiežaduhát		#610 - -duhát words missing
guhttaduhát		#610 - -duhát words missing
vihttaduhát		#610 - -duhát words missing
oktaduhát		#610 - -duhát words missing
golbmaduhát		#610 - -duhát words missing
oktanuppelotduhát		#610 - -duhát words missing
#0--Finn-márkkuduoddara	Finnmárku-duoddara	#611 - double hyphen-suggestions
#Koskivuori--plánenreaiddut	Koskivuori-plánenreaiddut	#611 - double hyphen-suggestions
#AP--rávvagat	AP-rávvagat	#611 - double hyphen-suggestions
#ANC--reahccut	ANC-reahccut	#611 - double hyphen-suggestions
#10--jahkásačča	10-jahkásačča	#611 - double hyphen-suggestions
#Davimušaláš--geađggit	Davimušaláš-geađggit	#611 - double hyphen-suggestions
Finnmárku-duoddara		#611 - double hyphen-suggestions
Koskivuori-plánenreaiddut		#611 - double hyphen-suggestions
AP-rávvagat		#611 - double hyphen-suggestions
ANC-reahccut		#611 - double hyphen-suggestions
10-jahkásačča		#611 - double hyphen-suggestions
Davimušaláš-geađggit		#611 - double hyphen-suggestions
#SF--muorra	SF-muorra	#611 - double hyphen-suggestions
SF-muorra		#611 - double hyphen-suggestions
makkárin		#612 - case-forms of makkár
makkára		#612 - case-forms of makkár
makkárii		#612 - case-forms of makkár
guovlanráigge		#613 - short genitives as second part of compound
muitalangoađe		#613 - short genitives as second part of compound
muorraráigge		#613 - short genitives as second part of compound
Rinta--aho	Rinta-aho	#614 - Rinta-aho not accepted but suggested
Rintaaho	Rinta-aho	#614 - Rinta-aho not accepted but suggested
Rinta-aho		#614 - Rinta-aho not accepted but suggested
dakkárhámat		#619 - numerals and pronouns to NAMÁK and SASJ  fails
seammalágán		#619 - numerals and pronouns to NAMÁK and SASJ  fails
Ovttaguvllot		#619 - numerals and pronouns to NAMÁK and SASJ  fails
golbmasoarttat	golmmasoarttat	#619 - numerals and pronouns to NAMÁK and SASJ  fails
Ald		#620 - Missing words in 1.0.1 - sme
Ovttastávvalsániin		#620 - Missing words in 1.0.1 - sme
puddiŋga		#620 - Missing words in 1.0.1 - sme
ruonasfaskkus		#620 - Missing words in 1.0.1 - sme
smierrosaláhtta		#620 - Missing words in 1.0.1 - sme
Máhtebeaivi		#620 - Missing words in 1.0.1 - sme
gáttátban		#622 - Words with clitic -ban not accepted
dieđátban		#622 - Words with clitic -ban not accepted
dieđánban		#622 - Words with clitic -ban not accepted
leatban		#622 - Words with clitic -ban not accepted
gulloban		#622 - Words with clitic -ban not accepted
giellaban		#622 - Words with clitic -ban not accepted
iešguđet		#623 - iešguđet and iešguđetge not accepted in speller
iešguhtet		#623 - iešguđet and iešguđetge not accepted in speller
iešguđetge		#623 - iešguđet and iešguđetge not accepted in speller
árgabeai-		#627 - prefix + hyhpen does not get accepted
#julevá--gielas	julevgielas	#629 - a taking part of compound
julevá-gielas	julev-á-gielas	#629 - a taking part of compound
#julevuá--gielas	julevugielas	#629 - a taking part of compound
julevuá-gielas	julevu-á-gielas	#629 - a taking part of compound
Sámediggei-válggaid	Sámediggi-válggaid	#629 - a taking part of compound
muorra-ii-muorra	muorra-Timora	#629 - a taking part of compound
muorraiimuorra	muorráimuorra	#629 - a taking part of compound
muorraii-muorra	muorra-Timora	#629 - a taking part of compound
muorra-iimuorra	muorra-Timora	#629 - a taking part of compound
051-nummarat		#631 - number compound, numbers starting with 0
05-nummarat		#631 - number compound, numbers starting with 0
007-nummarat		#631 - number compound, numbers starting with 0
03-nummarat		#631 - number compound, numbers starting with 0
#AP--rávvagat	AP-rávvagat	#633 - extra hyphen inserted by hyphenator, accepted by speller
#ANC--reahccut	ANC-reahccut	#633 - extra hyphen inserted by hyphenator, accepted by speller
#10--jahkásačča	10-jahkásačča	#633 - extra hyphen inserted by hyphenator, accepted by speller
#Davimušaláš--geađggit	Davimušaláš-geađggit	#633 - extra hyphen inserted by hyphenator, accepted by speller
#Koskivuori--plánenreaiddut	Koskivuori-plánenreaiddut	#633 - extra hyphen inserted by hyphenator, accepted by speller
AP-rávvagat		#633 - extra hyphen inserted by hyphenator, accepted by speller
ANC-reahccut		#633 - extra hyphen inserted by hyphenator, accepted by speller
10-jahkásačča		#633 - extra hyphen inserted by hyphenator, accepted by speller
Davimušaláš-geađggit		#633 - extra hyphen inserted by hyphenator, accepted by speller
Koskivuori-plánenreaiddut		#633 - extra hyphen inserted by hyphenator, accepted by speller
Gáivuona-Návuona		#634 - Prop gen + hyphen + Prop gen
Gáivuona-Navuona	Gáivuona-Návuona	#634 - Prop gen + hyphen + Prop gen
monnaj	monnai	#637 - -nai(go) becomes -naj(go)
monnai		#637 - -nai(go) becomes -naj(go)
birgennaj	birgennai	#637 - -nai(go) becomes -naj(go)
birgegoađáledjenaj	birgegoađáledjenai	#637 - -nai(go) becomes -naj(go)
muoratnajgo	muoratnaigo	#637 - -nai(go) becomes -naj(go)
birgennajgo	birgennaigo	#637 - -nai(go) becomes -naj(go)
gáttibui		#638 - noun comparatives
gáttimusas		#638 - noun comparatives
lulibut		#638 - noun comparatives
lulimusas		#638 - noun comparatives
oarjjibut		#638 - noun comparatives
oarjjimusas		#638 - noun comparatives
meariunnidanskovi		#639 - +Left-marked words as middle part of compound
oktaolbmo	oktatolbmo	#641 - numeral+noun compounds
guovttiolbmo	guovddiolbmo	#641 - numeral+noun compounds
Kuorak-ain	Kuorak-Ain	#642 - noun/adj/proper + hyphen + ain
muorra-ain	muorra-Ain	#642 - noun/adj/proper + hyphen + ain
dábálaš-ain	dábálaš-Ain	#642 - noun/adj/proper + hyphen + ain
1992-93:s		#644 - cased numeral+numeral compounds
dáppe-olmmoš		#646 - adverb+hyphen+noun
duoppe-muorra		#646 - WONT FIX IN PLX adverb+hyphen+noun
anti-bárdni		#646 - adverb+hyphen+noun
1700-LOHKU		#647 - numerals+NOUN
1700-Lohku	1700-lohku	#647 - numerals+NOUN
0-atnuiváldin	#648 - unmotivated suggestions with numeral+noun
0-áigginiibi	0-áiggeniibi	#648 - unmotivated suggestions with numeral+noun
0-moaddenuppelotjagi	0-moaddenuppelotnai	#648 - unmotivated suggestions with numeral+noun
0-vuosttaš-čájálmas	#648 - unmotivated suggestions with numeral+noun
0-vuosttas-riegádeaddji	#648 - unmotivated suggestions with numeral+noun
0-Varfjell-Stifjell-duopmu	#648 - unmotivated suggestions with numeral+noun
0-eanohisdásis	#648 - unmotivated suggestions with numeral+noun
Kitaasullasaš	Kitaa-sullasaš	#649 - name+adj compounds without hyphen
Máhttenammasaš	Máhtte-nammasaš	#649 - name+adj compounds without hyphen
Máhttesullasaš	Máhtte-sullasaš	#649 - name+adj compounds without hyphen
Oslosuhteš	Oslo-suhteš	#649 - name+adj compounds without hyphen
VARI	VÁRI	#652 - UPPERCASE-typos only get acronym-suggestions
VRE	VÁRI	#652 - UPPERCASE-typos only get acronym-suggestions
vARI	VÁRI	#652 - UPPERCASE-typos only get acronym-suggestions
guoktenuppelogát		#654 - speller does not recognize ordinals on -nuppelogát
golbmanuppelogát		#654 - speller does not recognize ordinals on -nuppelogát
vihttanuppelogát		#654 - speller does not recognize ordinals on -nuppelogát
datnai		#655 - pron + nai
saame	sáme	#658 - suggestions saame (suggestions Saame (with capital S) is proper so in that meaning this bug won't be fixed unless we remove the proper-noun)
berrešivčče	berrešedje	#659 - phon rule does not apply
eanodahlaš	eanodatlaš	#660 - suggestions eanodahlaš
lab.		#661 - abbr. not recognized
dieppimus		#665 - adverb superlatives
doppimus		#665 - adverb superlatives
guovtte-		#666 - guovtte- and njealje-
njealje-		#666 - guovtte- and njealje-
ovdda-		#666 - guovtte- and njealje-
maŋá-		#666 - guovtte- and njealje-
duogá-		#666 - guovtte- and njealje-
siskka-		#666 - guovtte- and njealje-
oarjja-		#666 - guovtte- and njealje-
lulá-		#666 - guovtte- and njealje-
davá-		#666 - guovtte- and njealje-
mieđá-		#666 - guovtte- and njealje-
gátta-		#666 - guovtte- and njealje-
fávlla-		#666 - guovtte- and njealje-
3:siin		#668 - caseforms, ordinals and collectives
3:diin		#668 - caseforms, ordinals and collectives
gealuldus		#674 - missing make-up terms
luomaivdni		#674 - missing make-up terms
čalbmebáđđá		#674 - missing make-up terms
luomavuoiddas		#674 - missing make-up terms
bavssašovun		#674 - missing make-up terms
geallungiisá		#674 - missing make-up terms
ruvsson		#674 - missing make-up terms
devkkon		#674 - missing make-up terms
ruškkon		#674 - missing make-up terms
Njealječiegatvuhtii		#696 - numerals + NAMAT-adjs + vuohta
Njealjičiegatvuhtii	Njealječiegatvuhtii	#696 - numerals + NAMAT-adjs + vuohta
fámuhuhttuj	fámuhuhttui	#699 - Hunspell-marking and j Surfacing for short passives
dekčoj	dekčui	#699 - Hunspell-marking and j Surfacing for short passives
dábálažvuohta	dábálašvuohta #697 - +N+Der1+Der/laš+A+Der3+Der/vuohta
riikkalažvuohta	rihkolašvuohta	#697 - +N+Der1+Der/laš+A+Der3+Der/vuohta
vuosttálažvuohta	vuostálasvuohta	#697 - +N+Der1+Der/laš+A+Der3+Der/vuohta
geavahaeddjeveahkki	geavaheaddjeveahkki	#700 - ae-diphthong in geavahaeddjeveahkki
#sámedigge--válga	sámediggi-Volga	#709 - s-sámediggeválga
sámediggeválga		#709 - s-sámediggeválga
sámedikkeválga		#709 - s-sámediggeválga
váhnenkeahtes		#710 - does not recognize -keahtes
váhnenkeates	váhnenkeahtes	#710 - does not recognize -keahtes
21bieivi	21-beaivi	#711 - numeral compounds and cases
10ijjs	10-ija	#711 - numeral compounds and cases
1996:itd	1996:id	#711 - numeral compounds and cases
21-beaivi		#711 - numeral compounds and cases
10-ija		#711 - numeral compounds and cases
1996:id		#711 - numeral compounds and cases
juovla-CD		#717 - noun-acro compounds
juovla-CDas	juovla-CD:s	#717 - noun-acro compounds
njealjimuora	njealji muora	#721 - nom- and gen-numerals make compounds with nouns
njealljemuora	njeallje muora	#721 - nom- and gen-numerals make compounds with nouns
oktasuolu	okta suolu	#721 - nom- and gen-numerals make compounds with nouns
guovttigahpir	guovtti gahpira	#721 - nom- and gen-numerals make compounds with nouns
máilmmeduohki	máilmmiduohki	#728 - vowel shortening GenCmp+Left-tagged
čalmmiduohki	čalmmeduohki	#728 - vowel shortening GenCmp+Left-tagged
geašjuvla	egášjuvla	#739 - Rmiddle-words accepted as first part of compound as well
beailámpu	bear-lámpu	#739 - Rmiddle-words accepted as first part of compound as well
revithalisašuvnna	revitalisašuvnna	#754 - revitalisašuvnna not recognised
revitalisašuvnna		#754 - revitalisašuvnna not recognised
ovttahagain		#779 - caseforms of pronoun okatahat
ovttahagaide		#779 - caseforms of pronoun okatahat
ovttahagaid		#779 - caseforms of pronoun okatahat
ovttahagaiguin		#779 - caseforms of pronoun okatahat
ovttahagas		#779 - caseforms of pronoun okatahat
ovttahahkii		#779 - caseforms of pronoun okatahat
ovtahagain	ovttahagain	#779 - caseforms of pronoun okatahat
ovtahagaide	ovttahagaide	#779 - caseforms of pronoun okatahat
ovtahagaid	ovttahagaid	#779 - caseforms of pronoun okatahat
ovtahagaiguin	ovttahagaiguin	#779 - caseforms of pronoun okatahat
ovtahagas	ovttahagas	#779 - caseforms of pronoun okatahat
ovtahahkii	ovttahahkii	#779 - caseforms of pronoun okatahat
#abstr---muorra	abstr-muorra	#784 - multiple hyphens accepted
#C---čiekčit	C-čiekčit	#784 - multiple hyphens accepted
#D---čiekčit	D-čiekčit	#784 - multiple hyphens accepted
#muorra---geaidnu	muorra-geaidnu	#784 - multiple hyphens accepted
amuorra	a-muorra	#785 - does not recognize alphabet-abbr+noun
Cmuorra	C-muorra	#785 - does not recognize alphabet-abbr+noun
dmuorra	d-muorra	#785 - does not recognize alphabet-abbr+noun
Emuorra	E-muorra	#785 - does not recognize alphabet-abbr+noun
njoavku	n-joavku	#785 - does not recognize alphabet-abbr+noun
Ojoavku	O-joavku	#785 - does not recognize alphabet-abbr+noun
ujoavku	u-joavku	#785 - does not recognize alphabet-abbr+noun
a-muorra		#785 - does not recognize alphabet-abbr+noun
C-muorra		#785 - does not recognize alphabet-abbr+noun
d-muorra		#785 - does not recognize alphabet-abbr+noun
E-muorra		#785 - does not recognize alphabet-abbr+noun
n-joavku		#785 - does not recognize alphabet-abbr+noun
O-joavku		#785 - does not recognize alphabet-abbr+noun
u-joavku		#785 - does not recognize alphabet-abbr+noun
rássesiljodikšun	rássešiljodikšun	#786 - multiple part compounds and GenLeft marking
muorrastávrrádgeavaheapmi	muorrastávrráidgeavaheapmi	#786 - multiple part compounds and GenLeft marking
stobostávrrádilli	stobustávrrádilli	#786 - multiple part compounds and GenLeft marking
muorrastávrrágeadnu	muorrastávrrágeaidnu	#786 - multiple part compounds and GenLeft marking
muođo		#801 - shortened genitiv
dáigge		#801 - shortened genitiv
olggo		#801 - shortened genitiv
beavdde		#801 - shortened genitiv
buođo		#801 - shortened genitiv
áidde		#801 - shortened genitiv
dáigemuođo		#801 - shortened genitiv
sildedáigge		#801 - shortened genitiv
bearjadatolggo		#801 - shortened genitiv
jurddabeavdde		#801 - shortened genitiv
máilmmibuođo		#801 - shortened genitiv
snuolgaáidde		#801 - shortened genitiv
muodo	muođo	#801 - shortened genitiv
daigge	dáigge	#801 - shortened genitiv
ollggo	olggo	#801 - shortened genitiv
beavddde	beavdde	#801 - shortened genitiv
buodo	buođo	#801 - shortened genitiv
áidđe	áidde	#801 - shortened genitiv
Houqe	Houge	#802 - multi word proper nouns
Houqe-muorra	Houge-muorra	#802 - multi word proper nouns
Houge-muorra		#802 - multi word proper nouns
boasttu	boastut	#803 - FINJU- words accepted single-handed
boastto	boarstto	#803 - FINJU- words accepted single-handed
čuorre	čoarre	#803 - FINJU- words accepted single-handed
luotkko	luotkku	#803 - FINJU- words accepted single-handed
guovttilogát	guovddilogát	#804 - guovttilogát, njealjilogát
njealjilogát	njealjitlogát	#804 - guovttilogát, njealjilogát
guoktelogát		#804 - guovttilogát, njealjilogát
njealljelogát		#804 - guovttilogát, njealjilogát
Seskaröcd	Seskarö-cd	#805 - Nouns/propernouns+acronyms
Berntv	Bern-tv	#805 - Nouns/propernouns+acronyms
muorraas	muorra-as	#805 - Nouns/propernouns+acronyms
muorraNRK	muorra-NRK	#805 - WONT FIX IN PLX Nouns/propernouns+acronyms
NRK-Finnmarku	NRK-Finnmárku	#805 - Nouns/propernouns+acronyms
NSR-Lindon	NSR-London	#805 - Nouns/propernouns+acronyms
Seskarö-cd		#805 - Nouns/propernouns+acronyms
Bern-tv		#805 - Nouns/propernouns+acronyms
muorra-as		#805 - Nouns/propernouns+acronyms
muorra-NRK		#805 - Nouns/propernouns+acronyms
NRK-Finnmárku		#805 - Nouns/propernouns+acronyms
NRK-London		#805 - Nouns/propernouns+acronyms
L-galba		#818 - one letter acros + nouns
F-muorra		#818 - one letter acros + nouns
D-mánná		#818 - one letter acros + nouns
L-gálba	L-galba	#818 - one letter acros + nouns
F-murra	F-muorra	#818 - one letter acros + nouns
D-mánna	D-mánná	#818 - one letter acros + nouns
Ássanrievttijođiheaddjái		#819 - Ássanrievtti + Left compound-tags
biilarievttijođiheaddjái		#819 - Ássanrievtti + Left compound-tags
muorrariiddumuitaleaddji		#819 - Ássanrievtti + Left compound-tags
Ássanrievttijodiheaddjái	Ássanrievttijođiheaddjái	#819 - Ássanrievtti + Left compound-tags
biilarievttijodiheaddjái	biilarievttijođiheaddjái	#819 - Ássanrievtti + Left compound-tags
muorrariiddomuitaleddji	muorrariiddomuitaleaddji	#819 - Ássanrievtti + Left compound-tags
muorraláiki		#837 - noun+adjective compounds
muorraláikkes	#837 - noun+adjective compounds
boahtinhávski		#837 - noun+adjective compounds
boahtinhávskes	#837 - noun+adjective compounds
muorraguoikkmuorra	muorraguoikamuorra	#840 - Sub-marked entities accepted
muorraalmuorra	muorramuorra	#840 - Sub-marked entities accepted
muorrajotmuorra	muorrajogamuorra	#840 - Sub-marked entities accepted
gážaldat	gažaldat	#879 - he word gažaldat "question" and its case forms is missing
gážaldaga	gažaldaga	#879 - he word gažaldat "question" and its case forms is missing
gažaldat		#879 - he word gažaldat "question" and its case forms is missing
gažaldaga		#879 - he word gažaldat "question" and its case forms is missing
gearpmašjármáđii	Gearpmašjármáđii	#883 - names tolerated with initial lowercase
jeagilvármáđii	Jeagilvármáđii	#883 - names tolerated with initial lowercase
skogssamerna	Skogssamerna	#883 - names tolerated with initial lowercase
songhai	Songhai	#883 - names tolerated with initial lowercase
Gearpmašjármáđii		#883 - names tolerated with initial lowercase
Jeagilvármáđii		#883 - names tolerated with initial lowercase
Skogssamerna		#883 - names tolerated with initial lowercase
Songhai		#883 - names tolerated with initial lowercase
bohcco-juoigi		#894 - hyphens or not in compounds
ovdamearkadihtii	ovdamearkka dihtii	#908 - ovdamearkadihtii and ovdamearkkašdihtii
ovdamearkkašdihtii		ovdamearkka dihtii	#908 - ovdamearkadihtii and ovdamearkkašdihtii
irgi		#909 - bunch of words not recognized
isit		#909 - bunch of words not recognized
luoilá		#909 - bunch of words not recognized
luohkká		#909 - bunch of words not recognized
luvdá		#909 - bunch of words not recognized
luttohat		#909 - bunch of words not recognized
luohpet		#909 - bunch of words not recognized
spábba		#909 - bunch of words not recognized
skihpárat		#909 - bunch of words not recognized
salaiguin		#909 - bunch of words not recognized
sullui		#909 - bunch of words not recognized
suolu		#909 - bunch of words not recognized
sáhka		#909 - bunch of words not recognized
jahki		#909 - bunch of words not recognized
Liekkusvuohta		#909 - bunch of words not recognized
Jurdagat		#909 - bunch of words not recognized
girji		#909 - bunch of words not recognized
Juoigamat		#909 - bunch of words not recognized
igri	irgi	#909 - bunch of words not recognized
isiŧ	isit	#909 - bunch of words not recognized
luoila	luoilá	#909 - bunch of words not recognized
luohkka	luohkká	#909 - bunch of words not recognized
luvda	luvdá	#909 - bunch of words not recognized
luttuhat	luttohat	#909 - bunch of words not recognized
loahpet	luohpet	#909 - bunch of words not recognized
spábbá	spábba	#909 - bunch of words not recognized
skihparat	skihpárat	#909 - bunch of words not recognized
saláiguin	salaiguin #909 - bunch of words not recognized
sulloi	sullui	#909 - bunch of words not recognized
suolo	suolu	#909 - bunch of words not recognized
sáhkka	sáhka	#909 - bunch of words not recognized
jakhi	jahki	#909 - bunch of words not recognized
Liekkusvuotha	Liekkusvuohta	#909 - bunch of words not recognized
Jurdugat	Jurdagat	#909 - bunch of words not recognized
gijri	girji	#909 - bunch of words not recognized
Juoiganat	Juoigamat	#909 - bunch of words not recognized
čielgas	čielgasa	#912 - sub-marked entities accepted
váigas	váigasa	#912 - sub-marked entities accepted
stirdas	stirdasa	#912 - sub-marked entities accepted
stargas	stargasa	#912 - sub-marked entities accepted
čielgasa		#912 - sub-marked entities accepted
váigasa		#912 - sub-marked entities accepted
stirdasa		#912 - sub-marked entities accepted
