Nu šattai vejolažžan bivdit stuora sáidehivvodagaid 	álkis 	ja hálbbes neavvuiguin . #ERR álkes
Ii , mii fertet geavahit 	álkis 	giela . #ERR álkes
Muitaluvvo ahte ledje ártegis olbmot dolin áigge geat gávdne váttis čovdosiid 	álkis 	váttisvuhtii . #ERR álkes
Muhto dat lohpádus maid Sandvik lea addán Nystøi , ii leat 	álkis 	ášši mii čovdojuvvo odne dahje dán jagi . #ERR álkes
Dát lea beare 	álkis 	vástádus departementta bealis , ja min mielas lea Sámedikkis čielga ovddasvástádus geahččat bearrái ahte departementta dásis vuoruhuvvo diehtojuohkin sámegillii . #ERR álkes
Ii leat daddjon ahte dat lea 	álkis 	bargu , muhto dát lea dárbbašlaš hástalus maid Sámediggi ferte dohppet dál . #ERR álkes
Ja eahpitkeahttá boahtá son dárbbašit nanu hovdenvuoimmi , go ii leat 	álkis 	bargu maid Hætta lea váldán badjelasas . #ERR álkes
Nu 	álkis 	biebmu , ahte ii oba soabage boastut dan ráhkadit #ERR álkes
Dasa lea Antis hui 	álkis 	čilgehus . #ERR álkes
Dasa lea Antis hui 	álkis 	čilgehus . #ERR álkes
Danne oaivvildan mun ahte lea beare 	álkis 	ja heittot veahkkeneavvu geavahit birccu váikkuhan dihte lohkkiid . #ERR álkes
Eai leat buot háviid nu 	álkis 	biktasat maid galget ráhkadit . #ERR álkes
Iige dat leat nu 	álkis 	proseassa . #ERR álkes
Dieđusge ii leat dat leamaš makkárge 	álkis 	ja gehppes bargguid , muhto mus lea maid dárbu oažžut dohkkeheami sámi servodagas , lohká Risten Rávdná . #ERR álkes
Gaskariikalaččat maid dadjet Finnmárkoláhkaárvallusa leat menddo 	álkis 	čoavddusin , ja ON maid lea cuiggodan dan . #ERR álkes
Dievddut leat 	álkis 	olbmot , nu njuolggočoalit . #ERR álkes
– Dát ii lean mihkke 	álkis 	áššiid , go árbeáššiin leat ollu dovddut , lohká son . #ERR álkes
Dat lei hui 	álkis 	oaggunvuohki , čilge Ándde Niillas . #ERR álkes
Jurddaš mat man ollu seasttášeimmet sihkarvuođa- ja suodjalusgoluid jus sáhtášeimmet oahppat eambbo daid 	álkis 	duohtavuođaid álgoálbmogiin ? #ERR álkes
Dasa lea Edvard Nordslettas hui 	álkis 	vástádus ja čilgehus . #ERR álkes
– Mun lean geahččalan geavahit hui 	álkis 	geahppa giela dán jorgalusas . #ERR álkes
Dat ii leat mihkkege 	álkis 	bargguid . #ERR álkes
Ii leat leamašan Antis 	álkis 	eallin . #ERR álkes
Ii lean mihkkige 	álkis 	beivviid Kemirohki ovttasássái go čilgii maid son vásihii goddinija Mieronis . #ERR álkes
– Go lea oaidnán iežas irggi báhččomin , ja irgi jámii su sallii , de ádde juohkehaš ahte sus ii leat leamaš nu 	álkis 	dilli maŋŋá goddinija , čilge Kjetil Nilsen . #ERR álkes
Doppe guossohit 	álkis 	biepmuid , ja eahkes lea bára ja restauraŋŋa rabas mas lea lohpi vuovdit buot juhkosiid . #ERR álkes
Kemis lea hui 	álkis 	ja lunddolaš vástadus dasa go eará Máhkarávjju boazodoallit leat maiddái dál dan guovllus . #ERR álkes
Dus lea 	álkis 	dilli dál ja liikot go beasat dadjat oaiviliiddat nu ahte ahte it dárbbaš álggos árvvoštallat earáid miellalági . #ERR álkes
– Romána ii leat 	álkis 	girječállinmálle . #ERR álkes
Ii leat leamašan Anárašgielas 	álkis 	dilli maŋimuš moaddelot`jagi . #ERR álkes
Okta 	álkis 	vuohki livččii bovdet boarrasut olbmuid muitalit árbevirolaš duojis , dan čehppodagas ja ávnnastanmáhtus .
Neavttašanbargu ii leat 	álkis 	bargu , dasa lassin šaddá dát stuorra hástalussan munnje .
– Dát bargu ii leat 	álkis 	bargu , dasa lassin šaddá dát stuorra hástalussan munnje , deattuha Sverre . #ERR álkes
Roasujournalastihkka ii leat 	álkis 	bargu . #ERR álkes
Diekkár 	álkis 	buohkaid-seammaláganin-geahččamat leat dađibahábut dábálaččat sámi áššiid oktavuođas . #ERR álkes
Ii leat 	álkis 	hommá , muhto mun gal leamašan ovdalge stuorra hástálusaid ovddas . #ERR álkes
Danin ii lean 	álkis 	mearrádus eadneolbmuide guođđit bearrašiid ja searvat akšuvdnii . #ERR álkes
Danne sáhttá cuiggodeapmi šaddat beare láivin ja 	álkis 	retorihkkan . #ERR álkes
Mánát ráhkadit giehtabáttiid , čeabetbáttiid , čoavddaháŋkkaid ja eará 	álkis 	ja jođánis dujiid . #ERR álkes
- Sheila Watt-Cloutier muitala 	álkis 	ipmirdahtti vugiin jieŋa suddame sin julggiid vuolde guđet doppe ellet . #ERR álkes
Marianne Balto Henriksen lea gusto 	álkis 	olmmoš intervjuet , juoga mii dovdo bures mediain . #ERR álkes
Árvideamis dát dovddus lávlu oaivvildii ahte dat lea 	álkis 	ášši buotveagálaš Ipmilii . #ERR álkes
Kapellána Hans Kenneth Sundsbø lohká iežas válljet muitalit juovllaid birra 	álkis 	vugiin , almmá ahte heiveha dan eará oskkuide . #ERR álkes
- Jurddašin ahte dáppe lea nu ollu 	álkis 	biebmu , dego Mc Donalds . #ERR álkes
Jearaldat lea goittot maŋimušta dálá árvo-ortnegiid ja áddejumiid nuppástuhttimis , mii sihkkarit ii leat mihkkege 	álkis 	áššiid . #ERR álkes
Gunnarson diehtá dáid návccaid gávdnot , vaikko vel dat ii leat nu 	álkis 	bargu . #ERR álkes
Ovddádusbellodat čájeha fas iežaset 	álkis 	politihka : Sii beroštit eambbo addit energiijafitnodagaide eanet ruđaid ja dábálaš olbmuide eai maidege . #ERR álkes
Jus dát ii leačča doarvái , de dadjá Ovddádusbellodaga iežas stuoradiggeáirras Nesvik ( Sunnmørsposten miessemánu 15. b. ) dán : « Márkana 	álkis 	logihkka lea ahte go johtu lea stuorát go fálaldat de gorgŋot hattit dassá go fálaldat ja johtu fas leat ovtta dásis . #ERR álkes
Ii 	álkis 	bargu #ERR álkes
- Danin leat ceggejuvvon lobihis áiddit eastadit masttalmasaid ja unnidit bievlavuodjima , muhto min stuorámus bargu lea dál juohke áidna siiddain soabadit gos guhte guođoha ja gokko livččii dárbu áidái ja dát ii leat makkárge 	álkis 	bargu , čilge Eira . #ERR álkes
Aslak J. Eira logai ge luohpansártnis ahte lea leamaš somá reŋgot searvvi , vaikke álot ii leat leamaš 	álkis 	bargu . #ERR álkes
	Science texts –
Studeanttain vurdojuvvo aktiivvalaš oasálastin ja nu ráhkkanit maiddái ieža hutkat dialogaid ja searvat 	álkis 	ságastallamiidda . #ERR álkes
Jus leat giellaoahpuin bargame báráhisstávval vearbbai guin preterihta hámis nuppi persovnnas máŋggaidlogus , de ávžžuhit stu deanttaid sihke njálmmálaš ja čálalaš buvttadeamis konstrueret 	álkis 	cealkagiid dan vuođul .  #ERR álkes
