	## Prospero lea herttot Milanos Itálias, muhto rivvehallá vieljastis válddi.
    #$ Mii eat leat ožžon gitta dan guokte hearggi , muhto dat leat oainnahallan ealus , nu ahte dearvan gal leat .. 
    #$ Muhto mii earát geat eat beasa mielde dan vuorbádeamis aŋkke berret šaddat buorit ovdamearkkat mánáide ja nuoraide , ahte eat vuolgge vázzit šleđggona haga , vaikko ii leat ge doaivva vuoitit IPod , muhto buorre doaivva lea oainnahallat áiggemunis johtolagas , ja sahttit vuoitit sihke heakka ja dearvvašvuođa .
    #$ Lávvardat čuovganeapmái ožžo politiijat dieđu ahte muhtin olmmái lea časkkahallan olgobáikkis Guovdageainnus .
    #$ Áššáskuhtton dievdu maid časkkahalai goaivvuin oaivái .
    #$ Sisáššiid vuolitministtar Prakash Jaiswail dajai vuosárgga ođđajagemánu 3. beaivve ahte India ráđđehus jáhkká iežas birget roasuin dáid garrasit časkkahallan lullisulluin , dieđiha Reuters ođasdoaimmahat .
    #$ Olmmái gii lei áššáskuhtton časkán luonddugáhttejeaddji Heaika Skum Guovdageainnus, dubmehalai Sis-Finnmárkku diggegottis.
    #$ Ráđđeláhttu Johan Mikkel Sara biehttala iežas leat homofoban vaikko moadde jagi dás ovdal dubmehalai rievttis go bálkestii pizza ovtta homofiila maŋŋái.
    #$ Áššáskuhtton olmmái dubmehalai Sis-Finnmárkku Diggegottis ráŋggáštuslága paragrafa 229 rihkkumis 120 beaivái giddagassii.
    #$ Arctic Ambulansa sávai beassat ráfis, go juo Muosát vuoittáhalai rievttis.
    #$ Lea čájehuvvon ahte vuoigatvuođaáššit eai ceavzze Norgga duopmostuoluin, dego Aursunden ášši mii vuoittahalai alimusrievttis, lohká Trosten.

    
    
    
    LINDA!!!!!!!!!!
    
    #$ Prospero lea herttot Milanos Itálias, muhto rivvehallá das válddi. 
    #$ Girku mielas lea láhka dehálaš, muhto dat deháleamos dál lea ahte stáda, ja maiddái girku soabadišgoahtá ja gulahallagoahtá Sámedikkiin ja sámi ovddasteddjiiguin.

    
    ## Statistihkka mii čájeha galle sávzza leat gottáhallan boraspiriin Finnmárkkus oainnusmahttá namuhuvvon oktavuođa gaskal loguid galle ohcamuša duođai leat , galle duođaštuvvon gottáhallama leat ja galli ovddas duođai mákso buhtadus . 
    ## Máŋga nissona leat boldojuvvon 1600 logus danne go sii ledje gievrras rittunissonat mat eai vuollánan duolmmahallat eanetlogus.
    ## Movt ii leat vuogas giella : Vuogas giella : * Olbmot borahalle beatnagis .
	## Mun lea sakka beahtahallan mearrádusain maid Boazodoallostivra mearridii , cealká ráđđeláhttu Ellinor Marita Jåma.
    ## Lásse Ovlla lea beahtahallan vástádusas man eiseválddit leat čállán  .
    ## Skare bealušteaddji , advokáhtta Sveinung Johnsen muitala báhppa lea beahtahallan duomuin .
    ## Sámedikki luohpi presideanta Sven-Roald Nystø lea beahtahallan juolludemiin , maid jáhkká bissehit ovdáneami sámi servodagas.
    ## Psykiáhterat geat barget gárrenmirkkuide darvánan olbmuiguin leat beahtahallan gárrenmirkofuolahusain.
	## Son baicca velleda seŋgii, muhto gávnnahalai rievváris.
	## Moalla bođii maŋŋel go John E. Eira čievččahalai fasttit Lákkuid moallaolbmás, ja leige hui ártet go duopmár Mikkel Sara ii addán rukses goartta sutnje.
    ## Áinnas vel reškkii erenoamážit go uhcastáloš ain čorpmahalai duoppá dáppá nieiddas/nieiddain.
    ## Muhto go badjel 30 jagi leat čoahkkinastán, digaštallan ja čielggadan de Magga behtohalai Norgga stáhtas.
    ## Son časkkahalai 48 sekunddain Oscaris.
    ## Biedjovákkis gávnnahalai muhtin muohtaskohtervuoddji juhkanvuođas vuodjimin boazopolitiijas mannan gaskavahku eahkedis.
    ## Diibmá fas fáhtehalai Rita dáiddadávddas.
    ## Gánda deaivvahalai biillas ja roasmmehuvai.
    ## Mannan sotnabeaivvi maŋŋágaskabeaivvi roasmmahuvai gávccejahkásaš gánda Leavvajogas Deanus go deaivvahalai muhtun biillas.
    ## Jerringbálkkašumis son vuoittahalai speedway valáštallis Tony Bengtssonis, gii oaččui 63 proseanta jienain
    ## NSR sámedikki áirras Jánoš Trosten, gii maid čohkká Finnmárkku Fylkkadikkis Sámeálbmot Bellodaga ovddas, bealkkahalai gieskat sihke Ruošša eiseválddiin ja Fylkasátnejođiheaddjis, go cuiggodii Ruošša eamiálbmot politihka.
    ## Dán gilvvus bođii nubbin, ja dan šattai maiddái boazovázzingilvvus gos vuoittahalai garraseamos gilvaleaddjis Oskar Bengtssonis.
    ## Go áhpehis nisu gávnnahalai guovžžas, de galggai dallán loktet helmmiid.
    ## Jos gávnnahalai guovžžas, de galggai dallán loktet helmmiid ja čájehit vuolledábiid.
    ## Mannan dálvve ođđajagimánus gávnnahalai almmái politiijas/politiijain juhkanoaivves vuodjimin biillain bajábeale Kárášjoga.
    ## Olmmoš gottáhalai guovžžas.
    ## Maŋemus go Ruoŧas olmmoš gottáhalai guovžžas lei 100 jagi áigi, namalassii 1902:s Jämtlánddas.
    ## Ruoŧa Sámediggi bealkkahalai Ráđđehusas go deaivvadedje guokte vahku dás ovdal.
    ## Maŋŋá beahtahalai lágideddjiin go dattetge ii ožžon bálkkašumi maid ledje lohpidan, nammalasii almmuhit CD-singela.
    ## Bjarne cápmahalai Lisa viessonjoammilis.
    ## Deanus bázii earret eará Deanu searra Oscar Wigelius pokála haga maŋŋil go vuoittahalai STIL čuoigis Terje Persenis.
    ## Dahl muitala ahte sis lei ossodathoavdačoahkkin go gulle mii lei dáhpáhuvvan, ja čoahkkin dieđusge báinnahalai das mii lei dáhpáhuvvan.
    ## Son gávnnahalai siidaguoimmis, go lei njeaidimin vuojahangárddi masa ledje ealu čohkken.
    ## Almmái 30 jagiin čukkohalai čieža geardde guovtti eará albmás olggobeale iežas dálu sotnabeaivvi.
    ## Soai digáštalaiga ollu ja Liisa lei nu garas iežas mielas, goitge vuoittáhalai álo Ábos, go son lei nu čeahppi hupmat
    ## Dán jagi son bođii nubbin iežas luohkás go časkkahalai olbmás Arthur Partapuoli.
    ## Muhto go vuos Báhcavuona nisu álggii bivdit ja goddigođii, de son duođai fáhtehalai luossafeberis.
    ## Svein Holmestrand lea leamaš doaibmahehttejuvvon dan rájes go dohppehalai garra sealgevigis 2000 jagis.
    ## Ná čuoččuiga soai biilauksagaskkas ovdalgo beasaiga beatnagis báhtui, muitala May Ragnhild Vasara, oabbá 14- jahkásažžii gii gáskkahalai beatnagis.
    ## Olmmái 40-jagiin, čorpmahalai sotnbeaičuvggodettiin nuppi olbmás gii lea 20-jagiin ,Guovdageainnu hoteallas diibmu 0330.
    ## Aiddo nuppi máilmmesoađi vuolde álggii Einar Bragi gymnásii Akureyris, muhto moatti lohkabaji maŋŋá maiddái son fáhtehalai geahpesdávddas, nugo nu máŋgasat soađi áigge Nuorta-Islánddas.
    ## Máđen-Nigás, Nils M. Sara, gáskkáhalai heargi beanavuoddji beatnagiin.
    ## Bártnaš vuojahalai biillas.
    ## Diibmobeale sis dohppehalai čieža geardde epilepsiijas.
    ## Dorohalai leamstarin sarvás.
    ## Cápmahalai politiijas.
    ## Romssa sámi searvvi Else Grete Broderstad muittuhii ságastallamis manne sámi leavga lei beallestákkus dan beaivvi, ja čujuhii surgadis dáhpáhussii gos 15-jahkásaš Oslo-gánda gottáhalai nazisttain.
    ## Muhtin beaivvi go joavddai jávregáddái, de fáhkka ihttohalai máilmme stuorra geađgenoarssas.
    ## Muitala go Duorgga Junne vieččahalai olbmos.
    ## Njunušjoavku Porsáŋgu vuoittáhalai Guovdageainnu joavkkus Báktevaris.
    ## Ubmi sámejoavku vuoittáhalai Gauts joavkkus finálas.
    ## Nordlys vuoittáhalai jumbos.
    ## Oslo-gávpotrievttis vuoittáhalai stáhtas, iige ožžon áhčis doalus ruovttoluotta.
	## Ohcejoga gielddaráđđehusa evttohus dohkkehit ruhtadoalloloahpaheami vuoittáhalai vuosteevttohasas.






