[lemma = "oahpaheaddji"][lemma = "gii"]
Boađus: 717

	Administrative texts –
Sámediggi oaidná dárbbu eanet sámegielat oahpaheddjiide ja 	oahpaheddjiide geain 	lea máhttu sámegiela ja sámi servodaga birra .
Lea maid dehálaš láhččit dili vai 	oahpaheaddji geat 	juo leat skuvllas sáhttet oažžut vejolašvuođa lonohallat vásáhusaid ja gelbbolašvuođa .
Stuorámus hástalusat oahpaheaddjifierpmádat dán rádjái lea dieđihan , lea ahte leat beare unnán 	oahpaheaddjit geain 	lea sámegiel gelbbolašvuohta ja ahte váilot oahpponeavvut mat leat heivehuvvon ođđa oahppoplánaide .
Skuvlla váttisvuohtan lea leamaš fidnet 	oahpaheaddji gii 	sáhttá oahpahit sámegiela .
addit fágalaš neavvagiid ja doarjaga 	oahpaheddjiide geat 	oahpahit sámi ohppiid mánáidgárddiin , vuođđoskuvllain ja joatkkaskuvllain .
	Oahpaheaddjit geain 	lea gelbbolašvuohta leat eaktun sámegiela ja sámegillii oahpaheapmái .
Váilot ollu 	oahpaheaddjit geain 	livččii gelbbolašvuohta .
	Oahpaheaddjit geain 	lea gelbbolašvuohta leat eaktun sámegiela ja sámegillii oahpaheapmái .
Váilot ollu 	oahpaheaddjit geain 	livččii gelbbolašvuohta .
Lassi- ja joatkkaoahppofálaladat lea deaŧalaš gelbbolašvuođaloktendoaibma 	oahpaheddjiide geat 	galget bargat vuođđoskuvllas ja joatkkaoahpahusas .
Dan oaidná vuođđoskuvllas ja joatkkaoahpahusas , gos barget 	oahpaheaddjit geat 	leat unnán ožžon dahje eai leat oba ožžonge sámegiela ja kultuvrralaš gelbbolašvuođa iežaset oahpus .
Buot 	oahpaheaddjit geat 	gerget oahpaheaddjeallaskuvllas , galget sáhttit oahpahit sámi diliid birra almmá liige- dahje viidásetoahpu haga .
Buot 	oahpaheaddjit geat 	gerget oahpaheaddjeallaskuvllas , galget sáhttit oahpahit sámi diliid birra almmá liige- dahje viidásetoahpu haga .
Lassi- ja joatkkaoahppofálaladat lea deaŧalaš gelbbolašvuođaloktendoaibma 	oahpaheddjiide geat 	galget bargat vuođđoskuvllas ja joatkkaoahpahusas .
Dan oaidná vuođđoskuvllas ja joatkkaoahpahusas , gos barget 	oahpaheaddjit geat 	leat unnán ožžon dahje eai leat oba ožžonge sámegiela ja kultuvrralaš gelbbolašvuođa iežaset oahpus .
Dát gáibida ee. friddjaoastit 	oahpaheddjiid geain 	lea gelbbolašvuohta dán suorggis .
Dát gáibida ee. friddjaoastit 	oahpaheddjiid geain 	lea gelbbolašvuohta dán suorggis .
Sámediggi geavaha ollu áiggi oaivadit ja doarjut 	oahpaheaddjiid geat 	addet oahpahusa sámi oahppiide vuođđoskuvllain ja joatkkaskuvllain .
Sámediggi geavaha ollu áiggi oaivadit ja doarjut 	oahpaheaddjiid geat 	addet oahpahusa sámi oahppiide vuođđoskuvllain ja joatkkaskuvllain .
Dasa lassin váilot maiddái ollu 	oahpaheaddjit geain 	livččii oarjel- dahje julevsámegiel gelbbolašvuohta ja eará gelbbolašvuohta oarjel- dahje julevsámi diliid ektui .
Dasa lassin váilot maiddái ollu 	oahpaheaddjit geain 	livččii oarjel- dahje julevsámegiel gelbbolašvuohta ja eará gelbbolašvuohta oarjel- dahje julevsámi diliid ektui .
Seammás njoazida maid dat sávahahtti ovdáneami go váilot olmmošlaš ressursat ráhkadit oahpponeavvuid ja go váilot 	oahpaheaddjit geain 	lea julevsámegielgealbu .
Sámediggeráđđi diehtá ahte sámi vuođđoskuvllaide // resursaskuvllaide ja eará vuođđo- ja joatkkaskuvllaide lullisámi guovllus lea váttis addit dohkálaš oahpahusfalaldaga sámegielas ja sámi kultuvrras danne_go lea váttis ja measta veadjemeahttun fidnet 	oahpaheaddjiid geain 	lea gelbbolašvuohta sámegielas ja sámi kultuvrras ja seammás pedagogalaš // metodihkalaš gelbbolašvuohta .
Sámegiela hálddašanguovllu olggobealde váilot 	oahpaheaddjit geat 	oahpahit sámegillii ja sámegielas .
Sámegiela hálddašanguovllu olggobealde váilot 	oahpaheaddjit geat 	oahpahit sámegillii ja sámegielas .
Ollu skuvllain leat dušše okta dahje moadde sámegielat 	oahpaheaddji geain 	leat unnán vejolašvuođat eará sámegielat oahpaheaddjiiguin lonohallat jurdagiid sámi oahpahusa hástalusaid birra ja oahpponeavvuid birra maid ieža leat ráhkadan .
	Oahpaheaddjit geat 	oahpahit sámegielas ja/dahje/ja sámegillii dárbbašit eanet áiggi ráhkkaneapmái dan geažil go váilot oahpponeavvut ja lea dárbu jorgalit .
NSR sámediggejoavku čujuha Sámedikki 2001 mannosaš čielggadussii sámegielaoahpahusa hárrái olggobealde hálddašanguovllu ja lávdegotti doaibmabidjoevttohusaide buoridit dili olggobealde sámegiela hálddašanguovllu vai lea vejolaš oažžut 	oahpaheaddjiid geat 	sáhttet oahpahit sámegielas .
- fágalaš ráđđeaddin ja doarjja 	oahpaheaddjiide geat 	oahpahit sámi mánáid mánáidgárddiin ,
vuođđoskuvlii mii searvvaha ollu 	oahpaheaddjiid geat 	3 .
Dehálaš giellaarenat leat mánáidgárddit ja skuvllat , ja deháleamos hástalusaid gaskkas dás ovddasguvlui lea oažžut eanet giellabargiid , ovdaskuvlaoahpaheddjiid ja 	oahpaheddjiid geat 	sáhttet fállat oahpahusa sámegielas ja sámi kultuvrras .
Prošeaktajođiheaddji lea beallevirggis , ja dan njealji 	oahpaheaddjis geat 	leat čadnon prošektii , lea 20_% resursa guđes nai .
Váilot 	oahpaheaddjit geain 	livččii gelbbolašvuohta oahpahit sámegielas .
Lea deaŧalaš ahte dain 	oahpaheddjiin geat 	oahpahit sámi skuvllas , lea dárbbašlaš gelbbolašvuohta .
Dát lea deaŧalaš bargu man bokte rekrutteret giellaguddiid oahpahusásahusaide mat sakka dárbbašit 	oahpaheddjiid geain 	lea gelbbolašvuohta .
Dát lea deaŧalaš bargu man bokte rekrutteret giellaguddiid oahpahusásahusaide mat sakka dárbbašit 	oahpaheddjiid geain 	lea gelbbolašvuohta .
Sámediggeráđis lei čoahkkin 	oahpaheddjiiguin geat 	oahpahit sámegiela Divttasvuonas 20.6.2011 .
Sámi 	oahpaheaddjit geat 	ovdalaš áiggi bággehalle oahpahit sámegiel mánáid dárogillii , ja geat eai ožžon lobi diktit sámi mánáid hupmat eatnigielasat skuvllas , ellet ain ja sii muitalit oamedovddubákčasiid ja morraša birra go leat nie geavahuvvon gaskaoapmin dáruiduhttinpolitihkas .
Mii dárbbašit sámegielat oahpaheddjiid ja 	oahpaheddjiid geain 	lea máhttu sámegielas ja diehtu sámi servodahkii gullevaš dilálašvuođaid birra .
Lea 	oahpaheaddji gii 	beaivválaččat gaskkusta oahpu , kultuvrra ja árvvuid .
Lea 	oahpaheaddji gii 	buoremusat oaidná ja dovdá oahppi skuvlabirrasis .
Lassin dasa ahte gáibiduvvojit 	oahpaheaddjit geain 	lea fágalaš máhttu , lea diehttelas ášši ahte oahpaheaddjibarggus fertejit maid leat buorit rámmaeavttut .
Sámediggi lea duhtavaččat áican ahte ođđa oahpaheaddjeohppui lea máhttu sámegielas , kultuvrras ja servodateallimis váldojuvvon mielde gelbbolašvuođagáibádussan , ja ahte leat mearriduvvon gelbbolašvuođagáibádusat 	oahpaheddjiide geat 	galget oahpahit sámegielas .
Nuoramus oahppit dárbbašit eanemusat 	oahpaheaddji gii 	lea luohkkálanjas oahpaheamen .
Sámediggeráđđi muitalii makkár dárbbut leat lassi- ja joatkkaohppui 	oahpaheddjiide geat 	oahpahit sámegielas ja sámi fáttáin .
Konverteren ja lassi bálká 	oahpaheddjiide geat 	oahpahit sámegielas ja sámegillii 2004:s válddii KS badjelasas ovddasvástádusa gieldda ja fylkkagielddaid skuvllaid bálkášiehtadallamiin .
Šiehtadussii gullet earret_eará resurssat 	oahpaheddjiide geain 	lea lossa bargodilli .
Sámediggeráđđi diehtá ahte dát resursa lossa oahpahusa geažil , galgá gokčat sihke ovddeš konverterenresurssa 	oahpaheddjiide geat 	oahpahit sámegielas ja sámegillii , ja maiddái ovddeš konverterenresurssa erenoamášoahpahussii .
Sámediggi buvttii ovdan makkár dárbbut leat boahtán albmosii lassioahpus ja joatkkaoahpus 	oahpaheddjiide geat 	oahpahit sámegillii ja sámi fáttáin .
Sámediggi buvttii ovdan makkár dárbbut leat boahtán albmosii lassioahpus ja joatkkaoahpus 	oahpaheddjiide geat 	oahpahit sámegillii ja sámi fáttáin .
Oassin našunála áŋgiruššamis GNIST lea TNS Gallup jođihan márkaniskkadeami2011:s Máhttodepartemeanta ovddas man namma lea “ oahpaheddjiid liigeveahka oahppan 	oahpaheaddjit geat 	eai bargga skuvllas ( GNIST lea viđa jagi ovttasbargu Máhttodepartemeantta , Oahppolihtu , , Oahpaheaddjioahpu nationála ráđi , Skuvllaid riikasearvvi , Gielddaid lihtu , NHO .
Fáktorat mat bohtet ovdan iskkadeamis muitalit manin olbmot válljejit guođđit oahpaheaddjivirggi eará virggiid sadjái , dáin fáktoriin lea árvideamis maiddái dadjamuš sámi 	oahpaheddjiide geat 	eai šat bargga oahpaheaddjin .
Raporttas bohtet ovdan iešguđet lágan vejolaš doaibmabijut mat sáhttet mielddisbuktit ahte oahppan 	oahpaheaddjit geat 	dál leat eará bargguin , válljejit boahtit ruovttoluotta oahpaheaddjivirgái .
1997 rádjái ožžo 	oahpaheaddjit geat 	oahpahedje sámegillii // sámegiela áigelasáhusa mii lei 10,75_% diibmologus dákkár oahpahussii // konverterenresursa ) .
10,75_% diibmologus mii addo oahpahussii sámegielas // sámegillii , ja das geassit eret 15_% loahppalogu hálddašit ain skuvllat ja sáhttet addot vuolidussan lohkangeatnegasvuhtii 	oahpaheddjiide geat 	oahpahit sámi giela // sámegillii .
Sivva dasa sáhttá leat go 	oahpaheaddji gii 	ferte vánddardit skuvllaid mielde ii sáhte addit dieđuid seammá_ládje go oktagas skuvla addá dieđuid eará fágaid danne_go skuvllaid diehtojuohkin ii eat seamma lágan buot skuvllain .
Buot ohppiin geat ožžot gáiddusoahpahusa , galgá leat oktavuohta 	oahpaheddjiin geas 	lea ovddasvástádus nannet buori oktavuođa skuvlla ja ruovttu gaskka , ja ahte oahppi beassá ovdánahttit máhtolašvuođa sámegielfágas mii maiddái eaktuduvvo olggobealde luohkálanja go gáiddusoahpahus čađahuvvo .
Stádabušeahta kap. 224 , poasta 3 bokte lea juolluduvvon ruhta 	oahpaheddjiide geat 	váldet viidáset oahpu sámegielas ja buhtadusa daid čađahuvvon diimmuid ovddas vuođđooahpahusas .
Sámi 	oahpaheaddjit geat 	ovdalaš áiggi bággehalle oahpahit sámegiel mánáid dárogillii , ja geat eai ožžon lobi diktit sámi mánáid hupmat
Mii dárbbašit sámegielat oahpaheddjiid ja 	oahpaheddjiid geain 	lea máhttu sámegielas ja diehtu sámi servodahkii gullevaš dilálašvuođaid birra .
Lea 	oahpaheaddji gii 	beaivválaččat gaskkusta oahpu , kultuvrra ja árvvuid .
Lea 	oahpaheaddji gii 	buoremusat oaidná ja dovdá oahppi skuvlabirrasis .
Lassin dasa ahte gáibiduvvojit 	oahpaheaddjit geain 	lea fágalaš máhttu , lea diehttelas ášši ahte oahpaheaddjibarggus fertejit maid leat buorit rámmaeavttut .
Sámediggi lea duhtavaččat áican ahte ođđa oahpaheaddjeohppui lea máhttu sámegielas , kultuvrras ja servodateallimis váldojuvvon mielde gelbbolašvuođagáibádussan , ja ahte leat mearriduvvon gelbbolašvuođagáibádusat 	oahpaheddjiide geat 	galget oahpahit sámegielas .
Nuoramus oahppit dárbbašit eanemusat 	oahpaheaddji gii 	lea luohkkálanjas oahpaheamen .
Sii deattuhit eatnigieloahpahusa , muhto hástalussan lea háhkat doarvái 	oahpaheddjiid geain 	lea gelbbolašvuohta .
Deaŧalaš lea ahte 	oahpaheddjiin geat 	galget oahpahit sámi mánáid lea máhttu máŋggagielatvuođas , ja sáhttet váldit dan vuhtii oahpahusas .
Deaŧalaš lea ahte 	oahpaheddjiin geat 	galget oahpahit sámi mánáid lea máhttu máŋggagielatvuođas , ja sáhttet váldit dan vuhtii oahpahusas .
Danin lea dehálaš ahte 	oahpaheddjiin geat 	oahpahit gáiddusoahpahusa bokte , lea gelbbolašvuohta dán suorggis ja ahte oahpaheddjiin ja ohppiin leat rusttegat mat dárbbašuvvojit , olahanmuttus nu ahte oahpahus doaibmá bures .
Doarjjaortnega olahusjoavku : Vuođđooahpahusa oahppit 	Oahpaheaddjit geat 	barget vuođđooahpahusain
Oassemihttomearri 4 :  	Oahpaheaddjit geain 	lea gelbbolašvuohta sámi kultuvrra ja sámi oahpahusa birra .
	Oahpaheaddjit geain 	lea gelbbolašvuohta sámi kultuvrra ja sámi oahpahusa birra .
Go váilot oahppan mánáidgárdeoahpaheaddjit ja 	oahpaheaddjit geain 	lea gelbbolašvuohta sámegielas , ja sámi kultuvrra ja servodateallima birra , de dat dagaha ahte mánáidgárddiid mánát ja vuođđooahpahusa oahppit eai oaččo dan fálaldaga masa sis lea vuoigatvuohta .
Go váilot oahppan mánáidgárdeoahpaheaddjit ja 	oahpaheaddjit geain 	lea gelbbolašvuohta sámegielas , ja sámi kultuvrra ja servodateallima birra , de dat dagaha ahte mánáidgárddiid mánát ja vuođđooahpahusa oahppit eai oaččo dan fálaldaga masa sis lea vuoigatvuohta .
Sivas go ruovttuskuvllain váilot 	oahpaheaddjit geain 	lea lullisámegielgelbbolašvuohta , de fertejit oažžut sámegieloahpahusa gáiddusoahpahemiin .
Sivas go ruovttuskuvllain váilot 	oahpaheaddjit geain 	lea lullisámegielgelbbolašvuohta , de fertejit oažžut sámegieloahpahusa gáiddusoahpahemiin .
Vejolaš suohkanovttastahttimis lea jáhkehahtti ahte 	oahpaheddjiin geain 	lea sámegiella ja sámi kultuvra fágabiirres buorrána bargobiras , go biras šaddá stuorát .
Go suohkan šattai oassin sámegielaid hálddašanguvlui , de šaddagođii váttis gávdnat 	oahpaheddjiid geain 	leat buorre gelbbolašvuohta , ja giellaguovddáš lei ge skuvllain oahpaheamen , ja veahkehii maid oahpaheddjiid buoridit iežaset gelbbolašvuođa .
Sii leat geavahan ollu návccaid dasa ahte oažžut earáid maid geavahit dieid oahpponeavvuid , sihke 	oahpaheddjiid geat 	barget skuvllas , eará giellaguovddážiid ja sin geat hálidit geavahit interneahta .
gávdnat 	oahpaheddjiid geat 	astet eahkediid bargat .
Suohkanis lea stuora dárbu oažžut mánáidgárdái sámegielat bargiid ja 	oahpaheddjiid geat 	máhttet oahpahit sámegielas , muhto ii geavat giellaguovddáža fálaldagaid veahkkin čoavdit dieid dárbbuid .
Olmmáivákki_skuvllas lea eanet bissovaš oahpaheaddjedilli , doppe leat guhtta 	oahpaheaddji geain 	guovttes leat vuosttašgiela oahpaheaddjit .
Skuvllas leat vihtta 	oahpaheaddji geat 	oahpahit sámegielas , ja buohkain lea sihke pedagogalaš oahppu ja buorre gelbbolašvuohta sámegielas .
2011 čavčča ii nagodan ge šat suohkan háhkat 	oahpaheddjiid geat 	livčče sáhttán joatkit gáiddusoahpahusa .
76 ja duojis ja lasihit sámi duoji ohppui de go lea vejolaš gávdnat 	oahpaheaddji geas 	lea earenoamáš duddjončehppodat .
Golbma eará 	oahpaheaddji geat 	leat boahtán ruoŧabealde , leat buohkat gaskaboddosaš virggiin .
Nubbi sudnos oahpaha Stjørdalas , ja nubbe 	oahpaheaddji gii 	lea fárren Plassjes Jiellevárrái , lágida gáiddusoahpu davvisamegielas ovtta oahppái Prahkes .
Ohppiin lea juogo iežaset 	oahpaheaddji gii 	skuvle sin , dahje sii čuvvot gáiddusoahpahusa .
Ovddeš áiggiid ektui lea dál mánáin buoret dilli dan dáfus ahte lea ollesoahppan 	oahpaheaddji gii 	lea oassi skuvlla birrasis , ja giellaoahpaheapmi lágiduvvo ge systemáhtalaččat oahppoplána mielde .
Nuoramus ohppiid ( luohkkáceahkit 1-4 ) oahpaha johtti oahpaheaddji , namalassii Kampen skuvlla 	oahpaheaddji gii 	boahtá ohppiid ruovttuskuvlii .
	oahpaheaddjit geat 	bisso iežaset virggiin , muhto dál lea dilli earáhuvvan .
Min informánta , gii leat ollesoahppan 	oahpaheaddji gii 	ollu jagiid juo lea
Sihke skuvllas ja mánáidgárddis leat stuora hástalusat čadnon dasa ahte nagodit fidnet 	oahpaheddjiid geain 	lea gelbbolašvuohta , geain lea sihke sámegiel ja pedagogalaš oahppu .
Váilu 	oahpaheaddji geas 	lea …
LK06 Sámi árvvoštallamis bođii ge ovdan ahte ollu skuvllat rahčet nagodit ásahit buriid fálaldagaid earet_eará danin_go lea váttis fidnet 	oahpaheddjiid geain 	lea buorre gelbbolašvuohta , ja go lea váttis ráhkadit diibmoplána mainna sihke oahpaheaddji ja oahppi leaba duhtavaččat .
Konkrehtalaš doaibma lea sihkkarastit ahte suohkanat dollet iežaset dieđihangeatnegasvuođa mii guoská dasa makkár riekti ohppiin lea oažžut sámegieloahpu , ja ahte váhnemiidda dieđihuvvo makkár molsaeaktu lea jus lea váttis fidnet 	oahpaheaddji gii 	dan báikkis sáhttá oahpahit .
Lea go suohkan nagodan fidnet 	oahpaheddjiid geain 	lea gelbbolašvuohta oahpahit sámegielas ?
Sámediggeráđđelahttu Silje Karine Muotka lohká dan movttidahttin go nu ollugat leat válljen oahpaheaddjioahppu , go skuvllat dárbbašit 	oahpaheddjiid geain 	lea máhtolašvuohta sáme gielas ja kultuvrras .
Jahkedieđáhusastis 2012 direktoráhta dadjá ahte nu ollu mearkkat čájehit ahte váilot 	oahpaheaddjit geain 	lea sámegiela máhttu , ja danne direktoráhta oaivvilda ahte ii leat šat dárbu eambbo kártet .
Ulbmiljoavku lea mánáidgárdejođiheaddjit , pedagogalašjođiheaddjit , rektorat ja 	oahpaheaddjit geat 	barget vuosttašluohkáohppiiguin .
Heive maiddái 	oahpaheddjiide geat 	oahpahit lullisámegielas , sihke vuođđo- ja joatkkaskuvllas .
- Dát illudahttá hui sakka , danne_go skuvllat ja mánáidgárddit sámi servodagas dárbbašit eanet 	oahpaheddjiid geat 	sáhttet gaskkustit sámi giela ja kultuvrra , dadjá sámediggeráđđi .
Buot mii lea namuhuvvon dagaha ahte sámi servodat dárbbaša 	oahpaheaddjiid geain 	lea máhttu sámegielas ja sámi servodatdiliid birra .
Hástalus maid Sámediggi oaidná , lea ahte váilot fágaolbmot ja 	oahpaheaddjit geat 	sáhttet skuvlet studeanttaid .
7 ja geavahit jietna-govva-studio danne_go muhtun giellaguovddážiidda maiddái álgokurssaide lea váttis háhkat 	oahpaheddjiid geain 	lea rivttes gelbbolašvuohta .
Struktuvrakvalitehta mihtilmas áššit leat movttiidahtton ja gelbbolaš 	oahpaheaddjit geain 	lea gelbbolašvuohta sámegielas .
Gáibiduvvo ahte 	oahpaheaddjiin geat 	oahpahit , galgá leat áššáigullevaš ja dohkkehuvvon gelbbolašvuohta .
Kursa gáibida 	oahpaheaddji geas 	lea alit gelbbolašvuohta go maid álgokursa gáibida .
Giellaguovddáš dárbbaša maiddái 	oahpaheaddji geas 	lea rivttes gelbbolašvuohta oahpahit sámegiela kurssas .
Giellaguovddážat sáhttet maiddái árvvoštallat ovttasbargat kurssaid lágidemiin ja geavahit jietna-govva-studio danne_go muhtun giellaguovddážiidda maiddái álgokurssaide lea váttis háhkat 	oahpaheddjiid geain 	lea rivttes gelbbolašvuohta .
	Oahpaheaddjit geain 	lea oarjelsámegiel máhttu váilot , ja váilevaš gelbbolašvuohta ollu eará surggiin nugo dutkamis , oahpponeavvuid ráhkadeamis , medias ja girjjálašvuođas jna. , hehtte oarjelsámi erenoamážit mánáidgárddiin ja skuvllain .
Unnán 	oahpaheaddjit geain 	lea julevsámegiel máhttu lea dagahan ahte dát fálaldagat eai leat leamaš fásta jahkásaš skuvlafálaldagat .
Sámi 	oahpaheaddjit geat 	ovdalaš áiggi bággehalle oahpahit sámegiel mánáid dárogillii , ja geat eai ožžon lobi diktit sámi mánáid hupmat
Mii dárbbašit sámegielat oahpaheddjiid ja 	oahpaheddjiid geain 	lea máhttu sámegielas ja diehtu sámi servodahkii gullevaš dilálašvuođaid birra .
Lea 	oahpaheaddji gii 	beaivválaččat gaskkusta oahpu , kultuvrra ja árvvuid .
Lea 	oahpaheaddji gii 	buoremusat oaidná ja dovdá oahppi skuvlabirrasis .
Lassin dasa ahte gáibiduvvojit 	oahpaheaddjit geain 	lea fágalaš máhttu , lea diehttelas ášši ahte oahpaheaddjibarggus fertejit maid leat buorit rámmaeavttut .
Sámediggi lea duhtavaččat áican ahte ođđa oahpaheaddjeohppui lea máhttu sámegielas , kultuvrras ja servodateallimis váldojuvvon mielde gelbbolašvuođagáibádussan , ja ahte leat mearriduvvon gelbbolašvuođagáibádusat 	oahpaheddjiide geat 	galget oahpahit sámegielas .
Nuoramus oahppit dárbbašit eanemusat 	oahpaheaddji gii 	lea luohkkálanjas oahpaheamen .
Sámediggi buvttii ovdan makkár dárbbut leat boahtán albmosii lassioahpus ja joatkkaoahpus 	oahpaheddjiide geat 	oahpahit sámegillii ja sámi fáttáin .
Sámegiela hálddašanguovllu olggobealde váilot 	oahpaheaddjit geat 	oahpahit sámegillii ja sámegielas .
Sámediggi oaidná dárbbu eanet sámegielat oahpaheddjiide ja 	oahpaheddjiide geain 	lea máhttu sámegiela ja sámi servodaga birra .
Lea maid dehálaš láhččit dili vai 	oahpaheaddji geat 	juo leat skuvllas sáhttet oažžut vejolašvuođa lonohallat vásáhusaid ja gelbbolašvuođa .
Stuorámus hástalusat oahpaheaddjifierpmádat dán rádjái lea dieđihan , lea ahte leat beare unnán 	oahpaheaddjit geain 	lea sámegiel gelbbolašvuohta ja ahte váilot oahpponeavvut mat leat heivehuvvon ođđa oahppoplánaide .
	Aššu –
Buot 	oahpaheaddjit geain 	lea dohkálaš oahppu ožžot dán bálkálasáhusa , maiddái sii geat eai máhte sámegiela .
Skuvllat gos leat rabas virggit : Olmmáivákki_skuvla 1-_10 Guollejoga skuvla 1_-_7 juhkkojuvvon 4 sadjái Ruollaluovtta skuvla 1_- 7 , juhkkojuvvon 4 sasjái Dálošvákki skuvla 1_-_10 Dárbbašit ea.ea. 	oahpaheddjiid geain 	lea gelbbolašvuohta musihkas , 5-10 jáhkásaš pedagogihkas , erenoamáš pedagogihkas , duiskagielas ja sámegielas .
- 70% eretcealkkehahtti virgi 	oahpaheaddjái geas 	lea unnimus 1. ossodat earenoamášpedagogihkka mainna sáhttá jos muđui soahpá , heivehit oktii vulobealde namuhuvvon fágaiguin .
Guoská buot virggiide : 	Oahpaheaddjit geain 	ii leat sámegiellamáhttu , sáhttet geatnegahttot lohkat sámegiela .
Dárbbašit ea.ea. 	oahpaheddjiid geain 	lea gelbbolašvuohta sámegielas , musihkas , 5_-10 jahkásaš pedagogihkas , erenoamáš pedagogihkas , duiskagielas , suomagielas , eŋgelasgielas , fránskagielas , duojis , ruovttudoalus ja lášmmohallamis .
Guoská buot virggiide : 	Oahpaheaddjit geain 	ii leat sámegielmáhttu , sáhttet geatnegahttot lohkat sámegiela .
Go vuođđoláhka vuođđuduvvui lei mis almmolaš skuvla gos ledje 	oahpaheaddjit geat 	oahpahedje religiuvnnas , - risttalaš religiuvnnas- eai eará religiuvnnas .
	Oahpaheaddjit geain 	ii leat sámegiellamáhttu , sáhttet geatnegahttot lohkat sámegiela .
Lei 	oahpaheaddji gii 	lei vajálduhttán čalbmeláseid bidjat .
Háliidit 	oahpaheaddji gii 	sáhttá oahpahit fioliidna ja piano // keyboard čuojanasaiguin .
Guovdageainnu nuoraidskuvllas leat dál baicca vátnát 	oahpaheaddjit geain 	lea dárogiella fágan .
Sámegielat 	oahpaheaddjit geain 	ii leat dárogiella sierra fágan šaddet maid oahpahit dárogiela , muitalit skuvlla hálddahusas .
Joavkkuin , mat ožžo oahpahusa duhpáha ja borgguheame birra , 	oahpaheaddjit geat 	ožžo kurssa borgguheame birra ja geain ledje váhnemat geat leat borgguheami vuostá , ledje 25% unnánit oahppit geat álge borgguhit go joavkkuin mas lei earálágan oahpahus .
Lei ollu ráhkkaneapmi ovdal daid doaluid , ja ledjege 	oahpaheaddjit geat 	barge dan barggu .
– 	Oahpaheaddjit geat 	borgguhit ohppiiguin ovttas , leat mielde ráhkadeamen oainnu ahte borgguheapmi lea dohkálaš maiddái skuvlarájiid siskkobealde .
Dát gáibida lassi barggu oahpahit nohkka 	oahpaheddjiid geain 	lea gelbbolašvuohta sámegielas ja kultuvrras ja háhkat sámi oahppneavvuid mat leat heivehuvvon sámi oahppoplánii .
	Avvir –
– Mis lea 	oahpaheaddji gii 	ii máhte sámegiela ja dat váikkuha min oahpahusa .
Son čilge Ávvirii ahte sosiálaoahpaheaddji lea 	oahpaheaddji gii 	bargá áššiiguin mat gusket njuolga ohppiide .
Buot báikkálaš politiijabálvvát ja boazopolitiijabálvvát leat mielde dán jahkásaš hárjehallamis , muitalit dat guokte 	oahpaheaddji geat 	čađaheaba hárjehallama ja rávvema .
Buorre kvalitehta ja giellaguoddit Valle deattuhii ahte buori kvalitehta eaktun leat eanet oahpaheaddjit ja ovdaskuvlla 	oahpaheaddjit geain 	lea sámegiela gelbbolašvuohta , buorre oahppofálaldat , movttiidahttit olbmuid oahppat sámegiela .
Liikká lohká son ahte sáhttá leat hástalussan čađahit ovdamearka dihte oahpahusa olggobeale skuvlla , go leat seamma 	oahpaheaddjit geat 	oahpahit sámegielluohkáin , sámegiel vuosttaš , nuppi ja goalmmát gielas .
Oahpaheaddjin diehtá son ahte dás ii leat sáhka sámegielat oahpaheddjiid vátnivuođas , go ledje dat dálá 	oahpaheaddjit geat 	oahpahedje sámegielat oahpahusa ovdal_go dilli rievdaduvvui ja oahppit heite .
– Ii leat Sámi máilmmis mange láhkai oahpaheaddji valljivuohta , go dál ge leat šaddan virgádit 	oahpaheddjiid geain 	ii leat ollislaš máhttu , muittuha Anti .
– Lea okta sámegiel 	oahpaheaddji gii 	geahččala su iešguđet fáttás , oaidnin dihtii makkár dássi sus lea .
Ii leat ovttaskas sámi oahpaheaddji ovdasvástádus rahčat ráhkadit ohppiide oahpponeavvuid seamma bálkkáin go dárogielhálli 	oahpaheaddji gii 	ii dan dárbbaš dahkat , logai Kárášjoga vuođđoskuvlla ohppiidráđi ovdaolmmoš , Saija Stueng .
Skuvllas leat dál olbmot geat čuovvulit ja veahkehit ohppiid ja 	oahpaheddjiid geat 	dárbbašit dan .
Mii evttohat ahte suohkanat guddet iežaset oasi ovddasvástádusas dakko_bokte ahte suohkanat mávssášedje sosiála goluid 	oahpaheddjiide geat 	váldet virgelobi buvttadit oahpponeavvuid , cealká Keskitalo .
Oahppan 	oahpaheaddji gii 	lea lohkan davviriikkalaš gielaid , sámegiela vuođđofága ja stáhtadiehtaga cand. polit. Romssa_universitehtas .
Ledje gal muhtun 	oahpaheaddjit geat 	maŋŋel skuvlaáiggi hupme mánáiguin sámegiela , muitaledje 6 B luohká oahppit áŋgirit .
Oahpaheaddjin diehtá son ahte dás ii leat sáhka sámegielat oahpaheddjiid vátnivuođas , go ledje dat dálá 	oahpaheaddjit geat 	oahpahedje sámegielat oahpahusa ovdal_go dilli rievdaduvvui ja oahppit heite .
Ole Einar Hætta lei okta 	oahpaheddjiin gii 	lei jurddašan ahte Guovdageainnu nuoraidskuvlla ohppiide livččii dahkan buori oaidnit movt Suoma skuvla doaibmá ja movt oahppit láhttejit doppe .
SEmS– Min oahpaheaddjit leat profešunealla 	oahpaheaddjit geat 	barget skuvllas dan_dihte go liikojit mánáiguin bargat .
Oažžu stuorra váikkuhusa boahtteáiggi sámi servodahkii jus eai leat doarvái sámegielat oahpaheaddjit ja dál leat jo unnán 	oahpaheaddjit geat 	máhttet sámegiela .
