[lemma = "galgat"][msd = ".*Ill.*"]
Boađus: 1 160
Ovddit1
2
Čuovvovaš
Cealkkačájeheapmi
	Administrative texts –
Dat ii galgga leat dušše dábálaš girjebusse , muhto 	galgá dan 	lassin geavahuvvot kulturgaskkusteaddjin girjjálašvuođa , diehtaga , visuála dáidaga , musihka ja kulturárbbi oktavuođas .
Eambbo go 90 % sisaluoikkahuvvon girjjálašvuođas 	galggai nissoniidda 	, ja 25 % olggosluoikamiin girjerájuid iežaset čoakkáldagain lei albmáide .
Dát 	galgá fylkii 	eambbo geasuhit olbmuid fárret , ja seammás guovddážat galget doaibmat duoddin guovlluide ja fylkii , vai olbmot eai fárre eret .
Čalmmustuvvot 	galgá infrastruktuvrii 	vai lea Romssa guovlluide ovdánanvuođđun : -
Dát 	galgá fylkii 	eambbo geasuhit olbmuid fárret , ja seammás guovddážat galget doaibmat duoddin guovlluide ja fylkii , vai olbmot eai fárre eret .
Dása 	galgá gilvvuide 	oassálastin guovllu olggobealde merkejuvvot , omd. Davvi-Norgga Meašttirgilvvut , NM , cup ' at jna. .
Juos searvvis leačča iežas viesut // rusttegat , 	galget daidda 	gullevaš doaibmagolut fievrriduvvot dása .
Skuvla 	galgá ohppiide 	fuomášuhttit dán vejolašvuođa ja movttiidahttit válljet sámegiel 2 loahppaárvvoštallama .
Dasto 	galggašii čuolmmaide 	maid sáhttá defineret kultur- , kulturmuito- , giella- ja oahpahussuorgái gávdnat saji plánain mat dáin surggiin ráhkaduvvojit sámediggevuogádagas .
Dasto 	galggašii čuolmmaide 	maid sáhttá defineret kultur- , kulturmuito- , giella- ja oahpahussuorgái gávdnat saji plánain mat dáin surggiin ráhkaduvvojit sámediggevuogádagas .
Bággonjuovvan- mearrádusa ii 	galgga johtui 	bidjat ovdal dat lea álbmotrievttálaččat čielggaduvvon .
Jos dákkár máhcaheapmi ii leat vejolaš duohta dilálašvuođaid gea ¸il , de 	galgá eamiálbmogiidda 	dovddastuvvot dallánaga buhtadus .
Sápmelaččat eai leat goassege dohkkehan , nugo Sámi vuoigatvuođalávdegotti riektejoavkku eanetlohku dagai , ahte davviriikkalaš stáhtat dahje Ruošša ovddeš koloniijapolitihkka , man celkojuvvon ulbmilin lei jávkadit sámi kultuvrra ja assimileret sámi álbmoga , 	galgá stáhtaide 	ja majoritehtaálbmogii sáhttit geavahuvvot ággan oamastit vuoigatvuođaid ( NOU .
Sámi vuoigatvuođalávdegottis eanetlohku árvala maid ahte Sámediggi , go leat dahkan mearrádusa guovtti goalmmádasa eanetloguin , 	galgá guđa 	jahkái sáhttit hehttet stuoribuš meassamiid sámi guovlluin riikkasteamet .
Jos dákkár máhcaheapmi ii leat vejolaš duohta dilálašvuođaid gea ¸il , de 	galgá eamiálbmogiidda 	dovddastuvvot dallánaga buhtadus .
Sápmelaččat eai leat goassege dohkkehan ahte davviriikkalaš stáhtat dahje Ruošša ovddeš koloniijapolitihkka , man celkojuvvon ulbmilin lei jávkadit sámi kultuvrra ja assimileret sámi álbmoga , 	galgá stáhtaide 	ja majoritehtaálbmogii sáhttit geavahuvvot ággan oamastit vuoigatvuođaid .
Dasto leai láhkaárvalusas evttohuvvon ahte elliid eaiggádiin lea ovddasvástádus das ahte lea doarvái guohtun , jos dat eai 	galgga dasa 	las sin bibmojuvvot .
Sáivaguoli biebman ja šaddadan maid 	galgá dán 	árvvoštallamii mielde .
Sáivaguollebiebmamis leat stuorra mearkkašupmi fidnoguolásteapmái go dat 	galggašii doarvái 	meari doallat vai sáhttá bisuhit vuostáváldima , biđgema ja vuovdima .
Jus meahccebuktagat 	galget márkaniidda 	gos bures mákset daid ovddas , de lea guovddáš strategiijan bidjat sámi kultuvrra , historjjá ja árbevieruid lassiárvun dáid buktagiidda .
Else Laula Renberg govva vel 	galggašii ruhtaseattalii 	.
Dasto 	galgá álgoálbmogiidda 	sihkkarastojuvvot oassi dan dietnasis mii boahtá daid gálvvuid vuovdimis mat leat ráhkaduvvon šattuid dahje eará organismmaid genaávdnasiin dalle go álgoálbmogiid árbedieđut geavahuvvojit genaresurssain ávkkástallamis .
Dassážiigo musea lea huksejuvvon 	galgá dáidda 	gaskaboddasaččat vurkejuvvot Riddu Duottar Museas Kárášjogas .
Jos leat stuorra erohusat dohkkehuvvon gollomeroštusa ja prošeaktarehketdoalu gaskka , de 	galgá dasa 	addit mearkkašumiid .
Jos leat stuorra erohusat dohkkehuvvon gollomeroštusa ja prošeaktarehketdoalu gaskka , de 	galgá dasa 	addit mearkkašumiid .
Jos leat stuorra erohusat dohkkehuvvon gollomeroštusa ja prošeaktarehketdoalu gaskka , de 	galgá dasa 	addit mearkkašumiid .
Dassážiigo musea lea huksejuvvon 	galgá dáidda 	gaskaboddasaččat vurkejuvvot Riddu Duottar Museas Kárášjogas .
Jos leat stuorra erohusat dohkkehuvvon gollomeroštusa ja prošeaktarehketdoalu gaskka , de 	galgá dasa 	addit mearkkašumiid .
dohkkehuvvon gollomeroštusa ja prošeaktarehketdoalu gaskka , de 	galgá dasa 	addit mearkkašumiid .
gollomeroštusa ja prošeaktarehketdoalu gaskka , de 	galgá dasa 	addit mearkkašumiid Prošeaktarehketdoalu galgá leat vuolláičállán prošeaktajođiheaddji // ovddasvástideaddji .
Almmolaš suorggi bargit 	galget gáibádussii 	bidjat mielddusin čállosa mii čájeha ahte dat beaivvit main bargis lea vuoigatvuohta oažžut virgelobi bálkkáin , leat geavahuvvon .
Almmolaš suorggi bargit 	galget gáibádussii 	bidjat mielddusin čállosa mii čájeha ahte dat beaivvit main bargis lea vuoigatvuohta oažžut virgelobi bálkkáin , leat juo geavahuvvon .
Lávdegoddi 	galgá dasa 	lassin vel árvvoštallat Sámi allaskuvlla ovdáneami dieđalaš allaskuvlan ja das viidáseappot eamiálbmotuniversitehtan .
Máhttolokten buvttii 2006:s digitála gálgga viđat 	gálgan skuvlii 	, lassin lohkamii , čállimii , rehkenastimii ja njálmmálaš ovdanbuktimii .
Čilgehusa duogáš lea ahte Sámedikkis 	galgá ealáhusovddideapmái 	leat bajimuččabut ja ollislaččabut strategiija .
Čilgehusa duogáš lea ahte Sámedikkis 	galgá ealáhusovddideapmái 	leat bajimuččabut ja ollislaččabut strategiija .
Dassážiigo musea lea huksejuvvon 	galgá dáidda 	gaskaboddasaččat vurkejuvvot Riddu Duottar Museas Kárášjogas .
Dassážiigo musea lea huksejuvvon 	galgá dáidda 	gaskaboddasaččat vurkejuvvot Riddu Duottar Museas Kárášjogas .
Danne 	galget sámegielfágii 	heivet oahpahusa seamma ládje go eará fágain skuvllas .
Danne 	galget sámegielfágii 	heivehit oahpahusa seamma ládje go eará fágain skuvllas .
Lávdegoddi 	galgá dasa 	lassin vel árvvoštallat Sámi allaskuvlla ovdáneami dieđalaš allaskuvlan ja das viidáseappot eamiálbmotuniversitehtan .
Máhttolokten buvttii 2006:s digitála gálgga viđat 	gálgan skuvlii 	, lassin lohkamii , čállimii , rehkenastimii ja njálmmálaš ovdanbuktimii .
Lassin dasa 	galget vuoruheapmái 	gullat
Dasto leai láhkaárvalusas evttohuvvon ahte elliid eaiggádiin lea ovddasvástádus das ahte lea doarvái guohtun , jos dat eai 	galgga dasa 	las sin bibmojuvvot .
Dán bargui ferte várret veaháš áiggi danne go arkiivabargit 	galget arkiivabargui 	lassin maiddái telefovnnaid gohkket ja bagadallat áššemeannudeddjiid , jođiheddjiid ja vuollásaš ráđid .
Mii 	galgat dasa 	lassin áššemeannudit politihkalaš dássái ja heivehit iešguđetlágán oktasašdoaimmaid dárbbu mielde .
Girjerádjo- ja diehtojuohkinossodat galgá doaimmahit sámi sierrabibliotehka ja doaibmat oktasaš diehtojuohkinossodahkan olles Sámediggái , ja 	galgá dasa 	lassin doaibmat Sámediggeráđi politihkalaš čállingoddin dakkár áššiin mat guoskkahit sin fágasuorggi .
Dán bargui ferte várret veaháš áiggi danne go arkiivabargit 	galget arkiivabargui 	lassin maiddái telefovnnaid gohkket ja bagadallat áššemeannudeddjiid , jođiheddjiid ja vuollásaš ráđid .
Mii 	galgat dasa 	lassin áššemeannudit politihkalaš dássái ja heivehit iešguđetlágán oktasašdoaimmaid dárbbu mielde .
Girjerádjo- ja diehtojuohkinossodat galgá doaimmahit sámi sierrabibliotehka ja doaibmat oktasaš diehtojuohkinossodahkan olles Sámediggái , ja 	galgá dasa 	lassin doaibmat Sámediggeráđi politihkalaš čállingoddin dakkár áššiin mat guoskkahit sin fágasuorggi .
Oahpponeavvut mat 	galget ohppiide 	geain leat erenoamáš dárbbut seađale leat seamma buorit dábálaš oahpponeavvut .
Oahpponeavvut mat 	galget ohppiide 	geain leat erenoamáš dárbbut seađale leat seamma buorit dábálaš oahpponeavvut .
Dábálaččat lea nu ahte olmmoš gii 	galgá buohccivissui 	ja lea ožžon rekvisišuvnna váldá oktavuođa suohkana oadjokantuvrrain mátkki birra .
Go lea árvalus mii lea hábmejuvvon eavttuhusa vuođul mii 	galgá dievasčoahkkimii 	, de dat mearriduvvo oktanaga eavttuhusain go árvaleaddji lea ovddidan dan .
Jos 	galggašii dáidda 	hástalusaide nagodit dohppet , de dárbbaša :
Jos 	galggašii dáidda 	hástalusaide nagodit dohppet , de dárbbaša :
Jos 	galggašii dáidda 	hástalusaide nagodit dohppet , de dárbbaša :
Jos 	galggašii dáidda 	hástalusaide nagodit dohppet , de dárbbaša :
Jos 	galggašii dáidda 	hástalusaide nagodit dohppet , de dárbbaša :
Jos 	galggašii dáidda 	hástalusaide nagodit dohppet , de dárbbaša :
Jus doarjjavuostáiváldi ohca lágádusdoarjaga boahtte jagi , 	galgá doarjjavuostáváldii 	buktán namuhuvvon rehketdoalu ja raporta ovdal go 2009 doaibmadoarjjaohcama sádde Sámediggái .
Jus doarjjavuostáiváldi ohca lágádusdoarjaga boahtte jagi , 	galgá doarjjavuostáváldii 	buktán namuhuvvon rehketdoalu ja raporta ovdal go 2009 doaibmadoarjjaohcama sádde Sámediggái .
Jus doarjjavuostáiváldi ohca lágádusdoarjaga boahtte jagi , 	galgá doarjjavuostáváldii 	buktán namuhuvvon rehketdoalu ja raporta ovdal go 2009 doaibmadoarjjaohcama sádde Sámediggái .
Jus doarjjavuostáiváldi ohca lágádusdoarjaga boahtte jagi , 	galgá doarjjavuostáváldii 	buktán namuhuvvon rehketdoalu ja raporta ovdal go 2009 doaibmadoarjjaohcama sádde Sámediggái .
Jus doarjjavuostáiváldi ohca lágádusdoarjaga boahtte jagi , 	galgá doarjjavuostáváldii 	buktán namuhuvvon rehketdoalu ja raporta ovdal go 2009 doaibmadoarjjaohcama sádde Sámediggái .
Jus doarjjavuostáiváldi ohca lágádusdoarjaga boahtte jagi , 	galgá doarjjavuostáváldii 	buktán namuhuvvon rehketdoalu ja raporta ovdal go 2009 doaibmadoarjjaohcama sádde Sámediggái .
Jus doarjjavuostáiváldi ohca lágádusdoarjaga boahtte jagi , 	galgá doarjjavuostáváldii 	buktán namuhuvvon rehketdoalu ja raporta ovdal go 2009 doaibmadoarjjaohcama sádde Sámediggái .
Doarjjastivra bidjá vuođđun ahte Sámediggi lea 2008 bušeahtas mearridan ahte eai 	galgga bušehttii 	váldojuvvot mielde ođđa organisašuvnnat ja ásahusat maidda addojuvvo njuolgga doarjja , ovdalgo dieđáhus sámi ásahusaid birra biddjojuvvo ovdan dievasčoahkkimii .
Lea ásahuvvon sierra ealáhusskovvi duojáriidda mii 	galgá dán 	ulbmilii adnot .
ITQ:id ásahettiin 1986:s eai vuhtiiváldán dattege eiseválddit maoriid rivttiid , mii mielddisbuvttii olu diggeáššiid ja loahpalaččat politihkalaš gaskaneassoahpamuša mii attii maoriide rievtti 10 %:ii olles vuogádaga eriin , 20%:ii buot šlájain mat 	galge earrevuogádahkii 	boahtteáiggis ja mearkkašahtti ruđalaš buhtadusa mainna sáhtte oastit beali New Zealandda stuorámus guolástusgávpesearvvis .
Lea oalle stuora vuosteháhku dasa ahte 	galggašii doarjagiidda 	ráhkaduvvot sierra
Stivrema sáhttá defineret nu ahte dat lea dihtomielalaš geahččaleapmi mearridit movt mearrádusat 	galget johtui 	biddjojuvvot ja čuovvoluvvot vai manná nugo vurdojuvvo .
Sámediggi lea ovttas oarjelsámiguovllu ( lullisámiguovlu ) fylkkagielddaiguin ráhkadeame ovttasbargošiehtadusa mii 	galgá dohkkeheapmái 	2004:s .
Lassin dasa 	galget vuoruheapmái 	gullat ekonomalaš , juridihkalaš ja praktihkalaš veahkki .
Dahje sártno eatnamii , ja dat galgá du máhttáhit , ja ábi guolit 	galget dutnje 	dan muitalit .
Evalueren čájehii ahte olu suohkanat maiddái geavahedje ruđaid giellaovddideapmái , vaikko guovttegielatvuođadoarjja lea gaskaoapmi mii 	galgá suohkaniidda 	addit návccaid ollašuhttit sámelága giellanjuolggadusaid .
Buot departemeanttat 	galget dasa 	lassin váldit giellapolitihkalaš beliid vuhtii go hábmejit ja čađahit iežaset sektorpolitihka .
Evalueren galgá geavahuvvot vuođđun earret eará árvvoštallat dan ahte 	galgetgo guovttegielatdoarjagii 	biddjojuvvot meroštallannjuolggadusat ja movt dat vejolaččat galggašedje doaibmat .
Dakkár guovlluin gos leat sámi beroštusat , 	galgá dan 	lassin Sámediggi nammadit áirasiid .
Buorre oktavuohta ealáhusdoalliiguin lea eaktun dasa ahte Sámedikkis galgá 	galgá doarvái 	bures dovdat sámi ássanguovlluid eandoalu hástalusaid .
Jus 	galgá doarvái 	bures sáhttit árvvoštallat makkár váikkuhusat Sámi ovddanfoanddas leat guovllupolitihkalaš váikkuheaddjin , de dat gáibidivččii ahte guorahallá vuđolaččat fitnodagaid mat leat ásahuvvon // nannejuvvon SOF doarjagiiguin , ja seammás fertešii maid guorahallat man muddui doarjja lea nagodan ásahit ceavzilis fitnodagaid , ii ge dušše dakkáriid mat jávkkehit oanehis áiggi geahčen .
- Ain lea ollu mii 	galgá sadjái 	ovdal go Justiisalávdegoddi sáhttá buktit dakkár árvalusa Finnmárkkuláhkii mii čielgasit lea álbmotrievtti siskkobealde , muhto ahte Sámediggi aŋkke áigu bargat buot maid nagoda vai oažžut álbmotrievttálaččat dohkálaš lága , oaivvilda presideanta Sven-Roald Nystø .
Eanaš oahppoplánat mat 	galget dán 	oahppoplánačoakkáldahkii leat juo mearriduvvon .
Šiehtaduvvo sierra man galle nuvttá gáhppálaga oahpponeavvus 	galget Sámediggái 	
Šiehtaduvvo sierra man galle nuvttá gáhppálaga oahpponeavvus 	galget Sámediggái 	
Ii sáhte dušše mearridit politihkalaš dokumeanttain ahte stuorát oassi nissonolbmuin 	galget boazodollui 	.
144/10/144 Elle Sofe Henriksen , Guovdageainnu suohkan - Doarjjaohcan gierdomátkái čájálmasain Beatnaga ii 	galgga gulgii 	geahččat .
Busse doaimmaha Romssa fylkagielda ja dat 	galgá dasa 	lassin luoikat girjjiid olbmuide , ja gaskkustit sámi kultuvrra Mátta-Romssas .
Nugo diehtit de lea leamaš veaháš soahpameahttunvuohta šiehtadallanplána ektui , erenoamážit Norggas , muhto go mii dál diehtit ahte lea ovttamielalašvuohta Suoma ja Ruoŧa sámedikkiid ja daid guoskevaš ráđđehusaid gaskka , de ii 	galgga johtui 	boahtin leat Norgga duohken .
§ 4 mielde luondduriggodagaid suvdilis divššu ja geavaheami dehálaš oassin Meahcceráđđehus 	galgá doarvái 	bures váldit vuhtii biologalaš máŋggahámatvuođa suodjaleami ja heivvolaš lasiheami ja Meahcceráđđehusa hálddus leahkki luondduriggodagaid dikšuma , geavaheami ja suodjaleami galgá heivehit oktii sámiid ruovttuguovllus nu , ahte sámiid kultuvrra hárjeheami vejolašvuođat dorvvastuvvojit .
§ 4 mielde luondduriggodagaid suvdilis divššu ja geavaheami dehálaš oassin Meahcceráđđehus 	galgá doarvái 	bures váldit vuhtii biologalaš máŋggahámatvuođa suodjaleami ja heivvolaš lasiheami ja Meahcceráđđehusa hálddus leahkki luondduriggodagaid dikšuma , geavaheami ja suodjaleami galgá heivehit oktii sámiid ruovttuguovllus nu , ahte sámiid kultuvrra hárjeheami vejolašvuođat dorvvastuvvojit .
Sámenuoraid dáiddadáhpáhusa 2008 earenoamáš sámefáddan lei girji , mii 	galggai juogaláhkái 	guoskkahit sámi eallima ja kultuvrra .
Sámenuoraid dáiddadáhpáhusa 2008 earenoamáš sámefáddan lei girji , mii 	galggai juogaláhkái 	guoskkahit sámi eallima ja kultuvrra .
§ 4 mielde luondduriggodagaid suvdilis divššu ja geavaheami dehálaš oassin Meahcceráđđehus 	galgá doarvái 	bures váldit vuhtii biologalaš máŋggahámatvuođa suodjaleami ja heivvolaš lasiheami ja Meahcceráđđehusa hálddus leahkki luondduriggodagaid dikšuma , geavaheami ja suodjaleami galgá heivehit oktii sámiid ruovttuguovllus nu , ahte sámiid kultuvrra hárjeheami vejolašvuođat dorvvastuvvojit .
§ 4 mielde luondduriggodagaid suvdilis divššu ja geavaheami dehálaš oassin Meahcceráđđehus 	galgá doarvái 	bures váldit vuhtii biologalaš máŋggahámatvuođa suodjaleami ja heivvolaš lasiheami ja Meahcceráđđehusa hálddus leahkki luondduriggodagaid dikšuma , geavaheami ja suodjaleami galgá heivehit oktii sámiid ruovttuguovllus nu , ahte sámiid kultuvrra hárjeheami vejolašvuođat dorvvastuvvojit .
§ 4 mielde luondduriggodagaid suvdilis divššu ja geavaheami dehálaš oassin Meahcceráđđehus 	galgá doarvái 	bures váldit vuhtii biologalaš máŋggahámatvuođa suodjaleami ja heivvolaš lasiheami ja Meahcceráđđehusa hálddus leahkki luondduriggodagaid dikšuma , geavaheami ja suodjaleami galgá heivehit oktii sámiid ruovttuguovllus nu , ahte sámiid kultuvrra hárjeheami vejolašvuođat dorvvastuvvojit .
“ Nugo diehtit de lea leamaš veaháš soahpameahttunvuohta šiehtadallanplána ektui , erenoamážit Norggas , muhto go mii dál diehtit ahte lea ovttamielalašvuohta Suoma ja Ruoŧa sámedikkiid ja daid guoskevaš ráđđehusaid gaskka , de ii 	galgga johtui 	boahtin leat Norgga duohken .
“ Nugo diehtit de lea leamaš veaháš soahpameahttunvuohta šiehtadallanplána ektui , erenoamážit Norggas , muhto go mii dál diehtit ahte lea ovttamielalašvuohta Suoma ja Ruoŧa sámedikkiid ja daid guoskevaš ráđđehusaid gaskka , de ii 	galgga johtui 	boahtin leat Norgga duohken .
- Lea dehálaš vuosttaš lávki oažžut ruoktut oaiveskálžžuid Sápmái muhto ášši ii 	galgga dasa 	bisánit , dadjá Sara Larsson .
Dát dáhttu 	galgá dovdosii 	boahtit mearreáigásaš ja duođalaš válggain main oppalaš ja dássásaš jienastanvuoigatvuohta čiegus jienasteapmi dahje eará ovttaárvosaš friddja jienastanvuohki .
Barggut Hálddahushoavdan 	galggat stivrii 	ovdanbuktit doaimma , ja dus lea ovddasvástádus ahte doaibma čađahuvvo lágalaččat ja beaktilit .
	Aššu –
Dalle mearriduvvo geat 	galget nominašuvdnačoahkkimii 	10.4.97 .
Dasto 	galggašii sápmelaččaide 	leat vel álkit .
Dat muhtunládje liikojit go soames ain dohppe oalái ja dadjá ; don 	galggat duosa 	oahpahit sámegiela !
Ovdal dan , de 	galgá áššái 	beassat juohke boazodoalli buktit iežas oaivila .
Sámivuohta 	galgá dikšumii 	Guovdageainnu suohkan áigu buorebut dikšut olbmuid geat dárbbašit iešguđetlágan dikšumiid .
Sápmelaš bláđđi 	galggašii Sápmái 	
Juohke kultuvrras ipmirduvvo buozanvuohta ja dearvvašvuohta sierra ládje ja daid lea dárbu dovdat jus bálvalusat 	galget olbmuide 	oláhit .
Schengen-šiehtadus 	galgá Stuoradiggái 	dán miessemánu mielde .
Juo , mii eat oainne dan dan dihte go mii eat bálddastahte dan dainna hearvásvuođain mii okte 	galgá albmosii 	boahtit !
Jus nu barget , de leat áibbas lobihemiid bargamen ja sin 	galggašii leansmánnii 	dieđihit .
Ja mun gal duođas lean hirpmástuvvan go vel politihkkárat ja min doavttir ge lea hoahkagoahtán ahte 	galggašii guvhlláriidda 	ráhkaduvvot doavtterkántuvra !
Goas 	galget Helssegii 	
Plána 	galgá gulaskuddamii 	ja lea easka ođđa Sámediggi mii skábmamánus dan loahpas dohkkeha .
Njunnožis NBR álggaheamis leigga Lars ja Paul Danielsen , ja čielggas dás lei ahte searvi 	galggai boazosápmelaččaide 	ealáhusorganisašuvdnan Norggas .
Boahtte jagi bohtet dihtorčeahpit ja earát olles máilmmis bargat movt unnimus váikkuhusat 	galget servvodahkii 	, jus ja go dihtorat eai šat doaimma .
Nugo don leat priváhtalaš olmmoš , de eai 	galgga dutnje 	riŋget ovdal diibmu 0900 iđđes dehe maŋŋel diibmu 2100 eahkes árgabeivviid .
Dalle 	galgá mánáide 	ja verddiide guođđit 180 bohcco , oktiibuot .
It 	galgga lihttái 	geahččat , muhto dan sisdollui .
	Galgen mearragáddái 	čuovvut iežan ránnjá mielde .
Sáhkan lea leamaš hukset ođđa stuora buohcciviesu , mii 	galgá vuostái 	váldit olles Finnmárkku álbmoga .
Dán seamma čállosis go das namuhuvvo , Seppola álbmotrievtti vehkiin , lea gávnnahan ahte earát eai 	galgga dasa 	iežaset seaguhit movt dat iešguđetlágan etnalaš joavkkut iežas historjjá ráddje .
Mun mátkkoštan sullii 250 km go 	galggan Olmmáivággái 	, muhto orru leamis dušše somá fas boahtit deike .
Mo jáhkát mannat go návdi ja bierdna 	galgaba riebanii 	veahkkin gortniid ládjet ?
It 	galgga lihttái 	geahččat , muhto dan sisdollui .
Dál 	galggašii midjiide 	maid fargga ollet geassi , nu ahte livččii soma jus omd. sárgubehtet maid geasset áigubehtet hommet .
	Galggat guhtiige 	addit gusavuoja gáhkkobihta .
Son diđii muitalit ahte sus leat earánat leamaš dáppe Finnmárkkus , go su searvvi miellahtut 	galget Nordkáhppii 	čoahkkanit boahtte jagi dán mutto .
Lilletun ferte diehtit ahte son dagaha čielga boatkaneami girkopolitihkain mii 	galggai girkui 	ráhkadit “ saji ” buot lágan oainnuide , go son dáinna lágiin bidjá dán ovdamearkan ahte konservatiivvat bággejuvvijit guođđit girku jus sii čuvvot oamedovdduideaset .
Movt širáffa ja elefántta 	galggat meahccái 	fas oažžut ?
Niillas álggii reŋgot ádjá , ja muhtin beaivvi lohká áddjá : – Dál 	galggat vuovdái 	mannat , ja čuollat juohke muora mii doppe lea , ja jus dan it daga , de mun válddán du heakka .
De válde sii seahka ja cagge dan rabas beaivái njálmmiid ja go lei báitán oanehaš seahka sisa de čatne sii seahkkanjálmmi ja viehkaledje dainna stohporáigge ja čoavdiledje seahkkanjálmmi ja savdnjiledje seahka doaivumis ahte beaivváš 	galggai láhttái 	gáhččat .
Sis ii ge gártta beare ollu ruska , ja muhtimat šaddet ge vuodjit guokte kilomehtera go 	galget kontainerii 	doalvut ruskabusseža .
- Juo , soai leaba hui falit , ja čájeheigga movt 	galgá mollii 	roaškalit .
- Mun 	galggan gávpogii 	gusa vuovdit , vástidii olmmái .
– Viggá go boazodoallohálddahus stivret mii 	galgá mediaide 	duohtavuohta leat , ja vigget go sii duvdit eret dutkan bohtosiid mat eai leat sin oainnu mielde , jearrá Eira .
– Juste dál leat čohkkenbarggut jođus , ja eallu 	galgá gárdái 	lagamus áiggi .
Maiddái Gielas orohat lea gáibidan ahte Talmma čearu eallu 	galgá gárdái 	, vai besset maiddái Gielas orohagas geahčadit Talmmahasaid ealu , muitala Pedersen .
– Oaivvilduvvo go áibbas duohtavuođas ahte sámediggi 	galgá Bergenii 	, go mis lea dan jagi iežamet sámediggeviessu gárvvis , jearai Nystad .
Hans Issát ii lean ollen ráhkkanit čoahkkimii , go oaččui nu oanehis áiggi ovdal čoahkkima dieđu ahte son 	galgá sámediggái 	.
Tromssas ja Nordlánddas meinejit heaittihit máŋga rusttega , juoga mii guhkida mátkkoštanáiggi šibiheidda mat 	galget njuovahahkii 	.
Movt bat de sáhttet evttuhit guhkidit fievrredanáiggi šibiheidda mat 	galget njuovahahkii 	Davvi-Norggas ?
- Dál 	galggat alccat 	ráhkadit stuora fatnasa ja návsttu , muhto ale fal viiddit iežas stobu , neavui nieida .
Olmmái de dadjala báhppii : “ Don 	galggat siidii 	vuolgit , danin go don it beasa šat dáppe guhkit orrut ” .
Ja go juo leat juovlabasit , ja go eahkedis 	galgaba guossái 	, de gal ferte veaháš dálkasa jugestit , jus eai eanet lihkohisvuođat dáhpáhuva .
Moai 	galge guossái 	vuolgit ovdal sevnnjoda , belkkii Guriidna .
It 	galgga lihttái 	geahččat , muhto dan sisdollui .
It 	galgga lihttái 	geahččat , muhto dan sisdollui .
Ággan doalvut mus mánáid eret , lei ahte eai 	galgga doarvái 	buori divššu ožžon .
Muhtun olmmái 	galggai politiijaide 	čilget manin son spežžii ovtta eará olbmá .
Dát muitalage ieš alddis man ollu bargu ja návccat 	galget johtui 	, lohká Runar .
Gonagas suhtai sakka ja gohčui , ahte Andreas 	galgá giddagassii 	biddjot , ja šattai maid nu .
Finnmárkku Rukses Ruossa biehttalii váldit vuostá čáppa gođđojuvvon biktasiid mat 	galget Ruššii 	.
Hálddašan- ja operatiiva guovddáš 	galgá Áltái 	.
Dađibahábut dáhpáhuvvá ahte juoga mii livččii 	galgan áviisii 	fárrui , sierra sivaid geažil ii boađe áviisii .
Dien lohká vuođđun 	galgat ovttasbargui 	, Hospitánta Jurij Tjuljubaev .
Gonagas suhtai sakka ja gohčui , ahte Andreas 	galgá giddagassii 	biddjot , ja šattai maid nu .
Muhto jus 	galgá Cubai 	ollet , nu go muhtun boaresbárdni evttohii , de gal galget máŋga loatta vuvdojuvvot ...
Saemien Sijtes 	galgá mánáide 	muitalanboddu .
Dákkár ášši 	galgá gulaskuddamii 	, ja de beassá suohkan iežas oainnu buktit ovdan .
Nuppe ládje sii dihtet ahte boasta mas čuožžu 9735 Kárášjohka dahje 9521 Guovdageaidnu 	galgá boastakássaide 	mat leat boastakántuvrras .
Olles logi oasi 	galget čakčii 	gárvanit .
Muhto dán jagi leatge oallugat geat 	galget heajaide 	, dadjá Alex Singer .
Dál 	galgá Hættai 	fállot kanturbargu .
Dain ii buollan ii oktage , ja dál dii 	galgabehtet munnje 	albma riššaid ohcat .
Plánaid mielde 	galget vistái 	ee. duodji , giellaoahppu , kurssat , konferánssat , láigoheapmi , musea , turisma ja eará ealáhusdoaimmat maiguin sáhttá dinet .
Maiddái Divttasvuotna ja Gáivuotna 	galget gártii 	gos lávdanoahppo fálaldat lágiduvvo .
Dán siiddus oainnát makkár mu mielas lea doavttir go 	galgá munnje 	addit dálkkasnálu !
Juohkehaččas lea juoga njuokčan alde , ja jus buot 	galggašii áviisii 	, de manaše máŋga áviissa dušše dasa ...
De boares áhkká ilmmuduvai báldi ja dadjá : – Don 	galggat munnje 	láibebihtá addit ; mun lean nealgume .
Mun ledjen boazobarggus Lávnnitvuomi čearu geasseorohagas Dieváidvuovddis ( Dividalen ) , go fuobmájin movt mun 	galggan mánáide 	muitalit boazosápmelaččaid dološ ja dán áigásaš eallima , muitala Meahcce-Vulle “ áhčči ” , Nils Josef Labba .
Nordlys aviissas ja Áššus lea čielgasit boahtán ovdan ahte lea nealgi mii šaddá váldit stuora oasi boazojápmimis , jus 	galgá šibitdoaktáriidda 	jáhkkit .
Mun ledjen boazobarggus Lávnnitvuomi čearu geasseorohagas Dieváidvuovddis ( Dividalen ) , go fuobmájin movt mun 	galggan mánáide 	muitalit boazosápmelaččaid dološ ja dán áigásaš eallima , muitala Meahcce-Vulle “ áhčči ” , Nils Josef Labba .
Doavttir dadjá ahte dan son gal dieđusge sahtta , ja jearrá man olu 	galgá áhkkui 	.
Áhkká 	galgá sutnje 	lovssa addit .
	Avvir –
Stáhta lea dadjan don 	galggat duosa 	.
