Veadjá leat nu , ahte olles ásahusas galgá vuhttot sámiid diliid 	adden 	ja gudnejahttin . ¶
Mii leat 	adden 	DSF leamaš olbmuide ávkin nu go oahpahusa dáfus , searvegotti bargui ja boarrásiid sosiálalaš doaimmaide , čilge Johnsen manin musea háliida dáid maŋŋá soađi muittuid vurket . ¶
Báhpat eai álggos 	adden 	manin olbmot vuosttildedje , ja eai háliidan vieru váldit . ¶
– Viimmat ledje muhtimat 	adden 	mii lei duohtavuohta ja oidno mo fasttit su gándda givssidedje , joatká eadni . ¶
– Sátnejođiheaddji , Kjell Sæther , lei beanta boalgan midjiide álbmotčoahkkimis , go ii lean velá 	adden 	duohtavuođa mii givssideapmi lea ja váhnemat leat guktot beliid váhnemat , sihke givssideaddjiid ja givssiduvvon mánáid váhnemat . ¶
Dan dovddu oaččui go áddii ahte gielda ii lean vuos 	adden 	, eaige áiggo váldde ovdasvástádusa givssideamis skuvllas . ¶
Sii maiddái mieđihit ahte eai leat vuos áibbas 	adden 	ahte guhte jagi oahppu lea gearggehuvvan . ¶
– Lea ártegis dovdu dál go leat geargan , eat leat vuos áibbas 	adden 	dan , muitalit nieiddat . ¶
– Nu mo mun 	adden 	ášši de lea olles Levajok Fjellstue AS guovlu regulerejuvvon bartahuksemii , ja dattetge besset hukset nu lahka Deanu , lohká son Ávvirii . ¶
– Nu mo mun lean 	adden 	de ii leat Framtid i Nord oaiveulbmil čállit sámeálbmogii , muhto báikkálaš álbmogii , lohká Larsen . ¶
– Nu mo lean 	adden 	, de lea riidu buollán Ovddádusbellodaga ovccát saji evttohasain . ¶
daid báhpáriid mat heaŋgájedje távvalis , ja 	adden 	gal ovtta láhkai manin gávpi gárttai diehtojuohkintávvala eret váldit ja lea váidalahtti , muhto ii han dat livčče gal stuorra ášši gávpái bidjat kamera dien seainni guvlui , mas oidnet mii doppe dáhpáhuvvá , ja livččii maid eastadan vearredaguid , oaivvilda Trond Henriksen . ¶
Ávvir jearrá lea go su mielas Fylkkadiggi boastut 	adden 	Finnmárkku lága . ¶
	Adden 	dan mađe suomagiela ahte guokte vuola fidnen , muhto in golbma , lohká Kjell Østmo loahpas . ¶
– Mii eat 	adden 	ahte cealkámuš dulkojuvvui rasisttalažžan , lohká vuovdeeaiggádiidsearvvi jođiheaddji Anders Sjøvold . ¶
Vuovdeeaiggádiidsearvi maid ii 	adden 	ahte sápmelaččat ná garrasit reagerejedje min gulaskuddancealkámuššii . ¶
– Jo , mii leat 	adden 	ahte sihke politiijabálvás , ja nisus leat mánát , muitala politiija . ¶
Mánnán ii 	adden 	son dát lei veahkaválddálašvuohta . ¶
– Mun 	adden 	dán guvlui ahte ráđis lea dáhttu ráddjet bievlavuodjima boazodoalu dihte , mii lea goarádussan dáloniidda , dadjá Isak Mathis O. Hætta . ¶
– Mun 	adden 	ahte muhtimat ballet ahte guovddáža fálaldagat heaittihuvvojit , muhto mii fertet jáhkkit dáhkádusaide maid leat ožžon Lujávrri gielddas , dadjá Nedrejord ja lasiha ahte sii fertejit bargat daid dieđuid vuođul maid leat ožžon Lujávrri gielddas . ¶
Mun lea 	adden 	Evas ja Liss Heidis ahte Silje guovttos irggiin čuovvuba mielde mo golgodávda leavvá . ¶
Nu mo mun lean 	adden 	ahte NLGL:s lea sullii seamma politihka go Norgga guolástan- ja bivdosearvvis ( NJF ) sihke vuoigatvuođaid ja njuolggadusaid hárrái . ¶
Loahpas lohken « Jeg forstår » go in 	adden 	maid oaivvildedje ja maid galgen dahkat , coggen dálkasa lupmii ja mannen ruoktot , lohká Per Tor Turi . ¶
Apotehka Sámi bargit ledje 	adden 	ahte Turi áddii . ¶
Mii leat deattuhan ahte min bargit galget jearrat erenomážit leago buohcci 	adden 	čilgehusa , lohká Jensen . ¶
Okta bargiin čilge ahte sii navde Turi lei 	adden 	sin čilgehusa go logai « Jeg forstår » . ¶
– Mii vuoruhat gulahallama eanemusat , ja Turi oktavuođas lei váttis diehtit farmasøytii ahte Turi ii lean 	adden 	go son han logai ahte lei adden , čilge Jensen go gulahallat olbmuiguin lea apotehkárii dehálamos ášši vai olbmot dihtet mo dálkasiid galget geavahit . ¶
– Mii vuoruhat gulahallama eanemusat , ja Turi oktavuođas lei váttis diehtit farmasøytii ahte Turi ii lean adden go son han logai ahte lei 	adden 	, čilge Jensen go gulahallat olbmuiguin lea apotehkárii dehálamos ášši vai olbmot dihtet mo dálkasiid galget geavahit . ¶
– Lean 	adden 	Dáiddaskuvlla Kárášjogas galggašii addit vuođđooahpu dáidagis . ¶
– 	Adden 	gal ahte turista buvttášii eanet dietnasa , jus dat besset ráfis bivdit divrrasin muhtun guovlluin Deanus . ¶
– Hernes lea nagodan daid hástalusaid maid lei ožžon , muhto mun 	adden 	hui bures ahte jus šaddet stuimmit dán dáidaga birra , lohká sátnejođiheaddji Frank Ingilæ . ¶
Mun 	adden 	gieldda sosiálakonsuleanttas Ragnhild Varsi Dahlas ahte lea ain guovtti jahkái bušeahtas ruđat , muitala diakona , Leif Petter Grønmo . ¶
– Dan mun gal 	adden 	jus daid goas nu beasaha rastá Deanu , muhto go leat álgán boahtit juohke dálvvi lea imaš , dadjá Guttorm . ¶
– Dál 	adden 	mun bures manne NSR viegai Bargiidbellodaga lusa čakčat 2007 go NSR guđii fámu . ¶
Mus lei mánná maŋŋeseahtas , in 	adden 	maid háliidii . ¶
Lean 	adden 	ahte lea váttis dan jorgalit dohkálaš namman . ¶
Son lea 	adden 	ahte leat muhtin jávrrit gos báikkálaččat leat gáržžiduvvon eará guovlu olbmuiguin . ¶
	Adden 	dát šaddá stuorra hástalussan munnje , joatká Faltin . ¶
– Nu mo mun lean 	adden 	de leat eará njuovahagat bissehan njuovvama , muhto mii eat leat dárbbašan bissánit , muitala son . ¶
– Mii balaimet ahte lei kloáhkka , ja dan eat livčče 	adden 	, go dat ii láve geavvat earágo giđđat muhtumin . ¶
– Dát iežasoassi máksingáibádus guoská sutnje gii leamaš sahtedohko báŋkokoarttain , nu mo mun lean 	adden 	dan , lohká DnB Kárášjoga ossodathoavda , Karl Arne Larsson . ¶
Seammás lean 	adden 	ahte maiddái Norgga Kulturdepartemeanta dán doarju . ¶
– Mun dovddan ahte in lean riekta gearggus vuolgit ná guhkás , ja ná oanehis dieđuin , ja boađán gal varra áiggi golahit ovdal go duođaid 	adden 	ahte mun galggan dáppe orrut , gitta 2010 rádjai , finakeahttá ruovttus , dadjá Kirsti , ja čilgesta ahte sii geat bohtet eará riikkain , eai oaččo lobi fitnat ruovttus , go dat sáhttá dagahit ahte eai šat boađe ruovttoluotta skuvlii . ¶
Somby muitá son geahččalii čilget rivgui dili , muhto easkka dál ádde ahte nisu ii leat 	adden 	. ¶
Mu čeahci ii 	adden 	nissona easkkaálgi dárogiela . ¶
Sii eai 	adden 	olus maid mun lohken , muhto sáni ¶
– Mun in ieš hála sámegiela , 	adden 	gal , muhto mu mánát ja mánáidmánát gal hálddašit sámegiela , ja das mun lean hui rámis , člge Ulla Niittyvuopio . ¶
Ovddeš gielddaministtar Åslaug Haga čilgii ahte Mátta-Norggas eai leat vuos albmáláhkái 	adden 	ahte Norga lea eanet go Oslo . ¶
Sus lei garra čuoččuhus ahte Norggas lea mátta-davvi konflikta , Oslo olbmot eai leat vuos 	adden 	ahte mis lea Davvi guovlu maid Norggas , logai Haga iežas sáhkavuorus . ¶
Ledje ráhkadan iežaset Ofelaš filmma nu mo sii leat 	adden 	Nils Gaup « Ofelaš » filmma mii 1987:s šattai Norgga filbmahistorjjá stuorámus riikkaidgaskasaš menestussan ja lei maid Oscar-evttohassan buoremus olgoriikkalaš filmmaid kategoriijas USA:s . ¶
dadjá son ja lohká easkka dál boarásman agis 	adden 	ahte dat lea riggudahttán su eallima . ¶
Svein Lund lohká ahte nu guhkás go son lea 	adden 	lága , de lea dát olbmot rihkkon čuovvovaš njuolggadusaid . ¶
Basevuovdi han lea maid Kárášjogas ja dohko dollojedje Badjeolbmot , sii dal mahkáš eai 	adden 	. ¶
Lea dávjá vásihuvvon ahte gulahallan lea heittot , giella 	adden 	váttisvuođaid dihte . ¶
Das ferte gii nu leat boastut 	adden 	, lohká Keskitalo . ¶
– Mun 	adden 	baicce ášši nu , ahte justa dán konkrehta Njeareveaji áššis , de orru leamen nu ahte áššemeannudeamis leat váilevašvuođat . ¶
Váldočálli Olav Fykse Tveit fuomášuhttá ahte Obama lea 	adden 	dálkkádatáitaga duođalašvuođa ja lea bargan oaččuhit heaittihit ja jávkadit atomvearjjuid . ¶
Velába dan mun gal 	adden 	, ahte luossadutkit buktet Deanu luosa duopmobeaivvi ságaid ain 6 – 7 gaskkaid , čuovvuhan dat luossanáli lunddolaš máddodatmolsašuvvama . ¶
– Jáhkán lea veahá nu ahte nieiddat leat 	adden 	boastut diekkár jienastemiin ja jurddašit ahte dovddus lea seamma go čába , reašká Chirag . ¶
– In gal 	adden 	vuordit , ahte vuoittášin ná stuorra gilvvu . ¶
Amerihkás lohkameahttun álbmogat duháhiid jagiid mielde lea 	adden 	máilmmi iešguđet láhkai . ¶
Sii leat ožžon áddejumi mánáidgárddi bargiin ahte mánát leat 	adden 	eambbo sániin . ¶
Isaksen muitala NRK Sámi Radios ahte sii leat sadden buollinbiilla boasttu guvlui , go heahtetelefovdna 110 ii leat 	adden 	sámegiel báikenama . ¶
– In buriin mielain gal mávssáše , muhto 	adden 	gal ahte dan ferte máksit vuoi servodat doaibmá . ¶
– Dát ii leat makkárge álkes áššiid , ja mun 	adden 	bures ahte Sámediggái ii leat dát ášši man lea beare dohppet , dadjá Kuhmunen , gii maiddái váillahii Sámedikki heahtečoahkkimis masa fylkkamánni lei gohččon , guovvamánu 4. beaivvi , Bådådjos . ¶
Mun 	adden 	ahte NRK lea maŋŋel maid ohcan . ¶
Wenche Marie Heatta lohká iežas 	adden 	ahte bohccobiergu lea dearvvašlaš go boazu borrá murjjiid ja šattuid ja dát čuvvot birgui ja erenomaš sávedeahkkái ja dát lea hui buorre rupmašii . ¶
Muhto lean hállan Hættain , ja lean 	adden 	son ádde dan maid mun dajan dárogillii , vástida Woll . ¶
Hætta muitala su gusat bahčet beaivvis sullii 30 lihtera mielkki ja nu mo son lea 	adden 	, de lea dábálaš ahte gusat Norggas bahčet 35-40 lihtera beaivvis . ¶
– Mun 	adden 	ahte gándamánnái galggašii siidaoassi , go gánddat leat sihke gievrrabut ja sávrribut go nieiddat , inge jáhke somán váhnemiiddage , geain ii leat go okta siidaoassi , ja guokte máná geat háliideaba boazodollui . ¶
	Adden 	gal ahte nuorat oanidit sániid go sáddejit teakstadieđuid , muhto in leat goassige gullan ahte fertejit geavahit eará gielaid bustávaid , dadjá son . ¶
Karin Jonassen biehttala sámiid cielahallan interneahtas ja lohká sudno boastut 	adden 	su . ¶
Nu mo son lea 	adden 	, de galget sii geat alkohola guossohit , leat ollesolbmo agis . ¶
– Mun 	adden 	bures ahte badjeolbmot leat rašis dilis dál , ja mii bargatge buot mii min fámus lea , oažžun dihte jođánis vástádusa direktoráhtas , muitala Lutnæs . ¶
– Mun 	adden 	ahte Deanu Luossareiveeaiggádiid Searvi lea beahtahallan , muhto ii leat ávki botket šiehtadallamiid , oaivvilda son , gii deattuha ahte gulahallan lea dehálaš . ¶
– Go bussá bođii ruoktot , de in dalle gal 	adden 	jurddašit ahte albbas lea geahččalan gáskkašit bussá . ¶
– 	Adden 	moaitaga ¶
– Dan gal 	adden 	bures , muhto in oba leatge diehtán ahte Brønnøysundregistarii galgá dieđihit álot go stivra lonuhuvvo . ¶
– Nu mo mun lean 	adden 	, de fylkkagielda háliidivčče geahpedit bievlavuodjima , muhto Kárášjoga sierralohpelávdegotti mearrádus han dagaha ahte mii fertet Guovdageainnu bealde divvut ja maiddái ráhkadit ođđa máđijaid , dasa in jáhke fylkkagieldda gal miehtat , Saari čilge . ¶
– Go lea sáhka jávkama birra goas mánás lea leamašan ealáhuspermišuvdna , de ii gula ášši midjiide , ja mun 	adden 	bures daid váhnemiid geat dáinna ballájit , vaikko dan ii livčče dárbu dahkat , dadjá Hætta Ávvirii . ¶
– 	Adden 	bures ahte ferte hástalit NSR miellahtuid , go oaidná man bures mii stivret sámepolitihka dál , loahpaha Valle . ¶
– 	Adden 	gal olbmuid geat sávvet lasi bargosajiid , muhto ii sáhte muhtun ealáhusas váldit birgejumi eret nuppi ealáhusa ceggemii , oaivvilda Gaup gii ballá dat dáhpáhuvvá jus ruvkedoaimmat bohtet sin guođohaneatnamiidda . ¶
Mun lean 	adden 	julevsámegiela , muhto in leat nagodan hállat . ¶
– 	Adden 	Kárášjoga skuvla . ¶
Mun 	adden 	bargolávdegottit dáhtošedje buoret áiggi ja ruđaid čađahit barggu . ¶
– In jáhke Norgga bealde leat buohkat 	adden 	ahte Riddolávdegotti gávnnahus lea ovdamunnin sidjiide maid , ii ge dušše sápmelaččaide . ¶
– Mun lean ožžon olu dieđuid báikki olbmuin dán birra ja 	adden 	bures go olbmot váidalit , dadjá son , ja joatká muitalit gielda lea guovtti geardde fitnan geahččamin báikki ja mii leat maid reivve sadden Gaskaijarockii , mas mii leat dáhtton diehtit goas čorget leat jurddašan . ¶
– Ii leat hálbi jus bearrašis leat máŋga ollesolbmo ja máná geat háliidit oaggut , ja 	adden 	bures jus váhnemat garvvihit mánáid eret jogain , dadjá Bakkevold , ja čujuha dasa go mánát devdet 16 jagi , de šaddet máksit ollesolbmo hatti . ¶
– Mun 	adden 	ahte soitet guhkes gaskkat leamen , muhto jus ealgabivdit eai oaččo sierralobiid , de lea dilli nu ahte sii šaddet vázzit , čilge Fløgstad . ¶
Norgga stáhtas lea čielga geatnegasvuohta buhtadit gildii , nu mo mun 	adden 	, čilgii Porsáŋggu Lillebo . ¶
Lea hui šállošahtti ja mii álohii dieđusge suhttat , mii šaddá váivi , mii soardašuvvat ja 	adden 	mii dahkat dan . ¶
— Fylkkamánne boastut 	adden 	 ¶
Son cealká ahte Finnmárkku fylkkamánne lea 	adden 	boastut dán áššis . ¶
	Adden 	ahte lea munnje dán gutni addán , lohká Liisa Holmberg . ¶
Gal mon 	adden 	manne soahti ii leat populeara , muhto mun adden maid ahte ii leat doarvái sávvat dušše ráfi , dainna ii boađe gal ráfi . ¶
Gal mon adden manne soahti ii leat populeara , muhto mun 	adden 	maid ahte ii leat doarvái sávvat dušše ráfi , dainna ii boađe gal ráfi . ¶
Ledjen 	adden 	ahte dát leat galbma guovlu , ja navden ahte dáppe lea jo olles dálvi . ¶
Sámediggepresideanta , Egil Olli , ii leat 	adden 	ahte Store Norske Gull AS lea golleruvkke álggaheamen . ¶
Oktage eaŋgalaš baikkii obbabiktasa oaivesehkkii , iige 	adden 	nuolastit dan eret . ¶
Báhpat galge , vaikko vel eai 	adden 	sámegiela , oahpahit sámi oahpaheddjiid , ja sii fas oahpahit mánáid , ii sin iežaset gillii , muhto sidjiide amas gillii . ¶
Buohcciviesus ii lean ovddasvástádus ordnet dulkka pasieanttaide , lei sin iežaset ovddasvástádus ja váttisvuohta jus eai máhttán dahje 	adden 	dárogiela . ¶
	Adden 	jus olbmot čoahkkáigeasu vuođul leat ožžon dakkár áddejumi . ¶
– In 	adden 	ovdal go maŋŋá vuoittu ahte man stuorra gilvvus dás leai sáhka , historjjá nuppi ugralaš diktagilvu , muitala movttegit vuoiti ieš . ¶
– 	Adden 	ahte lesbbaid ja homofiillaid fierpmádat sámiide atná imašin go dáža organisašuvdna oažžu ruđaid mat leat sápmelaččaid váras , ja oainnán osiid maid sii oaivvildit das , go dadjet ahte mis váilu gelbbolašvuohta , dadjá LLH jođiheaddji , Karen Pinholt . ¶
– Ohccit ledje menddo unnán muhto 	adden 	dili go ohcanáigi deaivvai juste geasseluomuid áigái , lohká Ohcejoga sadjásaš gielddahoavda Antti Katekeetta . ¶
Eurohpálaččat oidne unnán beaivvášdielkoaktivitehta 1600-logus , muhto dalle eai vuos 	adden 	ahte lei mearka buollašiidda . ¶
Sunray lea gullevaš Ray Brooksii ja lea nu mo mun 	adden 	dat vuosttaš dolgi maid eai sáhttán gurgadasbuvttadussan geavahit ja vuovdit viidát , muhto dán sáhttá batnit iežas atnui . ¶
– Jus dal leaččan 	adden 	bearráigeahčči riekta , vikkahii Peder . ¶
Jos dii livččiidet 	adden 	maid dát sátni mearkkaša : Váibmoláđisvuođa mun dáhtun , in ge oaffara , de ehpet livčče dubmen sivahemiid . ¶
Lehpet go 	adden 	buot dán ? ¶
Ovdal stuoradulvvi sii borre ja juhke , náitaladde ja náite gitta dan beaivvi rádjái go Noa manai árkka sisa , eai ge sii 	adden 	maidege ovdal go dulvi bođii ja válddii eret sin buohkaid . ¶
Muhto sii hirpmástuvve sakka , dasgo sii eai lean 	adden 	dan mii lei dáhpáhuvvan láibbiiguin ; sin váibmu lei baicca buoššuduvvon . ¶
» Muhto sii eai 	adden 	dán eai ge duostan jearrat sus . ¶
» Muhto sii eai 	adden 	dán ; dat lei čihkkojuvvon sidjiide , vai sii eai áddeše dan , eai ge duostan jearrat sus maid son oaivvildii . ¶
» Dás sii eai 	adden 	maidege . ¶
» Eai sii 	adden 	ahte son lei sárdnumin sidjiide Áhči birra . ¶
» Jesus muitalii sidjiide dán veardádusa , muhto sii eai 	adden 	maid son oaivvildii . ¶
Máhttájeaddjit eai 	adden 	dán vel dalle , muhto go Jesus lei hearvásin dahkkojuvvon , de sii muite ahte dát lei čállojuvvon su birra , ja sutnje lei dáhpáhuvvan aiddo nu . ¶
» Máhttájeaddjit gehčče guhtet guoibmáseaset ; eai sii 	adden 	gean son oaivvildii . ¶
» Ii oktage beavddis 	adden 	maid son oaivvildii dáinna . ¶
Dál sii leat duođaid 	adden 	ahte mun lean boahtán du luhtte , ja sii leat oskon ahte don leat vuolggahan mu . ¶
Dássážii sii eai lean 	adden 	dan maid čála cealká , ahte son galggai bajásčuožžilit jábmiid luhtte . ¶
De Biehtár sárdnugođii : « Dál mun duođaid 	adden 	ahte Ipmil ii geahča olbmo hámi beallái , muhto son dohkkeha juohkehačča guhte ballá sus ja dahká su dáhtu mielde , makkár álbmogii dal gulaš . ¶
Ii son 	adden 	ahte dat maid eŋgel dagai , lei duohtavuohta , muhto gáttii dan oainnáhussan . ¶
Dasgo Jerusalema ássit ja sin oaivámuččat eai árvidan gii son lei eai ge 	adden 	profehtaid sániid mat lohkkojuvvojit juohke sábbáha , muhto sii ollašuhtte daid go dubmejedje su . ¶
Ja mun doaivvun ahte dii áddebehtet ollásit dan maid gal lehpet juo 	adden 	muhtun muddui , ahte mii leat din rápmi ja dii lehpet min rápmi Hearrá Jesusa beaivvi . ¶
Hearrá , oahpat mu muitit mu loahpa , mu beivviid logu , man unnán dat leat , vai mun 	adden 	man nohkavaš mun lean . ¶
Máhtebáikái gos su ii oktage 	adden 	. ¶
“ 	Adden 	Issáha . ¶
Heaika ferte jearrat vel nuppes bolesis ahte leago son 	adden 	riekta , čilge ¶
” Hemmo ii 	adden 	maid skibir oaivvildii ja ¶
Dološ sápmelaš han ii livčče 	adden 	maidege dálá olbmuid háleštallamis . ¶
* Veaháš fuones sátnegeavaheapmi diet ” gieđahallat dego gonagasa ” Alex , eandalit dál go Norgga gonagas aiddo lea čuohpaduvvon , muhto gal mun 	adden 	oaivila . ¶
Mánát áddejedje dábálaš dajaldagaid , muhto earret go moadde sámegiela eatnigiellahálli máná , de eai 	adden 	earát nu ollu ahte bargit oaivvildedje iežaset sáhttit hállat dušše sámegiela daidda . ¶
In 	adden 	dan . ¶
Ovtta láhkai mun in 	adden 	dán . ¶
Dán áigásaš pluralisttalaš servodagas lea dát dehálaš 	adden 	dihtii eará álbmogiid ja kultuvrraid . ¶
Muitalus sámiid birra čilge sápmelaččaid juste dakkárin makkárat mii leat , de vaikko man olu livčče ja ležžet variánttat ja siskkáldas erohusat min geográfalaččat viiddis kultuvrras , de juohke sápmelaš das gávdná juoidá mii berre sutnje muittuhit mo min ovdavánhemat leat 	adden 	ja čilgen sámi diliid ja jurddašeami . ¶
Eai han sii 	adden 	sámegiela . ¶
Mun 	adden 	ollásit dán dáhpáhusa , go mun ieš - rávis olmmožin - lean beassan roggat juoigama vajálduvvan rájuin , vaikko vel ii lean ge diekkár váttis dilálašvuođain . ¶
Belohahkii leat dat maiddá mielde dán girjjis , muhto dat mii lohkkái báhcá lea dattege eanet dovdu leat oahpásmuvvan muhtun olbmuid skuvlaosiiguin , ja gullan áššiid nugo sii leat daid ieža 	adden 	. ¶
» , dego livččii 	adden 	su . ¶
Fikšuvdnapersovdna Márgget vásiha sul lii seamma , ja erenoamážit dan ahte olbmot eai vel riekta 	adden 	mas lei sáhka . ¶
Imaš goit , ii goabbáge 	adden 	ovdal go sámegillii fertejin čilget ahte guossit celke dearvuođaid ! ¶
- bargobihtá lea 	adden 	ja bargan dan maid gohčohalai ¶
- bargobihtá lea 	adden 	, bargan dan maid gohčohalai ¶
Lohkandáidu // 	adden 	teavstta : ¶
- 	adden 	sisdoalu teavsttain ¶
- bargobihtá lea 	adden 	, bargan dan maid gohčohalai ¶
Belohahkii leat dat maiddá mielde dán girjjis , muhto dat mii lohkkái báhcá lea dattege eanet dovdu leat oahpásmuvvan muhtun olbmuid skuvlaosiiguin , ja gullan áššiid nugo sii leat daid ieža 	adden 	. ¶
Dát sáhttá mearkkašit vástideaddjit eai leat 	adden 	jearaldaga , ja menddo ollu leat vástidan ahte ii miige leat jorgaluvvon . ¶
Lávdegoddi oaivvilda ahte sámi gáiddusoahpahussii galgá lassin ásahit sosiáliserendoaibmabijuid ja sierranas oahppováldimiid eará oahppobáikkis - nu movt lávdegoddi lea 	adden 	váhnemiin - ja oahpaheddjiin : Lagasvuohta lea deaŧalaš go lea gáiddusoahpahus . ¶
Čájehuvvui maŋŋá ahte geavahuvvon veahkkeneavvu lei nu boaris ja heittot ahte báddejuvvon jearahallamat gullojedje nu heittogit ahte in 	adden 	buot . ¶
Dárkkis ahte oahppi lea 	adden 	barggu ovdal go álgibeahtti . ¶
Dat manai dan ovdii ja humai dainna ja čilgii ahte ledje mánát geat ledje bargan dan , ja bivddii áddejumi dan ahte mánát eai 	adden 	buorebut ahte dan ii galgga dahkat , ja seammás lohpidii ahte mii galgat oahpahit iežamet mánáid , nu ahte dat ii galgga dáhpáhuvvat fas . ¶
vissásit 	adden 	ahte olmmoš lea psykalaččat buohccámin , ¶
In 	adden 	mii dáhpáhuvai . ¶
de in 	adden 	mo dat oppanassiige sáhtášii veahkehit ¶
Dat lei vearrámus , go it 	adden 	mii dáhpáhuvvá . ¶
Dalle in 	adden 	man duođalaš dat lea . ¶
Mánát ledje várra 	adden 	ášši áibbas nuppi láhkái , go vánhen gii Sagai Muittalægjes čálii ášši birra , muitalii ahte Thomassen lei Juhánii čurvon . ¶
Muhto go gánda ii 	adden 	, de dohppii Thomassen su niskái ja bijai su feaskárii . ¶
Go mánát eai 	adden 	su gažaldagaid , lei Thomassen dearppastan beavdái nu ahte skájai . ¶
Ruoŧa bealde čujuhedje dasa mo gávpealbmát dájuhedje sámiid gávppis go sámit eai 	adden 	rehketdoalu . ¶
Dalle sáhttá čielggaduvvot leago boasttuvuohta dáhpáhuvvan , vai leatgo don boastut 	adden 	njuolggadusaid . ¶
Ággan son buktá ovdan , ahte unnitlogukultuvrras leat diehttalas sárgosat , maid bastá áddet dušše dasa rohtašuvvan dutki dahje 	adden 	gáibidivččii kultuvrra siskkáldas giellaspealu vuđolaš dovdama . ¶
Giela 	adden 	ja geavaheapmi leat ovdamearkan dakkárat , mat sirdásit kultuvrralaš árbevieruid proseassain . ¶
Lukkari árvala , ahte kulturaktivisttaid barggu eai ieža sámitge álggus 	adden 	. ¶
Muhtun mánát eai 	adden 	eai maidige . ¶
Njealljelogiguhtta dáin vahkkuin in 	adden 	olus maid oahpaheaddji hálai . ¶
In leat dan 	adden 	dahkat . ¶
Earát eai 	adden 	mii dat lei , dat lei sámegillii heivehuvvon . ¶
Mun in 	adden 	dárogiela , inge máhttán hállat giela . ¶
Báhpat galge , vaikko vel eai 	adden 	sámegiela , oahpahit sámi oahpaheddjiid , ja sii fas oahpahit mánáid , ii sin iežaset gillii , muhto sidjiide amas gillii . ¶
Muhto ii lean somá go rávesolmmoš lei mielde olles áiggi go in 	adden 	maid earát dadje . ¶
Mun 	adden 	visot . ¶
Lei máilbmi mu birra , mas in 	adden 	maidege . ¶
Ohppit geat eai 	adden 	maid moai logaime , nohkke oalle fargga , ja earát fas guldaledje dárkilit . ¶
Moai ieža gal ean dalle 	adden 	smiehttat galle kubihkkamehtera juohke oahppi dárbbaša dahje allergiijašaddadeaddji ávdnasiid váruhit , muhto sihkkarvuođa moai gal goziheimme . ¶
Mus ii leat dát aviisačálus , muhto mun 	adden 	Bill vástádusas ahte muhtun lea čállán sámegiela oahpahusa birra Kárášjoga nuoraidskuvllas . ¶
Mun vuojihin olbmuid nu dávjá go sáhtten , muhto eai buohkat 	adden 	ahte mun sáhtten leat doaimmas maiddái maŋŋelgaskabeaivve skuvlabargguiguin . ¶
Duohtavuohta lei ahte eanaš mánát guovtti álgoluohkás ja veahkkeluohkás hui unnán áddejedje dahje eai báljo 	adden 	maidege maid dát máddin boahtán heahteoahpaheaddjit dadje . ¶
Okta dáin olbmuin muitalii munnje oktii ahte muhtun nuorra olbmot geat leat máddin boahtán , eai leat 	adden 	ahte sii galget leat ovdagovvan . ¶
Máŋggas eai leat 	adden 	ahte mis dážain leat geatnegasvuođat dán oktavuođas , sii golget gilis basiid ja sin láhttagat eai leat ovdagovvan . ¶
Mun in 	adden 	gal in maidige maid son dajai go son dieđusge hálai sámegillii . ¶
Muhtun mánát eai 	adden 	eai maidige . ¶
Njealljelogiguhtta dáin vahkkuin in 	adden 	olus maid oahpaheaddji hálai . ¶
In leat dan 	adden 	dahkat . ¶
Mun 	adden 	visot . ¶
Mun in 	adden 	dárogiela , inge máhttán hállat giela . ¶
Mun lean 	adden 	ahte sivva go mun in ožžon skuvlafálaldaga , lei go nu funet máhtten dárogiela . ¶
Skuvlalanjas ii lean go dárogiella ja mun in 	adden 	sáni ge . ¶
Čohkkáimet ja guldaleimmet vaikko eat 	adden 	. ¶
Dáppe sii galget oahppat dárogiela , ja sii leat vissa 	adden 	ahte lea hirbmat deaŧalaš máhttit dárogiela dán máilmmis . ¶
Erenoamážit lei siseatnama ja davvi giliid ohppiide álggus oalle stuorra váttisvuohtan , go sii eai 	adden 	oahpaheaddji . ¶
Su eadni , gii lei girjeloguheapmi , hálai sihke sáme- ja suomagiela , muhto dárogiela son ii 	adden 	ii sánige . ¶
veahkkegaskaoapmin čilget dan maid mánát eai 	adden 	 ¶
Nugo máŋga eará sámegielahálli máná , de son unnán áddii dahje ii maidige 	adden 	das mii klássalanjas dáhpáhuvai . ¶
Maŋŋá lean gávnnahan ahte dát ferte leat dan sivas go mun in 	adden 	maidige das mii doppe dáhpáhuvai . ¶
Go mun smiehtadan dán áiggi , de imaštalan veaháš ahte sámi álbmot munno vuostáiválde ustitlaččat ja oskkáldasat , muhto go dán lean maŋŋá guorahallan , de lean 	adden 	ahte sii dovde oktavuođa munnuin , go moai leimme sin láganat , smávvadálolaččat seamma eavttuiguin ja seamma beroštumiiguin go sisge ledje . ¶
Go lávdegoddi lea máinnašan Finnmárkku sámi guovlluid sámi váldoguovlun , de leat muhtimat dán 	adden 	leat seamma go sámi reserváhta , sirrejuvvon muđui servodagas . ¶
Oassi vuolit luohkáid ohppiin eai 	adden 	olus maidige oahpahusas . ¶
Sii eai 	adden 	dárogiela sáni . ¶
Muhto mo lei doaibmat oahpaheaddjin dáidda mánáide geat eai 	adden 	min oahpahusgiela ? ¶
Soittii vel nuge ahte minguinge njálbmo , go mii eat 	adden 	giela . ¶
Eat mii 	adden 	dange goas oahppit cielahedje nuppiid . ¶
