Danin báhce sápmelaččat dávjá 	čohkkát 	iežaset guollehivvodagain
Go hotealla restauráŋŋas 	čohkkáda 	, de oaidná nuorttas lulás , goit gili olbmuide beakkán Bealjážiid ja Muvravári .
Stuora oasi mátkkis 	čohkkáimet 	busses , muhtun beivviid lagabui 12 diimmu .
Mis lei 90-jahkásaš áddjá ( nu gohčoduvvon áigevihtan ) , Arnold Hammer , mielde gii lei vásihan soađi ja 	čohkkán 	konsentrašunleairras .
Lund Guttormsen 	čohkkái 	Guovdageainnu suohkana ovdagottis daid áiggiid go garraseamos miellačájeheamit Álttá-Guovdageainnu eanu dulvadeami vuostá ledje .
Go mánát leat 	čohkkán 	ovtta gaskka siste , de lea dehálaš bottu váldit , ja vuosttaš luohkahasat dopmet olggos .
– Dat gal orru dego suohkan badjelgeahččá min , go mii galgat dušše 	čohkkát 	ruovttus ja geahččat seaidnái , oaivvildeaba Marit Mienna Bongo ( 95 ) ja Ellen Hætta Sara ( 86 ) .
Soai leaba guovttis dain oallugiin geat šaddaba 	čohkkát 	ruovttus , go eaba goastta boarrásiid doaibmaguovddážii , go suohkanis ii šat doaimma busse mii lávii sudno viežžat .
Gal dat lea nu heittot , dás mun 	čohkkán 	ja geahčan seaidnái , muitala Mienna Bongo , muhto ii gille earáid vuorjat .
– Dás galggan 	čohkkát 	akto dan botta go mu olbmát , geain lea sáhttu , besset doppe ovttastallat golmma geardde vahkkui , dadjá Mienna Bongo , gii áinnas áiggušii fitnat eará boarrásiiguin deaivvadit .
– Gal áigi gártá guhkkin dás 	čohkkát 	, lohká son , ja imašta manne suohkan ii leat bivdán eará biilla sin viežžat , go busse lea billahuvvan .
– Soaitá ahte boađán fas ruovttuluotta , ja nu ovttaládje riekkis dego fas ollašuvvá , lohká Maylis go 	čohkkáda 	duottarstobu kafeas ja geahčada láseráigge olggos .
Das galget bealit 	čohkkát 	gierdun ja hállat vuoruid mielde dassái riidu čielga .
Dávjá gáhččen olggobeallái ságaid , Erenoamážit muitán NBR čoahkkimin go dávjá čužžon okto , inge ádden man birra hálle dárogielagat , muitala eallilan politihkar , gii lea moanat jagiid maiddái 	čohkkán 	Kárášjoga gielddastivrrain .
Go eai hálit mánáid 	čohkkát 	guhkes mátkkiid biillas juohke beaivvi skuvlla ja ruovttu gaskka , dadjá Hætta .
– Stáda bágge eatni vuolgit bárgui , dan botta go áhčči galgá guoros burssain 	čohkkát 	ruovttus .
Guovdageainnu dievdduid searvvi Aslak Mikal Mienna lea 	čohkkán 	dievdolávdegottis , mii lea ovddidan dán evttohusa .
- Die šattai vissa ráŋggáštus čievččasteapmi maŋŋel die dien , čilge son midjiide geat 	čohkkát 	das .
Sis lei hui buorre oktavuođa guldaleddjiiguin , ja doaivut sis čuvges boahtteáiggi musihkka dáfus , lohká Øyvind Stangnes , gii maid 	čohkkái 	juryas .
– Mii háliideimmet addit juoidá Máze vuorrasiid doaibmaguovddážii , vai sii besset eará bargat go dušše gaskabeivviid boradit ja 	čohkkát 	go leat doaibmaguovddážis , lohká Máze gilisearvvi jođiheaddji , Klemet JO .
Pedersen ii dieđe guhká gártá 	čohkkát 	kommišuvnnas , muhto doaivu jo boahttejahkái čielggadan jo juoiddá .
, mas dušše 	čohkkášin 	ruovttus ja málen go oažžun inspirašuvnna , muhto in jáhke dan vejolažžan dáppe Sámis .
Son lea maiddái 	čohkkán 	iešguđet ráđiin , nu go Vuođđoskuvlaráđis ja Norgga kulturráđis .
Stivra lea dan diehtán áigá juo , ja stivrras 	čohkká 	maid Ellinor Marita Jåma , muitala Sara ja lasiha :
Bárra 	čohkkái 	sállas , suohtastalai ja čuovui dárkilit mielde movt Mikkel Gaupain manná gilvvus , Mikkel leage Áillu vilbeali .
Láhppon olmmái 	čohkkái 	biillas , son ii lean bávččagan motge , muhto sus oidnui son lea guhká orron biillas .
Hervvošteŋŋegis oaidnit guokte olbmá geat 	čohkkába 	maŋágeahčen gádjunfatnasa .
Kantuvrras galgá 	čohkkát 	okta bargi dehe journalista .
De go ledjen 	čohkkádeamen 	viessodáhki alde de rahpasii olgouksa ja olggos bohte guokte máná .
Son gii ruovttus 	čohkká 	soaitá oažžut juogalágan vuordemeahttun bálkká .
Dán gulai muhtin olmmái ja dajai : – Mun áiggun mannat ja 	čohkkát 	otná ija dán ladni siste .
Bárdni vulggii sisa ja oinnii bahákasa 	čohkkáme 	beavdeguoras .
Son manai bohkáin nuppe beallái joga ja 	čohkkái 	das iđidii .
Go veahá áigi lea gollan , de son fuobmá ahte Sisselløna 	čohkká 	johkagáttis bohkáin .
Sisselløna lei johkagáttis miellis 	čohkkáme 	, juolggit heaŋgáje vulos ja ieš hárdá jiehtanasa .
Gutnabáđoš lei 	čohkkáme 	ommangáttis .
– Dat ii daga maidege , dat gorilla mii lei dáppe lávii dušše 	čohkkát 	čiegas ja oađđit , vástidii elliidbearráigeahčči .
Doppe 	čohkkái 	stuora ledjon .
– Goahkka , sáhtát go buktit munnje dan seamma biepmu máid diet olmmái borrá gii láse guoras 	čohkká 	?
Maŋŋá muhtin diktáhtageahččaleami jearai oahpaheaddji Jovnnas : – Dus leat seamma feaillat go Elles , gii du bálddas 	čohkká 	, mo dat ges lea ?
Peder fertii 	čohkkát 	maŋŋel diimmu , oahpaheaddji čohkkái iežas beavdeguoras .
Peder fertii čohkkát maŋŋel diimmu , oahpaheaddji 	čohkkái 	iežas beavdeguoras .
Jeaggegeašáddjá 	čohkkái 	beaŋkkas ja lei duođas vuollánan go Geliidna lei guođđán su ja vurdnon ahte son ii boađe ruoktot ovdal go buot sáhpánat leat jávkan Jeaggegeažis .
Boares diibmu dieđihii duos dás ain olu diibmu lea , muhto áddjá 	čohkkái 	das jávohaga .
Guokte Budejju nissona leigga ráhkadan váimmu suiniiguin ja rásiiguin man siste soai 	čohkkáiba 	ja návddašeigga iđitborramuša .
– Váimmus lea buorre fápmu , ja go dáppe 	čohkká 	, de šaddá buot buorre , lohkaba movttes festivála oasseválddi guovttos .
Jus mun dušše 	čohkkán 	ja giesan duhpáha , de bargoalbmát čuvvot mu ovdamearkka .
Margaret Lokawua , Uganda , mielas lei oalle buolaš 	čohkkát 	muohtaskohtera reagas .
Dál sáhttá mannat olles beaivi go in oba 	čohkká 	ge dihtora ovddas , lohká Márja Sofe .
Galggašii doaivut ahte eallilan juoigái lei álki jávregáttis 	čohkkát 	dahje čuoiggadettiin rohttehit luođi , muhto nu ii lean .
Sátnejođiheaddji Stang lei hui movttet go 	čohkkái 	seamma beavddis go Boine :
Iŋgá Márjá Sarre 	čohkká 	stuolus , mieiggasta ovddos guvlui , moddjesta , rábmosta , hállá giehta ráivumiin ja mieiggasta ain maŋos go lea duđavaš .
Lennart Mikkelsen oaivvildii ahte suohkanstivra ja hálddahus ánssášii heahpatčiega , ráŋggáštusleavssuid , 	čohkkáma 	ja heajumus árvosáni .
Ja go 	čohkkáimet 	jaskat de son váidalii ahte eat maidege bargan .
Doppe 	čohkká 	Helga Pedersen fámolaš rollas parlamentáralaš jođiheaddjin riika stuorámus bellodagas .
Lea fal álki 	čohkkát 	nuppe bealde beavddi ja váidalit .
Son guhte 	čohkká 	olgešbealde lea professor Peter Bjerregaard .
Ruonáeatnama sosiálaministtar Maliina Abelsen lei okta dain gii 	čohkkái 	panelas .
Geahčan Erla , go son 	čohkká 	sofabeaŋkkas .
Lean fuomášan man buorre lea ahte lean mun gii 	čohkkán 	dán sajis , lohká son .
Leahkit nuorra ja nisson ja 	čohkkát 	ráđđensajis Sámedikkis leat su mielas sihke buori ja heajus bealit .
Mu viellja 	čohkkái 	šiljus bađ`al ( bađa alde ) ja geahčai njálmmi rabas go rabárbermálli golggai tráhpaid mielde vulos .
Mii leimmet bidjan beaskkaid ja goikkehiid vai bivvat 	čohkkát 	reagas lihkatkeahttá , danin leimmet hirbmat doaŋgát go galggaimet rehkii goargŋut .
Suohkanbáhppa ja organista digaštallaba gaskaneaskka , muhto Jovnna ii gula mas hállet go 	čohkká 	nu guhkkin eret .
Guossit lea liekkadeame lávus ja vuorddašeame dassážii go luohti gullogoahtá , Inger Marie Oline Gaino Nilut , gávttiin ja Ann-Karoline Eira , gii 	čohkká 	Inger Marie Nilut duohken , rohttesteigga luđiid .
Gutnel Biret Sara Buljo 	čohkkáme 	iežas nieiddaiguin ja bargame skuvlabargguid , sus leat oktiibuot guhtta máná Tanzanias geaidda máksá skuvlavázzima .
Kantuvrras gos 	čohkká 	leat áššebáhpirat ja girjjit mat ráđđejit .
Go láđus 	čohkká 	juovlastállu suohkadiin .
Muhto go gorgŋii unna stealli ala Levssenjálmmi vulobeallai , de son 	čohkkánii 	ja gulul deavdigođii biippu .
dagas lea 	čohkkán 	Stuorradikkis
Dalle go barggai Stuorradiggesaji ovddas 1909:s , čálii muhtin Finnmárkku áviisa : “ Dat ártegis olmmái guhte maŋemus áigodagas lea 	čohkkán 	Stuorradikkis , galgá dás maŋás čohkkát ruovttus .
Dalle go barggai Stuorradiggesaji ovddas 1909:s , čálii muhtin Finnmárkku áviisa : “ Dat ártegis olmmái guhte maŋemus áigodagas lea čohkkán Stuorradikkis , galgá dás maŋás 	čohkkát 	ruovttus .
Álggos hervvoštalai Ibsena gii 	čohkkái 	Romas : “ Háliidan oaidnit dan olbmo boarkasepmosa Eurohpás ovdal go jámán !
– Ferten gođđit amas buot vajálduvvat dasa 	čohkkát 	, himiha ieš áhkku , geas leat leamaš áiggiid čađa birra jagiid duodjediŋgojumit .
Dego mánná ođđa duhkorasain son 	čohkká 	ja tevdnesta vel dan ođđaáigásaš fiinna dihtoršerbmii .
Orui baicca leamen nu ahte muhtun mánát livčče ain guhkit háliidan 	čohkkát 	ja guldalit go Inghilda Tapio máinnasta .
Olgun lea beaivvádat ja Kárášjogas bajásšaddan Bjørn Tretnes 	čohkká 	olgun beavddi guoras .
Sivvan dasa lea sihke ahte biebmovierut leat rievdan ja olbmuin lea bargu mas 	čohkká 	jaska iige leat muđui nu ollu lihkadeapmi .
Ollu Oslo olbmot ja olgoriikkalaččat bohtetge min lusa jearahallat dieđuid sámiid birra ja dat bargu gal dál geahppu go mis lea sámi šillju go de han sii besset maid oaidnit dan ja fitnat darfegoađis ja maid 	čohkkát 	johkafatnasis .
Dá oappášguovttos Inga Ellen Oskal ja Berit Karen Bongo Utsi ( lagamusas 	čohkká 	) humadeame gávppašeddjiin .
Go boađán Thon Hotellii de oainnán aitto álggahuvvon searvvi 	čohkkáme 	čoahkkinlanjas , beavddi birra ja digaštallamin .
Lávddi ovddabeallái ledje lebbojuvvon goike duoljit maid alde olbmot besse 	čohkkát 	.
Ovtta jagi fertii 	čohkkát 	rullastuolus maŋŋá lihkuhisvuođa .
– Jus livččen ruovttus 	čohkkán 	de vissá livččen juo jápmán .
Ole Henrik Hætta dadjá ge NRK Sámi Radios ahte lea buorre go lea siviilaáittardeaddjis ožžon doarjaga vaikke sus ii leat šat beare guhká 	čohkkát 	giddagasas .
Dál ii leat vel čielggas makkár váldi bargojoavku oačču , ja geat dán bargojoavkkus galget 	čohkkát 	.
Das berrešii goit maiddái olbmot 	čohkkát 	geat leat vásihan lahka giddagasa vásáhusaid , ja jáhkkit maiddái gávdnot sápmelačča geas leat vásáhusat mot lea čohkkát Norgga giddagasas .
Das berrešii goit maiddái olbmot čohkkát geat leat vásihan lahka giddagasa vásáhusaid , ja jáhkkit maiddái gávdnot sápmelačča geas leat vásáhusat mot lea 	čohkkát 	Norgga giddagasas .
Dál dat leat buot berošteddjiid ja áddejeaddjit 	čohkkán 	ja suoskan Ráđđehusa heahteveahkkedoaibmabijuid .
Mii jáhkkit ahte dan ođđa Sámedikkis lea lossa geaidnu vázzit mearrasámiid ovddas , beroškeahttá goabbá Egil Ollis dahje Aili Keskitalos 	čohkká 	fámuin Sámedikkis .
Vuohttit maid juo ahte dá eai leat dušše sánit , danin go várrepresideanta Laila Susanne Vars lea juo garrasit cealkán nu go sámi fáŋggaid dili birra ja man boastut lea ahte fáŋggaid lagamusat fertejit dárustit go hupmet telefuvnnas singuin geat leat 	čohkkáme 	.
Son lea 	čohkkán 	NSR áirrasin ovddit áigodagas Sámedikkis .
Mot beassat eret bárttis , masa boazodoallu dađi bahábut lea gártan heajos márkana geažil , lea váttis dadjat mii dasa lea čoavddus , muhto dan ektui aŋkke ii leat ráđđi dušše 	čohkkát 	ja leat áibbas passiiva .
Norgga dearvvašvuohta ii sáhte šat dušše 	čohkkát 	ja vuordit ahte dát váttisvuohta jávká iešalddis Norggas , go ii mihkke oro dan čájeheamen .
Lávdegotti váldi ja geat doppe galget 	čohkkát 	, lea mearriduvvon soabademiin gaskal Sámedikki ja fylkkamánni .
Láiki 	čohkká 	seaŋggas ja sávvá son livččii veallámin .
Mu mielas lea hui njálgga vuola váldit go 	čohkkán 	olgun .
Kenneth Strømstad 	čohkká 	ja illuda beaskiduvvot .
Go 	čohkkán 	verándá alde ja jugan káfe .
– Lea somá 	čohkkát 	terassas ja návddašit vuola .
In leat gal nu gártan dáppe davvin 	čohkkát 	terassas , muhto mannán giđa go ledjen teáhtertuvrras de lei somá háleštit olbmuiguin ja čohkkát terassas joavdelasbottuin .
In leat gal nu gártan dáppe davvin čohkkát terassas , muhto mannán giđa go ledjen teáhtertuvrras de lei somá háleštit olbmuiguin ja 	čohkkát 	terassas joavdelasbottuin .
Beaivegoardagis 	čohkkát 	.
Meahcci , liikun murjet , 	čohkkát 	johkagáttis ja dolastaddat
Mun gal liikun olgun 	čohkkát 	.
Son čuoččasta ovddabeallái gova gos nisu ja almmái 	čohkkába 	njunnálagaid muhtin rokkis vádjadasas .
Buot čeavlámus lea su gánddaš , gii dál ii olle šat bahkke skohterstivrran duohkái muhto duoddu reagas 	čohkkát 	.
Ellen Marie Turi Gaup 	čohkká 	
Eai galgga stuoluin olbmot 	čohkkát 	, ii ge áiggo muitalit dađi eambbo , muhto lohka ahte Máze skuvllas dat galgá dollot .
OINNII : Johan Oskar Eriksen lei stobus 	čohkkádeame 	go oinnii biilla girddiheame badjel geainnu Vuottašjoga bokte .
Son lei stobus 	čohkkádeamen 	ja geahččamin geainnu guvlui , go oinnii biilla jávkkeheamen badjel geainnu .
Son geigii álggos bissu časkkáhallan olbmá guvlui , muhto fáhkka geigii bissu su guvlui gii lei stuolus 	čohkkáme 	, ja bážii su čalbmái .
Jua , 	čohkkán 	ieš Sámediggeráđis .
Go dilli ii leat leamaš nu buorre go galggašii leat , de leat mii Bargiidbellodagas válljen geavahit daid girjjiid mat heivejit skuvllaide dál , vai skuvlamánát eai dárbbaš 	čohkkát 	girjjiid haga .
Mii , Bargiidbellodagas eat sáhte 	čohkkát 	ja geahččat ahte ealáhusat njulgestaga goariduvvojit , dietnasa ja birgejumi ektui .
Givssideaddjit leat mu bártni čielggi doadján ja son 	čohkká 	dál sevdnjes lanjas iige duostta vuolgit olggos ja deaivvat olbmuid , beaškalii Høgden čoahkkimis .
Doavttir lei lohkan ahte son ii ádde man láhkai gánda ain bissu čuožžut ii ge 	čohkká 	juvlastuolus .
– Ii ge mediain leat goasse boahtán ovdan ahte NSR 	čohkká 	eaiggátvuođa bealde daid eanaš sámi ásahusain ja leat beassán hukset stuora opmodaga stáhta ruđaiguin máid Sámediggi lea juolludan NSR jođiheami vuolde , ja stáhta .
– Go 	čohkká 	politiijakantuvrras ja dutkojuvvo , de orru dego vearredáhkki , vaikko maŋŋel čájehuvvo ahte in leat verrošan ja ášši heaittihuvvo , muitalii son .
Guokte Budejju nisu leigga ráhkadan váimmu suinniiguin ja rásiiguin man siste soai 	čohkkáiba 	ja návddašeigga iđitborramuša .
– Váimmus lea buorre fápmu , ja go dáppe 	čohkká 	, de šaddá buot buorre , lohkaba movttegis festivála oasseválddi guovttos .
Soai leigga ráhkadan váimmu suinniin ja rásiin man siskkobeal 	čohkkáiba 	.
Mun lea 	čohkkán 	Sámedikki nuoraidlávdegottis 2002 rájes ja lean maŋemus jagiid jođihan lávdegotti .
Lea maid unohas ahte Stáhta geaidnodoaimmahat 	čohkká 	guktui beal beavddi ja gieđahallá ášši mii olles áigge gáibida stuorra rabasvuođa almmolašvuhtii , lohká Lysklætt .
Munnje lei earenoamáš dehálaš gullat eará guovllu boazodolliid dilálašvuođa , dan dihte go 	čohkkán 	Barentsguovllu ráđis gos lean áidna álgoálbmot ovddasteaddji politihkalaš dásis , lohká Juuso .
– Moai lávejetne 	čohkkát 	olgun go ráhkadetne prográmma .
– Lea veháš ahkit dušše guovttá 	čohkkát 	, lohká Elen Kristina .
– Váldočuokkis dain njuolggadusain lea ahte Sámediggi áigu caggat ahte ruvkefitnodagat bohtet Sámi guovlluide ja dušše vižžet sámi riggodagaid , ja mii báhcit bázahusaiguin dasa 	čohkkát 	.
Dáiddárat gal galget 	čohkkát 	ja vuordit dassái go Norgga beale Sámediggái heive sáddet daid lohpiduvvon ruđaid , lohká Sámi Dáiddárráđi váldočálli Brita Kåven .
– Veadjemeahttun váldit ovtta gii dál 	čohkká 	giddagasas mielde
Njulgestaga go dalle ii beasa son gii 	čohkká 	giddagasas leat mielde buot čoahkkimiin mat bargojoavkkus galget leat , muitala Roald .
Son ballá hirpmasit 	čohkkát 	giddagasas .
Jury ii áigon dievddu dubmet 	čohkkát 	giddagasas , muhto dan eai dohkkehan fágaduopmárat .
– Eat mii Ovddádusbellodagas sáhte čuožžut Sámedikki olggobealde ja gáibidit ahte heaittihit Sámedikke , muhto mii sáhttit 	čohkkát 	Sámedikkis ja čađahišgoahtit Ovddádusbellodaga politihka , muitala Svein Ole Sandvik .
Aili Keskitalo 	čohkkái 	jienastanlanjas ja válddii vuostá guovdageaidnulaččaid jienaid stuoradiggeválgii moju njálmmiin .
– Vuovdit min árbesilbba lea dego gožžat buvssaide , álggos liekkista ja de 	čohkkát 	dás galbma buvssaiguin , čilge Guovdageainnu sátnejođiheaddji buoremielalaččat .
Doppe searvvi lahttut besset maiddái návddašit festiválaeallimis ovttas , ii ge beare 	čohkkát 	čoahkkimis .
Eriksen 	čohkká 	Bajit Anárjoga álbmotmeahci viiddideami guorahallanlávdegottis , Kárášjoga Ealgabivdiid searvvi ovddas .
Sii geat leat molsašuvvan leat 	čohkkán 	golbma jagi stivrras .
– Golbma jagi lea guhkes áigi ovtta stivrras 	čohkkát 	, lohká Sjåstad .
Ále 	čohkká 	earáid searvvis vuordinlanjas .
Son lea 	čohkkán 	máŋga jagi giddagasas vealáheami mánáid vuostá ja áitagiid dihtii .
– Muhtomin go vižžen iežan bártni sámi ovdaskuvllas // mánáidgárddis , de oidnen go 	čohkkái 	stuora stoahkanealli nalde mii sulastahtii miesi .
Hætta geavahii ollu áiggi čilget Anárjoga álbmotmeahci viiddidanplánaid birra , ja dan dovdá son bures go ieš 	čohkká 	bargolávdegottis .
Ruhtaváili sámegiel ohppui dagaha ahte sámi fáŋga gii 	čohkká 	Romssa giddagasas ii leat ožžon oahpu sámegillii .
Go nu eaba dohkkehan duot guovttos ( nuoramus ja nieida gii lea orron ruovttus ) , de leat mii dál 	čohkkáme 	dás ja danne ferte ge nu ahte buohkain lea seamma riekti oažžut siiddaossosa , go juo siidaoasus lea konsešuvdna mas čuvvot rievttit mielde ja gáibádusat eiseválddit suktii , iige leat lohpi vuovdit dan rabas márkanis .
Luodda dohko lei čuvgejuvvon spáidariiguin ja olbmot ledje sihke váldán juoidá man alde 	čohkká 	, borramuša , juoidá juhkat ja maiddái beatnaga .
Láilá Susanne Vars deattuha ahte Isak Mathis O. Hætta 	čohkká 	ieš lávdegottis mii galgá árvvoštallat Anárjoga álbmotmeahci viiddideami ja makkár meahcásteapmi doppe galgá ain lobálaš , nu ahte dien áššis lea ge sus ovddasvástádus buot dálu olbmuid ovddastit ja min beali čuollat .
Olbmot sáhttet 	čohkkát 	ruovttus ja searvat spealuide .
Ole Henrik Hætta 	čohkká 	fáŋgan Romssa giddagasa giddejuvvon ossodagas .
Gárrenmirkovuovdi jurddaša guhká , ovdal go mearreda roggat ávdnasiid justa das gos 	čohkká 	.
Oahpaheaddji Leif-Petter Eriksen dat lea , gii Ráissa studios 	čohkká 	.
Guossoheaddji lea Sámediggepresideanta Egil Olli gii 	čohkká 	sudno gaskkas .
Sámeministtar Bjarne Håkon Hansen ja Kárášjoga sátnejođiheaddji , Kjell Harald Sæther , 	čohkkába 	gurot ravddas .
Stuolus lea sistti dokko gos 	čohkká 	, sihke vuođus ja sealggis , ja stuolu duogábealde lea sealgi hervejuvvon ránes ulluin .
Son 	čohkká 	unna lanjažis , ođđa Diehtosiiddas Guovdageainnus .
Tore lea vuolgán eret giđđabargguiguin go bealljedoavttir ávžžuhii su eará dahkat amas 	čohkkát 	beare guhká tráktoršuras .
Somby báhcá okto sofái 	čohkkát 	dan gopmánan beavddi guoras .
Somby lohká politiijai son jáhkká ahte sus lea erttetdákti doddjon , go ii nagot 	čohkkát 	ge , go lea nu lossat vuoigŋat .
Maŋŋá go son lea 	čohkkán 	duomu , de čujuhuvvo son ruovttuluotta Senegalii gos son lea eret , ja ii dáidde goassege máhccat Norgii fas .
Dakkár dovdduin mun 	čohkkán 	dál .
Sámefáŋga guhte 	čohkká 	Romssa giddagasas váillaha sámegiddagasa .
Ja ii leat nu láittas , sáhttá 	čohkkát 	ja skelbmošit oahpaheddjiin ja eará ohppiiguin ja goitge birget .
Hætta lea maiddái ohcan giddagasa rabas oassái beassat 	čohkkát 	, muhto ii leat beassan .
Rabas oassái beassá ohcat go lea lagabui okta jahki velá 	čohkkát 	.
Ávvira oaivečállosis bearjadaga , ávžžuhuvvui ahte bargojoavkkus mii ásahuvvo , berrešii leat mielde muhtin sápmelaš geas leat vásáhusat mo lea 	čohkkát 	Norgga giddagasas .
Manná hui ollu áigi 	čohkkát 	dihtora ovddas .
– Mun ávžžuhan nuoraid váldit ovddasvástádusa ođasmahtit boahttevaš buolvvaid jurddašanvuogi , dadjá Ánte , gii gal ii jáhke leat vejolaš rievdadahttit boarrásiid olbmuid oainnuid , go dat dáidá šaddat seamma joavdelas go oahpahit boares beatnaga 	čohkkát 	.
BÁKČASAT : Ole Henrik Hætta 	čohkká 	Romssa giddagasas .
– Dattetge ii leat nu ahte mun okto 	čohkkán 	das ja ovddastan boazodoalu .
Terje Holmen 	čohkká 	akto iežas kantuvrras Guovdageainnus ja son lea hirbmat diliheapme dan bodda go Ávvir lea das .
– Mus lea ollu oahppu ja mun lean Fylkkadikkis maiddái 	čohkkán 	.
– Leat dat seamma politihkkárat geat leat juo hui guhká 	čohkkán 	gielddastivrras , ja sii dárbbašit eanet jurdagiid nuorain .
Ávvir ii ožžon ságaide Ellinor Marita Jåma , ( Åarjel-Saemiej Gielh ) , sus lea ovddasvástádus boazodoalloáššiide ja son maid 	čohkká 	Sámedikki válgalávdegottis .
Gurutbellodat ii sáhte 	čohkkát 	ráđđehusas gos okta bellodat áiggošii heaittihit buot mii lea huksejuvvon dán maŋemuš 30-40 jagis sámi gažaldagaid dáfus .
Birrasiid 30-jahkásaš dievdu go skábmamánu diibmá vujii jámas sihkkelvuoddji Jielleváris , lea dál dubmejuvvon 	čohkkát 	1.5 jagi roavva gárrenoaivvisvuodjima ovddas mii dagahii nuppi olbmo jápmima .
Jiehkki ivdnát gávttehassii , Leammuid Biret Rávdnái gii 	čohkkái 	jaskadit ja vávššui guovllu muhtin lássás , dušše čalbmegollážat lihkadedje , darvánii mu áicui go čohkkedin stullui Leavnnja Kultursáles oktan sullii vihttalogi earáiguin .
Dán giddagasas 	čohkká 	sápmelaš Ole Henrik Hætta guhte doarru sámi fáŋggaid vuoigatvuođaid ovddas .
Juhán Káre 	čohkká 	beavddi geahčen oktan eará vuorrasut nissonolbmuiguin .
– Muhto šaddá áibbas boastut ahte Sámediggi galgá doppe 	čohkkát 	, go ovddastit dušše bealle proseanta álbmogis Nordlánddas ja guokte proseanta Romssas .
Soaittán beare kritihkalaš , muhto modji ii boađe moddjás čájáhusas ja heahpanan 	čohkkát 	das ja geahčan .
Dasa lassin ráŋggáštit sin garrasit ; Floridas , Wyomigas ja Arizonas addet sáhkuid gitta 100 000 dollára rádjai , ja dasa lassin dahje sierra šaddet 	čohkkát 	jagi giddagasas .
Gávdnojit maiddái organisašuvnnat mat dakkár lágan vearredaguid dahket , ja sii sáhttet šaddat máksit bealle miljovnna dollára sáhkkun ja dasa lassin 	čohkkát 	guokte jagi giddagasas .
Olbmot besset 	čohkkát 	dan biillas ja vásihit mii dáhpáhuvvá go biila joriha birrat birra , muitala son .
Dál lei dan muttos liehmu ahte olbmot bivve olgun 	čohkkát 	beaivegoardagis ja návddašit lákcajieŋa .
Mu njuikejeaddji muitalii ahte moai galggaime vuosttažin njuiket ja danne 	čohkkáime 	lahka dan uvssa .
– Mii , Luossareiveeaiggátsearvvis , eat hálit 	čohkkát 	Deanu čázádaga lávdegottis jus eat oačču eanetlogu .
“ Niillasa buoriduvvon veršuvnnain 	čohkkán 	lávus .
Mun 	čohkkán 	filbmalanja stuolus ja mus lea hui ártegis dovdu .
Dát bisttii dassá go muhtin logai ahte 	čohkkái 	čáhppes beana beavdde vuolde .
Beannot diimmu 	čohkkái 	son ja čálii .
Muhtumat liikojit buoremusat 	čohkkát 	go guldalit konseartta .
Ja maŋŋá konseartta son 	čohkkái 	lávddi duohken ja čálii vuollái daidda geat háliidedje .
Beakkán artista 	čohkkái 	olles beannot diimmu , stuorra illun su fánssaide .
Ikte lei son Davvi-Ráissa suohkanstivrra čoahkkimis , go son 	čohkká 	suohkana ovdalávdegottis .
– Go 	čohkká 	báhkka biillas , ja go čatnet gitta sihke sealggi , čeabeha ja niskki , de gal ii ábut klaustrofobiija oažžut , dadjá
Wenche Thomassen illuda ja son 	čohkkái 	1. balkoŋŋas .
Wenche Thomassen , gii olles konseartta áigge lea 	čohkkán 	ja doallan iežas smávva veskkoža askkis .
Dáppe lea vejolaš 	čohkkát 	siste , káfe jugadit ja čuovvut gilvvuid .
– Oainnát go , mun lean albma heaksá ja lean ráhkkanan albma duođas Hállemas ávvudemiide ja otne lean mun 	čohkkán 	ollu diimmuid speadjala ovddabealde ovdal go ledjen duhtavaš , dajai son .
Ávvir čálii ikte sámi fáŋgga Ole Henrik Hætta birra , gii 	čohkká 	Romssa giddagasas .
Boares govva Ávvir 169. nummar : Nieiddaš gii 	čohkká 	ovddemusas lea Berit Turi Mortensen , Duogábealde lea internáhttabargi Gunhild Olsen son lei husmora Guovdageainnu internáhtas .
Moadde centimehtera guhkki lei dat go 	čohkkái 	, ja go vuojadii čázis de vatne maŋŋejuolggit nu ahte lei čuvdeguhkku njunis juolgesurbmii .
Dál iige leat jierpmálaš dušše 	čohkkát 	ruovttus ja vuordit telefuvnna .
Iige leat jierpmálaš dušše 	čohkkát 	ruovttus ja vuordit telefovnna .
Magnussen lohká iežas leat ateistan , muhto nettkirken.no sálmmaid son liikká 	čohkkái 	ja guldalii .
Dá 	čohkká 	váiban ja gallás njoammil beahcemáddagis ja basada , ovtta nuppi juolggi .
Go beaivvit mannet PC bálddas 	čohkkát 	ja čállit sániid , dalle dárbbašan muittuhuvvot ahte duohta eallin lea dat mii lea olggobealde kantuvrra seinniid .
Duiskkalaš Martin Niemöller , guhte lei dovddastusgirku njunuš , šattai Hitlera fáŋgan ja 	čohkkái 	fáŋgaleairras
Haapalainen 	čohkká 	Hotelli Ivalo , Tankakulta Oy ja nuoraidguovddáš Vasatokka stivrrain sihke lea doaibmán Hotelli Ivalo beaivválaš hoavdan .
Nubbin gurut bealde 	čohkká 	oahpaheaddji Siire Juuso .
Sii geat leat lihkastahkasat eai čuggohala nu ollu go son gii 	čohkká 	áibbas jaska .
Mun gii das 	čohkkádan 	muorrageažis orun dego livččen mielde herskostallamin , munnje lea suohtas oaidnit go olbmot ávkkástallet meahci riggodagaid .
