 ¶
eallimii fridja servodagas , deattuhit 	ádde 	 ¶
– Mii leat bargan dan maid min politihkka gohčču min bargat , nu ahte mun in 	ádde 	manne Brekk dadjá mii leat čurbošan , lohká Vangen . ¶
– Mun in duođaid 	ádde 	manin sámi birrasiin , gos leamaš stuorra beroštupmi , ahte stuorra servodat galgá vuhtii váldit olbmo sámi duogáža , muhto mii guoská sámi mánáide , de leat dan beali vajálduhttán . ¶
– Dáppe áddejit buohkat dárogiela , ja baicce unnitlohku mii 	ádde 	sámegiela , dan dihte lea mu mielas njulgestaga boastut go galbbas čuožžu dušše sámegiel namma , lohká Johansen . ¶
Son 	ádde 	ahte festivála lea ferten lávket alkoholavuovdimii , ja oaivvilda buorren go dan leat dahkan . ¶
Guossit dehálamos eanetlohkui Kárášjoga suohkanbáhppa Karl Yngve Bergkåsa 	ádde 	dili masa Hætta lea šaddan . ¶
– Mii eat 	ádde 	manin EM-gilvvut galget leat golmma beaivve badjel . ¶
Ii 	ádde 	maid láitet Go Ávvir ikte muitalii Frode Harangenii ahte suopmelaččat leat garrasit cuiggodan dán gilvvu ja sii oaivvildit ahte ii leat gánnihahtti vuolgit gilvvohallat , de gal son čaimmihii . ¶
Jearaldat lea maid leat go boazoeaiggádat geavahan doarvái návccaid oččodeames bohccuid eret doppe gos eai galgga , jearrala Valved , gii 	ádde 	olbmuid vuorjašuvvat dáinna diliin . ¶
Randulf Riderbo ii 	ádde 	manne Sámediggi diktá Deanu dohkkehit regulerenplána ovdal politiijat leat geargan dutkame ášši . ¶
– In 	ádde 	Nystad lohká Ávvirii ahte son ii oaččo Norada hilgumuša ipmárdussii . ¶
– In 	ádde 	mearrádusa . ¶
Mii eat 	ádde 	manin eai sáhte dan kumma riikageainnu bokte divvut mii láve dahppot ja mii várra lea sivva dán kloáhkkii , lohká Åse Næss . ¶
Váikko Johansen ii mieđit dása ahte politiijat eai leat beroštan go Føhr-Hansen bearaš lea váidán dán olbmo , de son 	ádde 	ahte sii vuorjašuvvet . ¶
Mu beljiin gal dát šaddá áibbas boastut , inge 	ádde 	váhnemii mat dorjot oránšarussaid , go in jáhke sin birget iežas mánáiguin . ¶
Ii leat ávki cegget galbba mii lea čállojuvvon dakkár gillii maid dušše 0,2 proseantta 	ádde 	, dadjá Kanestrøm Ávvirii . ¶
Guoskkaha olles riikka Eira ii 	ádde 	mo sáhtii min iežamet eatnama almmái fallehit 700 vigihis nuora geat dušše leat hui servvodatberošteaddjit . ¶
– Mun in 	ádde 	mo olbmot sáhttet beare guođđit elliid nie , go orru dan láhkai ahte ii oktage oro berošteamen , dadjá son . ¶
Nubbi lea maid dat ahte oažžut dáid bábirloguid šaddat duohtan , ja nagodit jávkadit daid boraspiriid mat leat menddo olu , lohká Balto , gii 	ádde 	manne John Inge Henriksen eahpida boahtteáiggi . ¶
– Lea áddemeahttunvuohta go olbmot eai 	ádde 	man stuorra sorbmin dat lea bohccuide . ¶
In 	ádde 	gos sátnejođiheaddji diekkáriid roggá , lohká Hesjevik . ¶
– Boazodoalloealáhusas leat unnán olbmot , muhto sidjiide lea dan dihte dárbbašlaš beassat geavahit viiddis guovlluid , ja lea dat maid olbmot eai 	ádde 	, lohká Hivand . ¶
Erstad 	ádde 	olbmuid háliidit diehtit siva manin ollu mánát buhcet justa dán mánáidgárddis , ja máŋgii sáhttá šaddat nu ahte sivva ii gávdno . ¶
Našunála teáhter berre stáhtabušehttii – Mun in 	ádde 	manin dat lea sihkastuvvon eret stuorradiggedieđáhusas . ¶
Dán ii 	ádde 	sátnejođiheaddji das go buot doaimmat leat jođus eaige makkárge doaimmat leat heaittihuvvon . ¶
Sii ráhkistit áhkuideaset ja áddjáideaset ja seammás moraštit sii go eai 	ádde 	sámegiela . ¶
Dilli ii dohkálaš Kjell Sæther 	ádde 	bures Nils Åge Hansena balu . ¶
Ii 	ádde 	NSR čuoččuhusaid Willy Ørnebakk ii loga áddet mot NSR lea sáhttán bušeahttadigaštallamiin čuoččuhit ahte Bargiidbellodat vuoruha Sámediggái eambbo go álbmogii . ¶
Finnmárkku BB sivalaš Dan rájes dáhpáhuvvo juoga máid Mikalsen ii 	ádde 	áibbas bures mot sáhtii geavvat . ¶
– Bearráigeahčuráđđi gielista Sámi fáŋggas lea vuoigatvuohta beassat dulkka čađa hállat , earret eará bearráigeahčuráđiin ja earáin geat eai 	ádde 	sámegiela . ¶
Olli logai ahte son ii áibbas 	ádde 	mo Steinar Pedersen sáhttá oaivvildit dan , go son han lei okta dain gii lei njunnošis go Finnmárkkuláhka hábmejuvvui . ¶
– Diesa in 	ádde 	mun . ¶
Sániin bivdit ja guolástit eará mearkkašumit Niillas A. Somby muittuha , ahte olbmot eai dálá servvodagas 	ádde 	sáni bivdit , mas lea eará mearkkašupmi go suomagielas boahtán guolástit . ¶
	Ádde 	siva nuvttá oahpponeavvuid juohkimii Dagmar Høgmann lohká ipmirdit skuvllaide leat buorre go fidnejit sámegiel oahpponeavvuid nuvttá , muhto su mielas lea ártet go juhket maid čáppagirjjálašvuođa lohkosiid . ¶
Mun in 	ádde 	gal mot leaba sáhttán mihtidit leahtu , go eaba leat geavahan lasere , ii ge rádára statiivva alde , dadjá Gaup . ¶
Eallin Nutti 	ádde 	bures ahte bartaeaiggádat sáhttet leat suhtus Sárevuomi čerdii . ¶
Son doaivu gieldda politihkkarat ja gielddahálddahus 	ádde 	dili ja juolluda ruđaid girkodoaimmaide gielddas . ¶
– In 	ádde 	gosa leaba nahkehan suorbmasiid , ja mo leažžaba ožžon visot fárrui , go sudnos ii lean lávka iige seahkka , muitala Nilsen . ¶
Son ii 	ádde 	mo Davvi guovllu kriminálafuolahus sáhttá leat duhtavaš válddahallamin maid Romssa giddagas lea dahkan . ¶
	Ádde 	váhnemiid Son lohká gal iežas bures áddet ahte váhnemiidda lea váttis dien mearrádusa váldit , muhto ferte ge bearaš siskkobealde dieid beliid birra čielgadit ovdal mearriduvvo gii joatká siiddaossosa . ¶
– Ádden moaitaga Thoralf Henriksen 	ádde 	bures go Goahtegearrega ovddeš stivralahtut atnet unohassan go vearroeiseválddit leat sin gohččon maiddái čoahkkimii . ¶
	Ádde 	boanddaid Kjell Magne Eira ádde ahte dát dilálašvuohta lea suhttadan boanddaid , ja duođašta ahte sin siiddas leat guovtti maŋimuš jagis leamašan bárttit , mat leat daguhan váttisin oažžut bohccuid eret geasseorohagas . ¶
Ádde boanddaid Kjell Magne Eira 	ádde 	ahte dát dilálašvuohta lea suhttadan boanddaid , ja duođašta ahte sin siiddas leat guovtti maŋimuš jagis leamašan bárttit , mat leat daguhan váttisin oažžut bohccuid eret geasseorohagas . ¶
Gesset ruovttoluotta vuodjinlobiid Kárášjoga sierralohpelávdegotti jođiheaddji , Eli Julianne Dalseng , gii ii háliidan aviisii govain , ii 	ádde 	manin Vuolab lea suhttan . ¶
– In 	ádde 	mo NAV:s lea vejolaš nu sakka moivváskit báhpáriiguin , ja oalát sáhttet láhppit daid , dadjá heađásnuvvan eadni , gii ii vel sáhttán dainna vuollánit , go geavai sáddet buot báhpáriid ođđasit NAV:i . ¶
Lunddolaš sivat Leavnnja eananeaiggátsearvvi ovdaolmmoš , Egil Liberg , 	ádde 	ahte báikeolbmot leat heađásnuvvan divrras hattiid dihte , muhto lohká ahte dasa gávdnojit lunddolaš sivat . ¶
FeFo táhpe ruđaid Per Nils Saari ii riekta 	ádde 	manne FeFo lohká táhpet ruđaid go jus addet bivdinlobi vaikke eai geavahivčče helikoptera . ¶
Dattetge ii 	ádde 	manin Guovdageainnu searvegotteráđis dákkár dološáigásaš oaidnu ain lea . ¶
	Ádde 	gii áddeš ! ¶
Songe lea guhkes mátkki dahkan min bealás , muhto ii oktage 	ádde 	maid don čilge . ¶
Juohkehaš guhte čuovvu NRK Sámi Radio ( Kautoradio ) ja KautoKárá ( d ) ávvir , 	ádde 	ahte dát mediat stáhtadoarjagiin eai galggaše oažžut stáhtadoarjaga . ¶
Jus mánná 	ádde 	sámegiela ja hállá dárogiela , de sáhttá skuvla iskat oassemáhttu goappašiid gielain , ja hukset viidásit dasa . ¶
Dattetge ii 	ádde 	manin Guovdageainnu searvegotteráđis dákkár dološáigásaš oaidnu ain lea . ¶
– Su sártnit sámegillii leat sihke duođalaččat ja čiekŋalaččat , mat sillui čuhcet ja váimmu guoskkahit dakkár gielain maid dábálaš olmmoš 	ádde 	, rápmo son Tellefsena ja lohká su hávskes hoavdan ja čeahpes bagadallin . ¶
Ákŋoluovtta elliidgáhttenlávdegotti Torunn Pettersen ii 	ádde 	boazodolliid moaitagiid ja lohká dušše gozihan ášši , mas gehčče mo čearpmahat cevzet . ¶
Eai 	ádde 	váidaga ¶
It don 	ádde 	ovdal ieš dan vásihat ¶
Nuba duháhat lagamuččat báhcet suorganemiin , eaige 	ádde 	maidege dušše dievva vástitkeahtes gažaldagat . ¶
Dalle gal ii leat nu álki leat olmmožin gii ii leat goassige dihtora deattašan ja ii 	ádde 	nu stuorrát dan dihtoris . ¶
Juohkehaš 	ádde 	ahte dákkár ” ovdáneapmi ” lei roassun boaittobeale eanadollui . ¶
Sii sivahallojiit ahte sis orru leame vuosteháhku ruvkedoibmii , ja buktojuvvojit čuoččuhusat ahte sámi beroštumit eai guoskkahuvvo danne go doaibma lea eatnan vuolde ja seammás vikkáhuvvo ahte FeFo-stivra ii 	ádde 	áššejođu . ¶
Fylkkasátnejođiheaddji ii 	ádde 	ahte FeFo ii mieđit addimis mihtiduvvon guovllu iskkademiide danne go iskkádeamit eai mielddisbuvtte lobi doaimmahit ruvkke . ¶
SEmSDá muhtin sánit maidda lea biddjon eará mearkkašumit , ja danne olmmoš ii álo 	ádde 	ja eandalit guldalettiin báhccá smiehttat mii ain oaivvilduvvo iešguđetge oktavuođain ja nu dávjá massá sága maid lei guldaleamen . ¶
Mii eat 	ádde 	manne álbmotválljejuvvon politihkkarat geavahit návccaid sivahit nuppi nuppi go sii livčče sáhttit geavahit eanet áiggi čoavdit dán váttisvuođa mii dál lea sámi oahpponeavvuid ektui . ¶
Son lohká maid ahte son 	ádde 	ahte gárrenmirkkoáššit eai leat miellagiddevaš válgagiččuáššit bellodagaid gaskkas . ¶
Son muitalii politihkkariidda mo lea go dearvvašvuođabargit eai 	ádde 	gii dárbbaša dulkka ja bidjet lagaš olbmuid duohkái dulkot . ¶
Ii 	ádde 	NSR čuoččuhusaid ¶
Son doarju Breivika balu heajos giellaovdáneamis , muhto 	ádde 	maid ráđđealbmá , go sámeskuvla nuppe dáfus ” buvttada ” ođđa giellabargiid ja sámegielagiid gildii . ¶
– Dážat eai 	ádde 	giela ja sápmelaččat eai báljo beroš lohkat sámegiel girjjiid , čuoččuha girječálli Rauni Magga Lukkari . ¶
– Mun in 	ádde 	manin dat lea sihkastuvvon eret stuorradiggedieđáhusas . ¶
Utsi maid ii 	ádde 	manne Kemi vállje geavahit mediija áššái go sii han leat mieđihan ahte nubbi divodeapmi lea sutnje nuvttá go lea garantiášši . ¶
Jus vel eai buohkat dán hálit diŋgot , de lea goit fálaldat , lohká son ja čujuha lahtuide geat eai 	ádde 	davvisámegiela , ja sidjiide geat leat massán sámegiela . ¶
Dan rájes dáhpáhuvvo juoga máid Mikalsen ii 	ádde 	áibbas bures mot sáhtii geavvat . ¶
Go fas Miss Taanila ovddasta Suoma Miss International-gilvvuin gávttiin man lea ieš gorron , muhto Ánne-Kirste ii lihkká 	ádde 	, manne Miss galgá geavahit gávtti , iige Suoma iežas álbmotbiktasa . ¶
Kjell Sæther 	ádde 	bures Nils Åge Hansena balu . ¶
Dattetge 	ádde 	Gollerumbbu lágideaddji Gaup bearraša ja lohká dieđus dát sáhttit rahpat ovddeš háviid go lea sáhka jápmán olbmo luođis . ¶
Son maid ii riekta 	ádde 	Gaup moaitámušaid go ii loga luođi leat šuokŋan . ¶
Muhto 	ádde 	dás lea sáhka resursaváilevašvuođas . ¶
Son 	ádde 	ahte fylkkamánnis lea hoahppu čađahit rievdadusaid ovdal go deanu hálddašeapmi sirdo báikkálaš dássái ja ovdal go dát ođđa stáhta nammaduvvon deanu hálddašanlávdegoddi johtui boahtá . ¶
Sii ráhkistit áhkuideaset ja áddjáideaset ja seammás moraštit sii go eai 	ádde 	sámegiela . ¶
– Ii leat imaš ahte jus hálddahus ii 	ádde 	dáin jus politihkkáriidda maid lea váttis dulkot dáid njuolggadusaid , numo bođii ovdán duorastaga plánalávdegottis . ¶
Dán ii 	ádde 	sátnejođiheaddji das go buot doaimmat leat jođus eaige makkárge doaimmat leat heaittihuvvon . ¶
Eat 	ádde 	mo diet sáhtii geavat ja dál leat geahččaleamen gávdnat eará vejolašvuođaid mo galgat dien čoavdit . ¶
– Mun in 	ádde 	mo sáhttá gohčodit desimerenbivdun dán . ¶
– In 	ádde 	mo olbmot gillejit searvat dákkár prográmmaide , ja máŋgii dáguhit dan seamma , seamma ovdal go filbmejeaddjit duhtet , dadjá nieida gii goit olu lea oahppan eaŋgalastit . ¶
– Lágesduoddara orohaga jođiheaddji Ottar Anti han lei ieš čájeheamen go mearredeimmet gokko geainnu hukset , ja dál diggái geassán geaidnoášši , in mun gal 	ádde 	su bargovugiid , lohká Pettersen . ¶
– Álggos vuos orohaga jođiheaddji čájeha gokko geainnu oažžut hukset , dasto gáibidit dikki bokte geaidnobargguid bissehit , eat mii gal 	ádde 	sin áigumušaid , lohká Njereveaji geaidnosearvvi Arnulf Pettersen . ¶
Stoltenberg lohká son 	ádde 	Porsáŋgu gieldda dili , maŋŋá go suodjalus mii buvttii ollu bargosajiid mealgadit dál leat heaittihan doaimmaid gielddas . ¶
Sii ráppejit sámegillii ja dárogillii vai jury 	ádde 	máid sii lohket . ¶
Son čilge ahte son 	ádde 	ahte dát siidda ii leat birgen doalahit ealus čoahkkis jođedettiin . ¶
– Jos leš nu ahte stáhtaministtar ii lohpit liige ruđaid Porsáŋggu gildii , de ii 	ádde 	son min dili . ¶
Porsáŋgu sátnejođiheaddji Mona Skanke 	ádde 	olbmuid frustrašuvnna go gielda ferte skuvllaid giddet . ¶
VÁTTES OAGGUN : Nuoraidskuvlla nieiddat nekte bealleálás rivguid jođus dálvet jávrebivdui , eaige 	ádde 	manin guolli ii dohppe . ¶
Son muitala erenoamážit eará Sámi musihkkarat leat nimmordan go joavku álo geavaha musihka báttis , ja dáid moaitagiid son 	ádde 	. ¶
Álbmoga 	ádde 	Nilsen báikkálaš álbmogin geat ásset das . ¶
Doppe liekkadalle su ja 	ádde 	vel rihča guoli sutnje . ¶
– Mon ii 	ádde 	dan riekta rehketbihtá , logai son oahpaheaddjái , mus lea čuođi ruvnnu menddo ollu . ¶
Kirste 	ádde 	ahte olggobeale olbmuide sáhttá váttis dán morraša hálddašit . ¶
Go olbmos dárbbaša doarjaga , de lea hui buorre gávdnat muhtima gii 	ádde 	mas lea sáhka . ¶
Ii dárbbaš go guldalit Irana presideantta ja ovtta Hamasa jođiheaddji , Mahmoud al-Zahar , cealkámušaid , de 	ádde 	ahte doaivagat ráfis leat guhkkin . ¶
Dasa lassin dáhttu nuoraid konferánsa ahte dárbbašuvvojit lonuhusfálaldagat árktalaš guovlluid nuoraid gaskal , vuoi oahppá ja 	ádde 	nubbi nuppi buorebut . ¶
Dattetge 	ádde 	son STS moaitámuša ruhtadoarjagiid ektui Beaivváš Sámi Teáhterii , muhto dađi bahábut eai leat Sámedikkis leamašan eanet ruđalaš návccat . ¶
Karen Iŋggá mielas eiseválddit eai 	ádde 	ahte dáluolbmuiguin galget leat maid meahcástan ja johtin rievttit nugo bajoniiguin . ¶
Jearan 	ádde 	go Karen Iŋggá bearaš su garra meahcástanpolitihka , de Elle Márjá mieđiha ja čilge . ¶
Dat ii 	ádde 	rehkega iige eará ovttage fága maid oahpaheaddji oahpaha dáppe . ¶
Okta buorre vuohki mo iskat ahte sápmelaš ieš ii šatta dákkárin gii ii 	ádde 	Guržo luottaid . ¶
Jenssen šálloša ahte fertejit álbmotmeahci bilidit , muhto son ii 	ádde 	nevron eanaeaiggádiid moaitámušaid . ¶
– Muhtimin lea dulkon vuoigatvuođas maid , muhto dat ii lean nu álki , lahka lea lahka , dakkár gii ii dan nu 	ádde 	, čilge Jovsset Áslat . ¶
Muitalusa fáttá ii 	ádde 	lohkki ovdal go girjji loahpas . ¶
muhto in 	ádde 	máid ... ¶
Árjja vuosttaševttohas Thoralf Henriksen , Nuortaguovllu válgabiirres , ii 	ádde 	máid Oktasašlistu áigu Sámedikkis . ¶
– In 	ádde 	manne Kárášjogas eai geahččal eambbo fálaldagaid addit gallededdjiide , dadjá son , ja ávžžuha Kárášjohkalaččaid vuovdališgoahtit tuvrraid , gos olbmot besset vásihit ráinnas áimmu ja jaskatvuođa . ¶
Juohkehaš 	ádde 	ahte jus ná manaš , de ii leat šat ollu mii báhcá vel árbevirolaš boazodoalus min guovlluin . ¶
Earret eará ii beasa fulkkiiguin ja oahppásiiguin hubmát sámegiela , go fáŋgabearráigeahččit eai 	ádde 	ja máhte sámegiela . ¶
Ja olusat sis eai 	ádde 	daid ođđa ráhkaduvvon sámegielat sániid , nu ahte lea áibbas čielggas ahte heahtevástideddjiin ferte leat mihá nanu sámegielat ja kultuvrralaš máhttu jus buot sámegielagiidda galget nákcet addit oadjebas heahteveahkebálvalusa . ¶
Juohkehaš 	ádde 	dalle mo dáid kantuvrrain šaddá dilálašvuohta . ¶
Juohkehaš 	ádde 	ii okta ge sáhte birget dainnalágiin dan botta go NAV bolse , ii ge gerget áššiid . ¶
In 	ádde 	manne fertejit vuordit logi jagi juohke háve go galget oažžut ođđa girjjiid . ¶
– Dáin bargguin lea hui dehálaš ahte son gii veahkeha 	ádde 	dan gii dárbbaša veahki , ja dan láhkai fállá buori fálaldaga , lohká Nergård . ¶
Máŋga sápmelačča dovdet ahte dearvvašvuođasuorgi ii 	ádde 	sin . ¶
Muhto juohkehaš 	ádde 	ahte lea veadjemeahttun birget ná veahážiin , dadjá heađáskan nisu ja lasihastá : ¶
Girjji oamasta buot su rismánáide , muhto maiddái buot julmmesdiŋggaide ja sii geat eai 	ádde 	ges sin . ¶
Per A. Bæhr ii 	ádde 	mot sámediggepresideanta sáhttá dáinna áššiin nu beare haga beahtahallan , go ráfáiduhttimat eai dahkkon dološáiggi dan dihte ahte gáhttet giliolbmuid . ¶
– Dan balu gal in 	ádde 	, go dás ii boađe mihkke rievdat . ¶
Solheim 	ádde 	bures ahte Nuorta-Finnmárkku ássit leat balus . ¶
Doavttir lei lohkan ahte son ii 	ádde 	man láhkai gánda ain bissu čuožžut ii ge čohkká juvlastuolus . ¶
Nutti 	ádde 	bures ahte bartaeaiggádat sáhttet leat suhtus Sárevuomi čerdii . ¶
Statoil Norge AS diehtojuohkindirektevra , Knut Hansen , lohká son 	ádde 	ahte olbmot imaštit manne stáhta fitnodat Statoil Norge AS ii sáhte fievrredit Finnmárkku álbmogii gássa , go Statoil viežžá gássa olggobeale Hámmárfeastta gávpoga . ¶
Niillas A. Somby muittuha , ahte olbmot eai dálá servvodagas 	ádde 	sáni bivdit , mas lea eará mearkkašupmi go suomagielas boahtán guolástit . ¶
Dattege son 	ádde 	sin geat bohtet váillahit boares šalddi maid , go dat addá oktiigullevašvuođa deanu šaldái . ¶
Olli logai ahte son ii áibbas 	ádde 	mo Steinar Pedersen sáhttá oaivvildit dan , go son han lei okta dain gii lei njunnošis go Finnmárkkuláhka hábmejuvvui . ¶
Son doaivu gieldda politihkkarat ja gielddahálddahus 	ádde 	dili ja juolluda ruđaid girkodoaimmaide gielddas . ¶
Ealgabivdiid searvi ii 	ádde 	manne nu issoras stuorra guovllut galget ráfáidahttot . ¶
– In 	ádde 	áibbas maid sii áigut dainna , muhto lean ovtta oaivilis ahte lea dehálaš doallat buorre ja obbalaš dialoga gaskal FeFo , Fylkkadikki ja Sámedikki , lohká Sjåstad . ¶
Olmmoš 	ádde 	ahte su láhtten gal lea endorii ja dárbbašmeahttun . ¶
	Ádde 	siva nuvttá oahpponeavvuid juohkimii ¶
– Mun in oba 	ádde 	ge mot Egil Olli iežas nammadan ¶
– Áhkku nu illudii go bessen Kabelvågii dáiddaskuvlii go viimmat oahpašin tevdnet govaid maid songe 	ádde 	, reašká Andreassen ja čilgesta ahte govvádusat eai leat abstrákta hámis . ¶
– Dávjá lea maid stigmatiseren , ahte mánná geas lea dát váttut oažžu siva man nu geažil vaikko ii leat dan dahkan , ja mii dovdat ahte mánát eai vuostái váldo áddejumiin ja dát máŋgii mielddisbuktá nákku go eai 	ádde 	máná ja manin son dahká nu ja nu skuvlla oktavuođas , čilgii Kárášjoga ADHD báikkálaš searvvi jođiheaddji Anne May Olli . ¶
– Fertet ieža ráddjet luonddu , go hálddašeaddji ieš ii 	ádde 	dahkat dan , lohká vuorjašuvvan duottarstobu hálddašeaddji . ¶
May Synnøve Trosten maid imašta go Sámedikki hálddahus ii 	ádde 	dan ahte daid nuorain lea ovddežis sámegielat dáidu , ii ge dárbbaš danin dárogielain gulahallat . ¶
Sámi fáŋggas lea vuoigatvuohta beassat dulkka čađa hállat , earret eará bearráigeahčuráđiin ja earáin geat eai 	ádde 	sámegiela . ¶
Mun in 	ádde 	gal mot leaba sáhttán mihtidit leahtu , go eaba leat geavahan lasere , ii ge rádára statiivva alde , dadjá Gaup . ¶
Mun in 	ádde 	manne dan eai dohkket , jearrala Hætta . ¶
Lea hui erenomáš dovdu go mus lea dál vuosttas girji , lean guhká bargan ja jurddašan ahte boahtá go das mihkkige , in ge vel ge 	ádde 	ahte lea duohta , kánske maŋŋá , čilgestii son . ¶
Triumf 	ádde 	go joatkkaskuvlla oahppi May Synnøve Trosten moaitá dán bargovuogi Sámedikkis . ¶
Muitala son 	ádde 	buorre muddui sámegiela , vaikko ii sámás . ¶
– Diesa in 	ádde 	mun . ¶
Dat sáhttá nu šaddat go bargi ii 	ádde 	sámegiela ja sámi kultuvrra , ja dan geažil eai áddehala , muitala Lilija S. Hansen . ¶
– Lea oalle suorggahahtti ahte dákkár boasttuvuođat oba gávdnojitge kárttain , in 	ádde 	mo ná lea vejolaš bártidit . ¶
Mun jáhkán don it 	ádde 	makkár unohas váikkuhusaid dákkár teavsttat sáhttet váikkuhit . ¶
Ii 	ádde 	manin Guolástan- ¶
Muhto Gaup 	ádde 	ahte lea stuorra gaska árbevirolaš heargevuodjimis , mas vuoddji lea hárjánan lávžžiin stivret ja spiddet , muhto ođđaáiggis illá oažžu ba lihkastit . ¶
Muhto son 	ádde 	SVL-N mearrádussii ahte eai čáhkkehan ovtta ge vahkkolohppii šat lágidemiid Detnui , ja dán vahkkoloahpa gárte maid hilgut Márjjábeivviid heargevuodjingilvvuid dihte Eanodagas Suomas . ¶
Siri Brock-Utne guhte lea nubbinhoavda Romssa giddagasas lohká ahte buohkat geat hállet eatnigiela maid bálvaleaddjit eai 	ádde 	fertejit ohcat jus áigot hállat eatnigiela telefovnna bokte giddejuvvon ossodagas . ¶
– Dás oaivvilduvvo ahte buot fáŋggat geat háleštit eatnigiela maid mii giddagasbálvaleaddjit eat 	ádde 	, fertejit ohcat ovdal go besset geavahit eatnigiela telefovnnas , lohká son . ¶
Somby muitá son geahččalii čilget rivgui dili , muhto easkka dál 	ádde 	ahte nisu ii leat ádden . ¶
Harald Tunheim ( gurut ) ii 	ádde 	manin boazoeaiggát ( olgeš ) čuggii beanavuoddji beatnagiid niibbiin Suolovuomi duottarstobu ja Beaskáđđasa gaskka beanavuoddji hárjehallanláhttus . ¶
Son ii loga diehtit stivrra mearrádusa justa dán áššis mii guoská geassit ruovttoluotta lávvardaga lágidemiid Deanus , muhto lohká 	ádde 	dili go diibmoplána lea dievvan vahkkoloahpaide . ¶
Muhto nuppe beales son 	ádde 	Deanu Searaid go eai vuostái váldán dán basiidgaskka beaivemeari . ¶
– Lea váidalahtti go dutkan masa lea biddjon olu návccat , ii datte doaimma nu go galggašii , dadjá NBR jođiheaddji , Nils Henrik Sara , gii 	ádde 	ahte teknihkkalaš váttisvuođat sáhttet čuožžilit , muhto gii lihkká ii čiegat ahte lea behtohallan : ¶
Nystad ii máhte go hui vehá spánskagiela , nu ahte ii 	ádde 	olus maid soai čearguba . ¶
Guuuuuhká smiehttaba ovdal go gávnnaheaba ahte ii Barack Obama iige Gro Harlem Brundtland nagot veahkehit muhto baicce ulda , go son 	ádde 	buoremusat luonddu luonddu . ¶
Big Bang ovdaolmmoš jotkkii muitaleames ahte son 	ádde 	ahte lea olu luovanas ja sáhttá šaddat gárži , ovdal go jotkkii . ¶
Trams 	ádde 	ahte ii nákce visot čájehit sámi kultuvrras muhto lassin boazodollui son lea maid govven EU davimus boandda , Heikki Guttorm , Nuvvosis Deatnogáttis Ohcejoga gielddas . ¶
Su mielas lea váttis oaidnit geat givssiduvvojit ja geat givssideaddjit leat , ja son 	ádde 	ahte oahppit dovdet ahte ii dahkko doarvái givssideami vuostá . ¶
Vápel bođii su njune ovdii bealkit oalle spáitilis jienain go lei fuomášan ahte ii han diet almmái oppa 	ádde 	suomagiela . ¶
Konfereansa bistá golbma beaivvi , ja Kaski 	ádde 	ahte muhtimiidda lea menddo guhkes áigi . ¶
	Ádde 	sin geat leat vuostá ¶
Roald Andreas Sandvik 	ádde 	bures ahte čuoiganláhttu lea giddejuvvon vai bohccot eai galgga hágganit eará guovlluide , muhto son ohcala boazodoalu bealis buoret gulahallama valáštallanservviin . ¶
– Okta buorre ovdamearka lea ahte dikkis leat šaddan geavahit dulkka go olusat eai 	ádde 	dárogiela , muhto go min suorggi siskkobealde eai gávdno fágasánit , de leat dulkkat dattege šaddan áššiid sisdoalu čilget eanaš dárogiela sániiguin , ja dat lea beare heittot . ¶
Norgga fitnodagat eai 	ádde 	tweeta ge ¶
Sáhttát dadjat ahte sii eai 	ádde 	tweeta ge , lohká Mona Skaret Steiras . ¶
Riikkalaš statistihkaid vuođul son 	ádde 	go ođassáhkan šaddá ahte ¶
Sin maŋis gávdnojit máŋga duhát čállosa geđgiide sárgojuvvon , gillii maid ii oktage šat 	ádde 	. ¶
Son 	ádde 	dán váivváš dili boahtán su eallima dihtii . ¶
Son 	ádde 	dán váivváš dili boahtán su eallima dihtii . ¶
Dá geaidnonamma man bures 	ádde 	. ¶
Lea vuogas váldit mielde oaggunstákku jus ii leat beana mii 	ádde 	ja máhttá viežžat lotti dan galbma čázis . ¶
Lean olusiid gullan geat eai riekta 	ádde 	dáid iešguđet biekkaid mat muitaluvvojit . ¶
Muhto ii han dal mis dábálaš olbmuin sáhte vuordit eambbo , eat han mii dieđe ja 	ádde 	, eathan jo daid alladási čoahkkinastiid mearrádusaid . ¶
Erenoamážit árbevirolaš luohteteavsttain leat čoavddasánit maid eai 	ádde 	dábálaš giellabargit . ¶
Vaikko sii besset ovddidit evttohusaid váldolávdegottiide ja ovdagoddái , de in 	ádde 	manin sátnejođiheaddji ii hálit min čeahpes nuoraid hállat gieldda bajimus mearridanásahussii , gielddastivrii . ¶
In 	ádde 	Egil manne don boađát measta juohke beaivvi ja siđat mu lohkat iežat bániid … ¶
Maŋimuš konsearta šaddá dego jápmá , moai ean 	ádde 	mo ba sáhttáge heaitit čuojaheames musihka . ¶
, muhto ean 	ádde 	maid son ráppe , lea dego jearrat maid moai jurddašetne fránska rappara birra , ean dieđe nu olu , dadjá Chirag . ¶
Son čuoččuha Romssa politihkkariid nu gáiggasin ahte eai oba 	ádde 	ge man olu váttisvuođaid moskéa ja eambbo muslimat sáhttet buktit Norgii . ¶
Muhto dat lea boagustahtti , go juohkehaš 	ádde 	ahte dat ii anit Anárjoga álbmotmeahcis gosa eai leat biilaluottat , ja lea guhkkin eret buigamehciin . ¶
