Veadjá leat nu , ahte olles ásahusas galgá vuhttot sámiid diliid 	ádden 	ja gudnejahttin . ¶
Dan ii sáhte 	ádden 	eará áitán sátnejođiheaddji bealis , mii min oainnu mielde ii leat duddjon buori suohkana ja váhnemiid gaskkas . ¶
– Lea hui dehálaš oažžut DSF dávviriid deike museai , danin go mii leat 	ádden 	dáppe leamaš DSF hui dehálaš ásahus máŋgalogi jagi . ¶
Mii leat 	ádden 	DSF leamaš olbmuide ávkin nu go oahpahusa dáfus , searvegotti bargui ja boarrásiid sosiálalaš doaimmaide , čilge Johnsen manin musea háliida dáid maŋŋá soađi muittuid vurket . ¶
Báhpat eai álggos 	ádden 	manin olbmot vuosttildedje , ja eai háliidan vieru váldit . ¶
– Viimmat ledje muhtimat 	ádden 	mii lei duohtavuohta ja oidno mo fasttit su gándda givssidedje , joatká eadni . ¶
– Sátnejođiheaddji , Kjell Sæther , lei beanta boalgan midjiide álbmotčoahkkimis , go ii lean velá 	ádden 	duohtavuođa mii givssideapmi lea ja váhnemat leat guktot beliid váhnemat , sihke givssideaddjiid ja givssiduvvon mánáid váhnemat . ¶
Dan dovddu oaččui go áddii ahte gielda ii lean vuos 	ádden 	, eaige áiggo váldde ovdasvástádusa givssideamis skuvllas . ¶
Sii maiddái mieđihit ahte eai leat vuos áibbas 	ádden 	ahte guhte jagi oahppu lea gearggehuvvan . ¶
– Lea ártegis dovdu dál go leat geargan , eat leat vuos áibbas 	ádden 	dan , muitalit nieiddat . ¶
– Nu mo mun 	ádden 	ášši de lea olles Levajok Fjellstue AS guovlu regulerejuvvon bartahuksemii , ja dattetge besset hukset nu lahka Deanu , lohká son Ávvirii . ¶
– Nu mo mun lean 	ádden 	de ii leat Framtid i Nord oaiveulbmil čállit sámeálbmogii , muhto báikkálaš álbmogii , lohká Larsen . ¶
– Nu mo lean 	ádden 	, de lea riidu buollán Ovddádusbellodaga ovccát saji evttohasain . ¶
daid báhpáriid mat heaŋgájedje távvalis , ja 	ádden 	gal ovtta láhkai manin gávpi gárttai diehtojuohkintávvala eret váldit ja lea váidalahtti , muhto ii han dat livčče gal stuorra ášši gávpái bidjat kamera dien seainni guvlui , mas oidnet mii doppe dáhpáhuvvá , ja livččii maid eastadan vearredaguid , oaivvilda Trond Henriksen . ¶
Ávvir jearrá lea go su mielas Fylkkadiggi boastut 	ádden 	Finnmárkku lága . ¶
	Ádden 	dan mađe suomagiela ahte guokte vuola fidnen , muhto in golbma , lohká Kjell Østmo loahpas . ¶
– Mii eat 	ádden 	ahte cealkámuš dulkojuvvui rasisttalažžan , lohká vuovdeeaiggádiidsearvvi jođiheaddji Anders Sjøvold . ¶
Vuovdeeaiggádiidsearvi maid ii 	ádden 	ahte sápmelaččat ná garrasit reagerejedje min gulaskuddancealkámuššii . ¶
– Jo , mii leat 	ádden 	ahte sihke politiijabálvás , ja nisus leat mánát , muitala politiija . ¶
Mánnán ii 	ádden 	son dát lei veahkaválddálašvuohta . ¶
– Mun 	ádden 	dán guvlui ahte ráđis lea dáhttu ráddjet bievlavuodjima boazodoalu dihte , mii lea goarádussan dáloniidda , dadjá Isak Mathis O. Hætta . ¶
– Mun 	ádden 	ahte muhtimat ballet ahte guovddáža fálaldagat heaittihuvvojit , muhto mii fertet jáhkkit dáhkádusaide maid leat ožžon Lujávrri gielddas , dadjá Nedrejord ja lasiha ahte sii fertejit bargat daid dieđuid vuođul maid leat ožžon Lujávrri gielddas . ¶
Mun lea 	ádden 	Evas ja Liss Heidis ahte Silje guovttos irggiin čuovvuba mielde mo golgodávda leavvá . ¶
Nu mo mun lean 	ádden 	ahte NLGL:s lea sullii seamma politihka go Norgga guolástan- ja bivdosearvvis ( NJF ) sihke vuoigatvuođaid ja njuolggadusaid hárrái . ¶
Loahpas lohken « Jeg forstår » go in 	ádden 	maid oaivvildedje ja maid galgen dahkat , coggen dálkasa lupmii ja mannen ruoktot , lohká Per Tor Turi . ¶
Apotehka Sámi bargit ledje 	ádden 	ahte Turi áddii . ¶
Mii leat deattuhan ahte min bargit galget jearrat erenomážit leago buohcci 	ádden 	čilgehusa , lohká Jensen . ¶
Okta bargiin čilge ahte sii navde Turi lei 	ádden 	sin čilgehusa go logai « Jeg forstår » . ¶
– Mii vuoruhat gulahallama eanemusat , ja Turi oktavuođas lei váttis diehtit farmasøytii ahte Turi ii lean 	ádden 	go son han logai ahte lei ádden , čilge Jensen go gulahallat olbmuiguin lea apotehkárii dehálamos ášši vai olbmot dihtet mo dálkasiid galget geavahit . ¶
– Mii vuoruhat gulahallama eanemusat , ja Turi oktavuođas lei váttis diehtit farmasøytii ahte Turi ii lean ádden go son han logai ahte lei 	ádden 	, čilge Jensen go gulahallat olbmuiguin lea apotehkárii dehálamos ášši vai olbmot dihtet mo dálkasiid galget geavahit . ¶
– Lean 	ádden 	Dáiddaskuvlla Kárášjogas galggašii addit vuođđooahpu dáidagis . ¶
– 	Ádden 	gal ahte turista buvttášii eanet dietnasa , jus dat besset ráfis bivdit divrrasin muhtun guovlluin Deanus . ¶
– Hernes lea nagodan daid hástalusaid maid lei ožžon , muhto mun 	ádden 	hui bures ahte jus šaddet stuimmit dán dáidaga birra , lohká sátnejođiheaddji Frank Ingilæ . ¶
Mun 	ádden 	gieldda sosiálakonsuleanttas Ragnhild Varsi Dahlas ahte lea ain guovtti jahkái bušeahtas ruđat , muitala diakona , Leif Petter Grønmo . ¶
– Dan mun gal 	ádden 	jus daid goas nu beasaha rastá Deanu , muhto go leat álgán boahtit juohke dálvvi lea imaš , dadjá Guttorm . ¶
– Dál 	ádden 	mun bures manne NSR viegai Bargiidbellodaga lusa čakčat 2007 go NSR guđii fámu . ¶
Mus lei mánná maŋŋeseahtas , in 	ádden 	maid háliidii . ¶
Lean 	ádden 	ahte lea váttis dan jorgalit dohkálaš namman . ¶
Son lea 	ádden 	ahte leat muhtin jávrrit gos báikkálaččat leat gáržžiduvvon eará guovlu olbmuiguin . ¶
	Ádden 	dát šaddá stuorra hástalussan munnje , joatká Faltin . ¶
– Nu mo mun lean 	ádden 	de leat eará njuovahagat bissehan njuovvama , muhto mii eat leat dárbbašan bissánit , muitala son . ¶
– Mii balaimet ahte lei kloáhkka , ja dan eat livčče 	ádden 	, go dat ii láve geavvat earágo giđđat muhtumin . ¶
– Dát iežasoassi máksingáibádus guoská sutnje gii leamaš sahtedohko báŋkokoarttain , nu mo mun lean 	ádden 	dan , lohká DnB Kárášjoga ossodathoavda , Karl Arne Larsson . ¶
Seammás lean 	ádden 	ahte maiddái Norgga Kulturdepartemeanta dán doarju . ¶
– Mun dovddan ahte in lean riekta gearggus vuolgit ná guhkás , ja ná oanehis dieđuin , ja boađán gal varra áiggi golahit ovdal go duođaid 	ádden 	ahte mun galggan dáppe orrut , gitta 2010 rádjai , finakeahttá ruovttus , dadjá Kirsti , ja čilgesta ahte sii geat bohtet eará riikkain , eai oaččo lobi fitnat ruovttus , go dat sáhttá dagahit ahte eai šat boađe ruovttoluotta skuvlii . ¶
Somby muitá son geahččalii čilget rivgui dili , muhto easkka dál ádde ahte nisu ii leat 	ádden 	. ¶
Mu čeahci ii 	ádden 	nissona easkkaálgi dárogiela . ¶
Sii eai 	ádden 	olus maid mun lohken , muhto sáni ¶
– Mun in ieš hála sámegiela , 	ádden 	gal , muhto mu mánát ja mánáidmánát gal hálddašit sámegiela , ja das mun lean hui rámis , člge Ulla Niittyvuopio . ¶
Ovddeš gielddaministtar Åslaug Haga čilgii ahte Mátta-Norggas eai leat vuos albmáláhkái 	ádden 	ahte Norga lea eanet go Oslo . ¶
Sus lei garra čuoččuhus ahte Norggas lea mátta-davvi konflikta , Oslo olbmot eai leat vuos 	ádden 	ahte mis lea Davvi guovlu maid Norggas , logai Haga iežas sáhkavuorus . ¶
Ledje ráhkadan iežaset Ofelaš filmma nu mo sii leat 	ádden 	Nils Gaup « Ofelaš » filmma mii 1987:s šattai Norgga filbmahistorjjá stuorámus riikkaidgaskasaš menestussan ja lei maid Oscar-evttohassan buoremus olgoriikkalaš filmmaid kategoriijas USA:s . ¶
dadjá son ja lohká easkka dál boarásman agis 	ádden 	ahte dat lea riggudahttán su eallima . ¶
Svein Lund lohká ahte nu guhkás go son lea 	ádden 	lága , de lea dát olbmot rihkkon čuovvovaš njuolggadusaid . ¶
Basevuovdi han lea maid Kárášjogas ja dohko dollojedje Badjeolbmot , sii dal mahkáš eai 	ádden 	. ¶
Lea dávjá vásihuvvon ahte gulahallan lea heittot , giella 	ádden 	váttisvuođaid dihte . ¶
Das ferte gii nu leat boastut 	ádden 	, lohká Keskitalo . ¶
– Mun 	ádden 	baicce ášši nu , ahte justa dán konkrehta Njeareveaji áššis , de orru leamen nu ahte áššemeannudeamis leat váilevašvuođat . ¶
Váldočálli Olav Fykse Tveit fuomášuhttá ahte Obama lea 	ádden 	dálkkádatáitaga duođalašvuođa ja lea bargan oaččuhit heaittihit ja jávkadit atomvearjjuid . ¶
Velába dan mun gal 	ádden 	, ahte luossadutkit buktet Deanu luosa duopmobeaivvi ságaid ain 6 – 7 gaskkaid , čuovvuhan dat luossanáli lunddolaš máddodatmolsašuvvama . ¶
– Jáhkán lea veahá nu ahte nieiddat leat 	ádden 	boastut diekkár jienastemiin ja jurddašit ahte dovddus lea seamma go čába , reašká Chirag . ¶
– In gal 	ádden 	vuordit , ahte vuoittášin ná stuorra gilvvu . ¶
Amerihkás lohkameahttun álbmogat duháhiid jagiid mielde lea 	ádden 	máilmmi iešguđet láhkai . ¶
Sii leat ožžon áddejumi mánáidgárddi bargiin ahte mánát leat 	ádden 	eambbo sániin . ¶
Isaksen muitala NRK Sámi Radios ahte sii leat sádden buollinbiilla boasttu guvlui , go heahtetelefovdna 110 ii leat 	ádden 	sámegiel báikenama . ¶
– In buriin mielain gal mávssáše , muhto 	ádden 	gal ahte dan ferte máksit vuoi servodat doaibmá . ¶
– Dát ii leat makkárge álkes áššiid , ja mun 	ádden 	bures ahte Sámediggái ii leat dát ášši man lea beare dohppet , dadjá Kuhmunen , gii maiddái váillahii Sámedikki heahtečoahkkimis masa fylkkamánni lei gohččon , guovvamánu 4. beaivvi , Bådådjos . ¶
Mun 	ádden 	ahte NRK lea maŋŋel maid ohcan . ¶
Wenche Marie Heatta lohká iežas 	ádden 	ahte bohccobiergu lea dearvvašlaš go boazu borrá murjjiid ja šattuid ja dát čuvvot birgui ja erenomaš sávedeahkkái ja dát lea hui buorre rupmašii . ¶
Muhto lean hállan Hættain , ja lean 	ádden 	son ádde dan maid mun dajan dárogillii , vástida Woll . ¶
Hætta muitala su gusat bahčet beaivvis sullii 30 lihtera mielkki ja nu mo son lea 	ádden 	, de lea dábálaš ahte gusat Norggas bahčet 35-40 lihtera beaivvis . ¶
– Mun 	ádden 	ahte gándamánnái galggašii siidaoassi , go gánddat leat sihke gievrrabut ja sávrribut go nieiddat , inge jáhke somán váhnemiiddage , geain ii leat go okta siidaoassi , ja guokte máná geat háliideaba boazodollui . ¶
	Ádden 	gal ahte nuorat oanidit sániid go sáddejit teakstadieđuid , muhto in leat goassige gullan ahte fertejit geavahit eará gielaid bustávaid , dadjá son . ¶
Karin Jonassen biehttala sámiid cielahallan interneahtas ja lohká sudno boastut 	ádden 	su . ¶
Nu mo son lea 	ádden 	, de galget sii geat alkohola guossohit , leat ollesolbmo agis . ¶
– Mun 	ádden 	bures ahte badjeolbmot leat rašis dilis dál , ja mii bargatge buot mii min fámus lea , oažžun dihte jođánis vástádusa direktoráhtas , muitala Lutnæs . ¶
– Mun 	ádden 	ahte Deanu Luossareiveeaiggádiid Searvi lea beahtahallan , muhto ii leat ávki botket šiehtadallamiid , oaivvilda son , gii deattuha ahte gulahallan lea dehálaš . ¶
– Go bussá bođii ruoktot , de in dalle gal 	ádden 	jurddašit ahte albbas lea geahččalan gáskkašit bussá . ¶
– 	Ádden 	moaitaga ¶
– Dan gal 	ádden 	bures , muhto in oba leatge diehtán ahte Brønnøysundregistarii galgá dieđihit álot go stivra lonuhuvvo . ¶
– Nu mo mun lean 	ádden 	, de fylkkagielda háliidivčče geahpedit bievlavuodjima , muhto Kárášjoga sierralohpelávdegotti mearrádus han dagaha ahte mii fertet Guovdageainnu bealde divvut ja maiddái ráhkadit ođđa máđijaid , dasa in jáhke fylkkagieldda gal miehtat , Saari čilge . ¶
– Go lea sáhka jávkama birra goas mánás lea leamašan ealáhuspermišuvdna , de ii gula ášši midjiide , ja mun 	ádden 	bures daid váhnemiid geat dáinna ballájit , vaikko dan ii livčče dárbu dahkat , dadjá Hætta Ávvirii . ¶
– 	Ádden 	bures ahte ferte hástalit NSR miellahtuid , go oaidná man bures mii stivret sámepolitihka dál , loahpaha Valle . ¶
– 	Ádden 	gal olbmuid geat sávvet lasi bargosajiid , muhto ii sáhte muhtun ealáhusas váldit birgejumi eret nuppi ealáhusa ceggemii , oaivvilda Gaup gii ballá dat dáhpáhuvvá jus ruvkedoaimmat bohtet sin guođohaneatnamiidda . ¶
Mun lean 	ádden 	julevsámegiela , muhto in leat nagodan hállat . ¶
– 	Ádden 	Kárášjoga skuvla . ¶
Mun 	ádden 	bargolávdegottit dáhtošedje buoret áiggi ja ruđaid čađahit barggu . ¶
– In jáhke Norgga bealde leat buohkat 	ádden 	ahte Riddolávdegotti gávnnahus lea ovdamunnin sidjiide maid , ii ge dušše sápmelaččaide . ¶
– Mun lean ožžon olu dieđuid báikki olbmuin dán birra ja 	ádden 	bures go olbmot váidalit , dadjá son , ja joatká muitalit gielda lea guovtti geardde fitnan geahččamin báikki ja mii leat maid reivve sádden Gaskaijarockii , mas mii leat dáhtton diehtit goas čorget leat jurddašan . ¶
– Ii leat hálbi jus bearrašis leat máŋga ollesolbmo ja máná geat háliidit oaggut , ja 	ádden 	bures jus váhnemat garvvihit mánáid eret jogain , dadjá Bakkevold , ja čujuha dasa go mánát devdet 16 jagi , de šaddet máksit ollesolbmo hatti . ¶
– Mun 	ádden 	ahte soitet guhkes gaskkat leamen , muhto jus ealgabivdit eai oaččo sierralobiid , de lea dilli nu ahte sii šaddet vázzit , čilge Fløgstad . ¶
Norgga stáhtas lea čielga geatnegasvuohta buhtadit gildii , nu mo mun 	ádden 	, čilgii Porsáŋggu Lillebo . ¶
Lea hui šállošahtti ja mii álohii dieđusge suhttat , mii šaddá váivi , mii soardašuvvat ja 	ádden 	mii dahkat dan . ¶
— Fylkkamánne boastut 	ádden 	 ¶
Son cealká ahte Finnmárkku fylkkamánne lea 	ádden 	boastut dán áššis . ¶
	Ádden 	ahte lea munnje dán gutni addán , lohká Liisa Holmberg . ¶
Gal mon 	ádden 	manne soahti ii leat populeara , muhto mun ádden maid ahte ii leat doarvái sávvat dušše ráfi , dainna ii boađe gal ráfi . ¶
Gal mon ádden manne soahti ii leat populeara , muhto mun 	ádden 	maid ahte ii leat doarvái sávvat dušše ráfi , dainna ii boađe gal ráfi . ¶
Ledjen 	ádden 	ahte dát leat galbma guovlu , ja navden ahte dáppe lea jo olles dálvi . ¶
Sámediggepresideanta , Egil Olli , ii leat 	ádden 	ahte Store Norske Gull AS lea golleruvkke álggaheamen . ¶
Oktage eaŋgalaš baikkii obbabiktasa oaivesehkkii , iige 	ádden 	nuolastit dan eret . ¶
Báhpat galge , vaikko vel eai 	ádden 	sámegiela , oahpahit sámi oahpaheddjiid , ja sii fas oahpahit mánáid , ii sin iežaset gillii , muhto sidjiide amas gillii . ¶
Buohcciviesus ii lean ovddasvástádus ordnet dulkka pasieanttaide , lei sin iežaset ovddasvástádus ja váttisvuohta jus eai máhttán dahje 	ádden 	dárogiela . ¶
	Ádden 	jus olbmot čoahkkáigeasu vuođul leat ožžon dakkár áddejumi . ¶
– In 	ádden 	ovdal go maŋŋá vuoittu ahte man stuorra gilvvus dás leai sáhka , historjjá nuppi ugralaš diktagilvu , muitala movttegit vuoiti ieš . ¶
– 	Ádden 	ahte lesbbaid ja homofiillaid fierpmádat sámiide atná imašin go dáža organisašuvdna oažžu ruđaid mat leat sápmelaččaid váras , ja oainnán osiid maid sii oaivvildit das , go dadjet ahte mis váilu gelbbolašvuohta , dadjá LLH jođiheaddji , Karen Pinholt . ¶
– Ohccit ledje menddo unnán muhto 	ádden 	dili go ohcanáigi deaivvai juste geasseluomuid áigái , lohká Ohcejoga sadjásaš gielddahoavda Antti Katekeetta . ¶
Eurohpálaččat oidne unnán beaivvášdielkoaktivitehta 1600-logus , muhto dalle eai vuos 	ádden 	ahte lei mearka buollašiidda . ¶
Sunray lea gullevaš Ray Brooksii ja lea nu mo mun 	ádden 	dat vuosttaš dolgi maid eai sáhttán gurgadasbuvttadussan geavahit ja vuovdit viidát , muhto dán sáhttá batnit iežas atnui . ¶
– Jus dal leaččan 	ádden 	bearráigeahčči riekta , vikkahii Peder . ¶
Jos dii livččiidet 	ádden 	maid dát sátni mearkkaša : Váibmoláđisvuođa mun dáhtun , in ge oaffara , de ehpet livčče dubmen sivahemiid . ¶
Lehpet go 	ádden 	buot dán ? ¶
Ovdal stuoradulvvi sii borre ja juhke , náitaladde ja náite gitta dan beaivvi rádjái go Noa manai árkka sisa , eai ge sii 	ádden 	maidege ovdal go dulvi bođii ja válddii eret sin buohkaid . ¶
Muhto sii hirpmástuvve sakka , dasgo sii eai lean 	ádden 	dan mii lei dáhpáhuvvan láibbiiguin ; sin váibmu lei baicca buoššuduvvon . ¶
» Muhto sii eai 	ádden 	dán eai ge duostan jearrat sus . ¶
» Muhto sii eai 	ádden 	dán ; dat lei čihkkojuvvon sidjiide , vai sii eai áddeše dan , eai ge duostan jearrat sus maid son oaivvildii . ¶
» Dás sii eai 	ádden 	maidege . ¶
» Eai sii 	ádden 	ahte son lei sárdnumin sidjiide Áhči birra . ¶
» Jesus muitalii sidjiide dán veardádusa , muhto sii eai 	ádden 	maid son oaivvildii . ¶
Máhttájeaddjit eai 	ádden 	dán vel dalle , muhto go Jesus lei hearvásin dahkkojuvvon , de sii muite ahte dát lei čállojuvvon su birra , ja sutnje lei dáhpáhuvvan aiddo nu . ¶
» Máhttájeaddjit gehčče guhtet guoibmáseaset ; eai sii 	ádden 	gean son oaivvildii . ¶
» Ii oktage beavddis 	ádden 	maid son oaivvildii dáinna . ¶
Dál sii leat duođaid 	ádden 	ahte mun lean boahtán du luhtte , ja sii leat oskon ahte don leat vuolggahan mu . ¶
Dássážii sii eai lean 	ádden 	dan maid čála cealká , ahte son galggai bajásčuožžilit jábmiid luhtte . ¶
De Biehtár sárdnugođii : « Dál mun duođaid 	ádden 	ahte Ipmil ii geahča olbmo hámi beallái , muhto son dohkkeha juohkehačča guhte ballá sus ja dahká su dáhtu mielde , makkár álbmogii dal gulaš . ¶
Ii son 	ádden 	ahte dat maid eŋgel dagai , lei duohtavuohta , muhto gáttii dan oainnáhussan . ¶
Dasgo Jerusalema ássit ja sin oaivámuččat eai árvidan gii son lei eai ge 	ádden 	profehtaid sániid mat lohkkojuvvojit juohke sábbáha , muhto sii ollašuhtte daid go dubmejedje su . ¶
Ja mun doaivvun ahte dii áddebehtet ollásit dan maid gal lehpet juo 	ádden 	muhtun muddui , ahte mii leat din rápmi ja dii lehpet min rápmi Hearrá Jesusa beaivvi . ¶
Hearrá , oahpat mu muitit mu loahpa , mu beivviid logu , man unnán dat leat , vai mun 	ádden 	man nohkavaš mun lean . ¶
Máhtebáikái gos su ii oktage 	ádden 	. ¶
“ 	Ádden 	Issáha . ¶
Heaika ferte jearrat vel nuppes bolesis ahte leago son 	ádden 	riekta , čilge ¶
” Hemmo ii 	ádden 	maid skibir oaivvildii ja ¶
Dološ sápmelaš han ii livčče 	ádden 	maidege dálá olbmuid háleštallamis . ¶
* Veaháš fuones sátnegeavaheapmi diet ” gieđahallat dego gonagasa ” Alex , eandalit dál go Norgga gonagas aiddo lea čuohpaduvvon , muhto gal mun 	ádden 	oaivila . ¶
Mánát áddejedje dábálaš dajaldagaid , muhto earret go moadde sámegiela eatnigiellahálli máná , de eai 	ádden 	earát nu ollu ahte bargit oaivvildedje iežaset sáhttit hállat dušše sámegiela daidda . ¶
In 	ádden 	dan . ¶
Ovtta láhkai mun in 	ádden 	dán . ¶
Dán áigásaš pluralisttalaš servodagas lea dát dehálaš 	ádden 	dihtii eará álbmogiid ja kultuvrraid . ¶
Muitalus sámiid birra čilge sápmelaččaid juste dakkárin makkárat mii leat , de vaikko man olu livčče ja ležžet variánttat ja siskkáldas erohusat min geográfalaččat viiddis kultuvrras , de juohke sápmelaš das gávdná juoidá mii berre sutnje muittuhit mo min ovdavánhemat leat 	ádden 	ja čilgen sámi diliid ja jurddašeami . ¶
Eai han sii 	ádden 	sámegiela . ¶
Mun 	ádden 	ollásit dán dáhpáhusa , go mun ieš - rávis olmmožin - lean beassan roggat juoigama vajálduvvan rájuin , vaikko vel ii lean ge diekkár váttis dilálašvuođain . ¶
Belohahkii leat dat maiddá mielde dán girjjis , muhto dat mii lohkkái báhcá lea dattege eanet dovdu leat oahpásmuvvan muhtun olbmuid skuvlaosiiguin , ja gullan áššiid nugo sii leat daid ieža 	ádden 	. ¶
» , dego livččii 	ádden 	su . ¶
Fikšuvdnapersovdna Márgget vásiha sul lii seamma , ja erenoamážit dan ahte olbmot eai vel riekta 	ádden 	mas lei sáhka . ¶
Imaš goit , ii goabbáge 	ádden 	ovdal go sámegillii fertejin čilget ahte guossit celke dearvuođaid ! ¶
- bargobihtá lea 	ádden 	ja bargan dan maid gohčohalai ¶
- bargobihtá lea 	ádden 	, bargan dan maid gohčohalai ¶
Lohkandáidu // 	ádden 	teavstta : ¶
- 	ádden 	sisdoalu teavsttain ¶
- bargobihtá lea 	ádden 	, bargan dan maid gohčohalai ¶
Belohahkii leat dat maiddá mielde dán girjjis , muhto dat mii lohkkái báhcá lea dattege eanet dovdu leat oahpásmuvvan muhtun olbmuid skuvlaosiiguin , ja gullan áššiid nugo sii leat daid ieža 	ádden 	. ¶
Dát sáhttá mearkkašit vástideaddjit eai leat 	ádden 	jearaldaga , ja menddo ollu leat vástidan ahte ii miige leat jorgaluvvon . ¶
Lávdegoddi oaivvilda ahte sámi gáiddusoahpahussii galgá lassin ásahit sosiáliserendoaibmabijuid ja sierranas oahppováldimiid eará oahppobáikkis - nu movt lávdegoddi lea 	ádden 	váhnemiin - ja oahpaheddjiin : Lagasvuohta lea deaŧalaš go lea gáiddusoahpahus . ¶
Čájehuvvui maŋŋá ahte geavahuvvon veahkkeneavvu lei nu boaris ja heittot ahte báddejuvvon jearahallamat gullojedje nu heittogit ahte in 	ádden 	buot . ¶
Dárkkis ahte oahppi lea 	ádden 	barggu ovdal go álgibeahtti . ¶
Dat manai dan ovdii ja humai dainna ja čilgii ahte ledje mánát geat ledje bargan dan , ja bivddii áddejumi dan ahte mánát eai 	ádden 	buorebut ahte dan ii galgga dahkat , ja seammás lohpidii ahte mii galgat oahpahit iežamet mánáid , nu ahte dat ii galgga dáhpáhuvvat fas . ¶
vissásit 	ádden 	ahte olmmoš lea psykalaččat buohccámin , ¶
In 	ádden 	mii dáhpáhuvai . ¶
de in 	ádden 	mo dat oppanassiige sáhtášii veahkehit ¶
Dat lei vearrámus , go it 	ádden 	mii dáhpáhuvvá . ¶
Dalle in 	ádden 	man duođalaš dat lea . ¶
Mánát ledje várra 	ádden 	ášši áibbas nuppi láhkái , go vánhen gii Sagai Muittalægjes čálii ášši birra , muitalii ahte Thomassen lei Juhánii čurvon . ¶
Muhto go gánda ii 	ádden 	, de dohppii Thomassen su niskái ja bijai su feaskárii . ¶
Go mánát eai 	ádden 	su gažaldagaid , lei Thomassen dearppastan beavdái nu ahte skájai . ¶
Ruoŧa bealde čujuhedje dasa mo gávpealbmát dájuhedje sámiid gávppis go sámit eai 	ádden 	rehketdoalu . ¶
Dalle sáhttá čielggaduvvot leago boasttuvuohta dáhpáhuvvan , vai leatgo don boastut 	ádden 	njuolggadusaid . ¶
Ággan son buktá ovdan , ahte unnitlogukultuvrras leat diehttalas sárgosat , maid bastá áddet dušše dasa rohtašuvvan dutki dahje 	ádden 	gáibidivččii kultuvrra siskkáldas giellaspealu vuđolaš dovdama . ¶
Giela 	ádden 	ja geavaheapmi leat ovdamearkan dakkárat , mat sirdásit kultuvrralaš árbevieruid proseassain . ¶
Lukkari árvala , ahte kulturaktivisttaid barggu eai ieža sámitge álggus 	ádden 	. ¶
Muhtun mánát eai 	ádden 	eai maidige . ¶
Njealljelogiguhtta dáin vahkkuin in 	ádden 	olus maid oahpaheaddji hálai . ¶
In leat dan 	ádden 	dahkat . ¶
Earát eai 	ádden 	mii dat lei , dat lei sámegillii heivehuvvon . ¶
Mun in 	ádden 	dárogiela , inge máhttán hállat giela . ¶
Báhpat galge , vaikko vel eai 	ádden 	sámegiela , oahpahit sámi oahpaheddjiid , ja sii fas oahpahit mánáid , ii sin iežaset gillii , muhto sidjiide amas gillii . ¶
Muhto ii lean somá go rávesolmmoš lei mielde olles áiggi go in 	ádden 	maid earát dadje . ¶
Mun 	ádden 	visot . ¶
Lei máilbmi mu birra , mas in 	ádden 	maidege . ¶
Ohppit geat eai 	ádden 	maid moai logaime , nohkke oalle fargga , ja earát fas guldaledje dárkilit . ¶
Moai ieža gal ean dalle 	ádden 	smiehttat galle kubihkkamehtera juohke oahppi dárbbaša dahje allergiijašaddadeaddji ávdnasiid váruhit , muhto sihkkarvuođa moai gal goziheimme . ¶
Mus ii leat dát aviisačálus , muhto mun 	ádden 	Bill vástádusas ahte muhtun lea čállán sámegiela oahpahusa birra Kárášjoga nuoraidskuvllas . ¶
Mun vuojihin olbmuid nu dávjá go sáhtten , muhto eai buohkat 	ádden 	ahte mun sáhtten leat doaimmas maiddái maŋŋelgaskabeaivve skuvlabargguiguin . ¶
Duohtavuohta lei ahte eanaš mánát guovtti álgoluohkás ja veahkkeluohkás hui unnán áddejedje dahje eai báljo 	ádden 	maidege maid dát máddin boahtán heahteoahpaheaddjit dadje . ¶
Okta dáin olbmuin muitalii munnje oktii ahte muhtun nuorra olbmot geat leat máddin boahtán , eai leat 	ádden 	ahte sii galget leat ovdagovvan . ¶
Máŋggas eai leat 	ádden 	ahte mis dážain leat geatnegasvuođat dán oktavuođas , sii golget gilis basiid ja sin láhttagat eai leat ovdagovvan . ¶
Mun in 	ádden 	gal in maidige maid son dajai go son dieđusge hálai sámegillii . ¶
Muhtun mánát eai 	ádden 	eai maidige . ¶
Njealljelogiguhtta dáin vahkkuin in 	ádden 	olus maid oahpaheaddji hálai . ¶
In leat dan 	ádden 	dahkat . ¶
Mun 	ádden 	visot . ¶
Mun in 	ádden 	dárogiela , inge máhttán hállat giela . ¶
Mun lean 	ádden 	ahte sivva go mun in ožžon skuvlafálaldaga , lei go nu funet máhtten dárogiela . ¶
Skuvlalanjas ii lean go dárogiella ja mun in 	ádden 	sáni ge . ¶
Čohkkáimet ja guldaleimmet vaikko eat 	ádden 	. ¶
Dáppe sii galget oahppat dárogiela , ja sii leat vissa 	ádden 	ahte lea hirbmat deaŧalaš máhttit dárogiela dán máilmmis . ¶
Erenoamážit lei siseatnama ja davvi giliid ohppiide álggus oalle stuorra váttisvuohtan , go sii eai 	ádden 	oahpaheaddji . ¶
Su eadni , gii lei girjeloguheapmi , hálai sihke sáme- ja suomagiela , muhto dárogiela son ii 	ádden 	ii sánige . ¶
veahkkegaskaoapmin čilget dan maid mánát eai 	ádden 	 ¶
Nugo máŋga eará sámegielahálli máná , de son unnán áddii dahje ii maidige 	ádden 	das mii klássalanjas dáhpáhuvai . ¶
Maŋŋá lean gávnnahan ahte dát ferte leat dan sivas go mun in 	ádden 	maidige das mii doppe dáhpáhuvai . ¶
