Muosehuhttimat guohtuneatnamiin nappo váikkuhit dasa ahte - bohcco guohtunáigodat oatnu , - boazu geavaha eambbo energiija , - bohccot eambbo váibet - eambbo bohccot mássojit - njuovvandeattut unnot - miesselohku unnu Iskamat mat čájehit movt boazu váibá iešguđet boazobarggus , čájehit ahte boazu váibá ja deahkit sáhttet vahágahttot , čoavjji siste sáhttá vardigoahtit ja 	varra 	sáhttá earáhuvvat . ¶
Ja go jurddaša ahte ná dehálaš guossi lei boahtán Olmmáivággái , de 	varra 	lea diehtujuohkin dán logaldallama birra leamaš menddo heaitot . ¶ERR
	Varra 	galgá čájehit man gárremin son lei . ¶
Jus eat livčče sirdit mearkka vulosguvlui , de guovllu 25:s illá livččii bivdoguovlu oarjjabeal-deanu , ja dat 	varra 	livččii menddo vuoigatmeahttun , čilge Rollstad . ¶ERR
Ii 	varra 	nu imaš , go geaidnoguoras lei gánddaš čuččodeamen gávttiin , skuvllalávka vel sealggis . ¶ERR
– Na 	varra 	muhtin logi geardde guittot , reaškilit earát ja masá bilkidit go gávtti lea heivehan nuolastit moatte háve . ¶ERR
Juste dása lei 	varra 	NRK Sámi Radio boares rieban Johs. Kalvemo buorre mielas . ¶ERR
NRK journalista Jakob Arvola maid dajai juoidá mii 	varra 	sáhttá bures govvedit dan stuorra juornalistalaš ovddasvástádusa . ¶ERR
– Otne 	varra 	ii leat nu somá leat eret Deanus , ja mii journalisttat fertet váldit olu dasa siva , dajai son čujuhettiin ahte varra lea leamaš menddo olu negatiiva media beroštupmi gildii . ¶ERR
– Otne varra ii leat nu somá leat eret Deanus , ja mii journalisttat fertet váldit olu dasa siva , dajai son čujuhettiin ahte 	varra 	lea leamaš menddo olu negatiiva media beroštupmi gildii . ¶ERR
– Ovdal lea 	varra 	leamaš bázahus mii máŋgii lea golgaduvvon njuolgga eatnamii . ¶
Dál jorrá vara lihterhaddi sullii 20 márkkis , ja jos fuobmá man ollu 	varra 	manna duššás , de lea dat stuorra ruhtagáldun bierggu lassin , čilge Nieminen bohccovara vejolašvuođaid . ¶
Eai leat 	varra 	hárjánan oaidnit čuvges nuorra nieiddaid . ¶ERR
– Olu šattut , eallit , divrrit ja vaikko vel min 	varra 	dolvojuvvojit olgoriikkaide . ¶ERR
– Olmmái ii roasmmahuvvan ja sus váldui 	varra 	mii čájeha man gárremin son lei . ¶
Dán mii fertet dás deattuhit , danne go dát 	varra 	ii boahtán doarvái bures ovdan bihtás . ¶ERR
Ráfišiehtadus gaskal ráđđehusa ja gerilja 1997 juovlamánus , bissehii dán guhkes ja 	varra 	riikkavulošsoađi . ¶
Porsáŋggu álbmotbeaivvi doaluin váilo 	varra 	 ¶
Galmmihanskábe billašuvai ja 	varra 	suvrrui , ja jus varra ii leat fidnemis ovdal álbmotbeaivvi , eai šatta álbmotbeaivvi gumposmállásat . ¶
Galmmihanskábe billašuvai ja varra suvrrui , ja jus 	varra 	ii leat fidnemis ovdal álbmotbeaivvi , eai šatta álbmotbeaivvi gumposmállásat . ¶
Su varrasuonaid mielde golgá sihke indiána , dánskka ja sámi 	varra 	. ¶
	Varra 	dalle maid gávdnet sivaid manne bargit eai biso teáhteris ? ¶ERR
Liikká lea otná sámi servodagas dat politihkka ain oalle eallinaga bissumin , muhto lea 	varra 	váttis dan garvit go juo leat nu jur eallime oarjemáilmmi servvodaga alde . ¶ERR
	Varra 	dalle maid gávdnet sivaid manne bargit eai biso teáhteris ? ¶ERR
Liikká lea otná sámi servodagas dat politihkka ain oalle eallinaga bissumin , muhto lea 	varra 	váttis dan garvit go juo leat nu jur eallime oarjemáilmmi servvodaga alde . ¶ERR
Meksiko presideanta , Zedillo , ja su guatemalalaš bargoskibir , Arzu , leaba dál loahpaheamen barggu máhcahit dan 45 duhát olbmo , geat Guatemala 	varra 	, siskkáldas riiddus báhtaredje . ¶
IPS-Johannesburg:Oarjemáilmmi bombedettiin Jugoslavia , leat 	varra 	tragediijat ollu stuorát Afrihkás - almmá máilmmi beroškeahttá . ¶ERR
Olbmo sahen , rumaš oaivvi haga ja 	varra 	lea dušše oassi das maid beasat oaidnit go magihkkár Carl deRome ja su veahkki Merete lágideaba illušuvdnašovva sihke Guovdageainnus ja Kárášjogas dán vahkkoloahpa . ¶
Carl deRome čuohppá šovvas veahki Merete gieđa nu ahte 	varra 	vel cirgu . ¶
Muhto 	varra 	ja čuohpadeapmi ii leat dieđus albma . ¶
– 	Varra 	jáhkii ahte mun lea gilvaleaddji sus . ¶ERR
Guhppema birra čállá čuovvovačča : Jos lei oaivebávččas , de sáhtii muhtuma oažžut guhppet dakko oaivvis gokko bávččastii , dassá go 	varra 	čoagganii liikki vuollái . ¶
– Jurddaš man buorit scenat sáhttet šaddat ; ollu 	varra 	ja doarrun , erenoamážit Mons Somby ja Aslak Jacobsen Hætta steavlideamis , muitala son Finansavisenii . ¶
Wayne Anthoney manus lea earálágán go klassihkkalaš Macbeth , ii leat unnit 	varra 	gal , muhto lea mihá suohttaseabbo . ¶
Lemet Ivar vuordimis loahpaloahpalaččat jienasta šiehtadussii mii lea juo dohkkehuvvon Bargiidbellodagas , nu ahte dat 	varra 	ii šatta nu stuora ášši . ¶ERR
–<\q>Mu norgga 	varra 	duoldá , ja mu sámi váibmu čierru ! ¶
Buot 	varra 	Norggas iskojuvvo ovdalgo eará olmmoš oažžu dan . ¶
Selma erenoamaš dolggis ii leat velá namma , muhto 	varra 	son dasa hutká heivvolaš nama . ¶ERR
Leai gal Derek Miller čeahppi liikadit lávddi alde musihka mielde , ja 	varra 	soames Sáminieiddda váimmu coakkigohte , go olmmái leai duođaid ¶ERR
Beana galgá guorrat uhccimus 600 mehtera varraluotta masa lea golbma desilihttera 	varra 	geavahuvvon , dát galgá leat unnuimusat 12 diimmu boaris . ¶
Guovtti sajes galgá oasáš sullii logi mehtar gaska gosa ii leat biddjon 	varra 	. ¶
Muhto 	varra 	buohkat eai dihttán ahte Intrige ja Kai Sombys leat ná garra vuoibmi ja fápmu miellalági addit olbmuide . ¶ERR
Meahcis son vuoššá ja bassá bierggu , son maid márfu ja gumposta , go ealgga 	varra 	lea hui buoidi ja heivvolaš dasa . ¶
Sámis 	varra 	gávdnojit dáiddálaš girječállit , muhto sii eai dihtto , logai Kendzior . ¶ERR
Olbmot duođaid elle , ja áinnas boarraset gearddi 	varra 	lihkadišgođii . ¶
Imaštallet gal 	varra 	ollusat ahte dien mađe ahkásaš olmmái dego Per Tor Turi(47 ) justa liiko technojuoigán mállii . ¶ERR
– Lean dolkan vuordimis ipmašiid , danin ferte ođđa 	varra 	boahtit sáme politihkkii , beaškala nuorra Sámi politihkkár Čáhcesullos Sara Anne Sveen Smuk ( 19 ) . ¶
Muhto mii eat gula goassige , gos bat dážat leat boahtán , ja 	varra 	eat dieđe dan ge , soitet Indias , árvaledje Totlteáter , ja teáhtertealta ucces ii gáhččan . ¶ERR
Ollu olbmuide Riddu Riđđu festválas leai 	varra 	justa Transejoik ja Frode Fjellheim musihkka mii gájui vuordámušaid . ¶ERR
« a nubbinjođiheaddji Áile Jávo vuosttilda dan árvalusa ahte sis geat áigot miellahttun NSR:ii , ferte leat sámi 	varra 	suonain . ¶
	Varra 	golgan čeargga čađa gitta eatnamii . ¶
Vuolábealde goabmabávtti lea roggi mas sáhttá oaidnit soames 	varra 	dielkku . ¶
Dalle duldii 	varra 	, lohká Karen Marit Utsi gii ii loga goasse oaidnán nu ollu olbmuid gárdde luhtte . ¶
Gieskat geavai dat mii 	varra 	lea leamaš dat stuorámus su spábbačiekčankarrieras dán rádjái . ¶ERR
Dál leat mohtorsearvvi miellahtut dorvvastan Lotto-kupoŋgaide jus dette ieža nágodit háhkat iežaset tihppenruđaid , ja dan ožžot sii 	varra 	joatkit dahkat dasgo ii leat sihkar bođeš go gielddas sidjiide ruhta . ¶ERR
Máze SS vuhttui váiban maŋŋá semifinála , ja dat lei 	varra 	okta sivva dasa go Gironvári Lunttat besset stoahkat Máze gánddaiguin . ¶ERR
– Dán 827 kilomehteris ražaimet nu ahte 	varra 	, bivastat ja gátnjalat golge . ¶
Sii leat Ken Neptuna fuolkkit , ja dát lea vuosttaš lávki gávdnat olbmo gean 	varra 	heivešii sutnje . ¶
Kenas lea sámi 	varra 	. ¶
Dás maŋas ferte dus leat rievttes 	varra 	jus áiggut mielde NSR . ¶
mu norgga 	varra 	duoldá , - ja mu sámi váibmu čierru . ¶
Maŋemus Min Áiggis almmustahtiimet ahte NSR lea veardideame árvalusa ahte ii oktaga eará go sii geain lea sámi 	varra 	suonain , sáhte šaddat ollislaš miellahttun norgga stuorimus sámi organisašuvnnas . ¶
– Go logan árvalusa , de mu norgga 	varra 	duoldá , - ja mu sámi váibmu čierru . ¶
Šlurfi lea 	varra 	eanemus filbmejuvvon beana ja Meahcce Vulle gal lohpida ahte Šlurffis gal leat maŋisboahttit . ¶ERR
GOVVA 	VARRA 	BEAVDDIS SIIDU 11 ¶
Jus náđđu , de 	varra 	jápmasa ja dalle dat gal i leat šat gudda masage . ¶
– Ledje čiekŋalis mearkkat muvraseinniin vuoksáid čorvviid maŋis , ja lei goikan 	varra 	juohke sajis . ¶
	VARRA 	: A2-sorttat varra ii leat nu dábálaš , muhto sápmelaččaid gaskkas lea dat oalle dábálaš . ¶
VARRA : A2-sorttat 	varra 	ii leat nu dábálaš , muhto sápmelaččaid gaskkas lea dat oalle dábálaš . ¶
– Váldosivva manne attán vara , leago dáinna lágiin sáhtán veahkehit earáid mat dárbbašit vara , lohká nieida geas lea oalle hárvvis 	varra 	, namalassii B+ . ¶
Badjel 15 jagi leat suohkanat ožžon giellaruđaid , ja dál lea 	varra 	áigi geahččagoahtit mo ruđaid buoremus sáhttá geavahit . ¶ERR
Sivva dasa lea 	varra 	go oassi min visttiin bulle 1988:s . ¶ERR
– Media lea olu mu čájehan , ja 	varra 	danne jáhkket olbmot ahte mun dat lean gii ovddastan buot áššiid . ¶ERR
	Varra 	leige danne son ja su ustibat álggahedje ge Márkomeanuid . ¶ERR
Sii geat eai diehtán son vuostálastá Finnmárkkolága jáhkke 	varra 	son lea manahan moarsi . ¶ERR
- Viehkkangilvvuin lea nu daddjun njoammil mii doalaha leavttu , muhtu vuodjangilvvuin heive 	varra 	buorebut njuorju veaháš ovddabeal , leaikastallá Samiradio ¶ERR
Liikká ledjen gal 	varra 	veahá doaivvas , lohká Skániha sátnejođiheaddji Svein Berg Harstad aviisi . ¶ERR
GONAGAS VÁRRA?:Lea go Kollstrøm maŋisbohttiin Therese Kollstrøm Ingebrigstenis ja Ruth Bøyumas Deanus ránska gonagasa Ludvig Filip 	varra 	? ¶
Muhto jos muitalusaide jáhkit , de dalle han Kollstrøm bearrašis lea ránska gonagasa 	varra 	, árvalásttá historikkár Aage Solbakk . ¶
Son imašta go riikamedijat eai eanet beroš áššis , ja 	varra 	danin sápmelaččat dáppe ja erát eai baljjo dovdda Finnmárkkulága . ¶ERR
	Varra 	oamasteaddjit eai leat beroštan das , go árvideamis eará lea deháleabbut . ¶ERR
Muđui 	varra 	mánaguovttos livččii sáhttán roasmmahuvvot garrasit . ¶ERR
	Varra 	lei mánáide dát buorre máŋŋá dán issoras somás ja gelddolaš vásáhusa . ¶ERR
– Máilbmi han rievdá ja mii maid 	varra 	doaivumis rievdat . ¶ERR
– Mun ja 	varra 	ollusat vásihedje ahte juoga goitot dát OG doalut adde sámikultuvrii . ¶ERR
Ja doppe leage dát govva váldon , 	varra 	1930-jagiid gaskkamuttos . ¶ERR
Ovddádusbellodaga jođiheaddji maid lei bovdejuvvon ja seminárasátnestivrejeaddji logai Fredriksena buot unnimus bivnnuheamos olmmájin coahkkinlanjas , ja dat ii lean 	varra 	aibbas boastut . ¶ERR
	Varra 	danne Canoa Quebradas lea veadjetmeahttun doapmat . ¶ERR
	Varra 	cirggáda go Johan Mathis čugge niibbi miesi bealljái . ¶
Gatnjalat maid ribahii čilgejedje 	varra 	bures man garas riidu lei Deanu gielddastivrras odda sámiskuvlla huksema dihte . ¶ERR
Na 	varra 	oidnošgohtet dat juohke geasi maŋŋá go Kanada indiánat leat oahpahan Deanu luossabivdiid goikadit luosa . ¶ERR
Maiddái áibmu lea nuoskiduvvon , ja leage 	varra 	sivvan manne nu olu olbmot jábmet borasdávdii . ¶ERR
Givssideapmi lea bilidan máŋgga olbmo nuorravuođa ja 	varra 	boahtá bilidit ain eambbo čuvvovaš jaggiin . ¶ERR
- Dies 	varra 	oainnat olles Gáresavvona ? ¶ERR
Ii 	varra 	nu imaš go 20 jagi doppe orrun . ¶ERR
- 	Varra 	lea nu ahte muhtumat bilidit buohkaid ovddas ja dat lea hui suddu . ¶ERR
Ja dalle lei dieđus luonddolaš jearrat das gii 	varra 	buot buoremusat diehtá manin olbmot eai gotte luosaid . ¶ERR
It bat don ge livččii náđđon gos lea čoasus , ja dasalassin it 	varra 	livčii don ge háliidan leat moskuslanjas gos lea heajos áibmo . ¶ERR
Son maid deattuha ahte ii 	varra 	livčii šaddan dáiddár jos ii livččii bajásšaddan leastiánalaš birrasis . ¶ERR
Muhto olbmuide 	varra 	ii leat nu suohtas , lohká Balto . ¶ERR
– jus čáhppe ii livžžii mu boktan de gal 	varra 	in livžžii lihkkan , dadja aslat Einar . ¶ERR
Badjel 15 jagi leat suohkanat ožžon giellaruđaid , ja dál lea 	varra 	áigi geahččagoahtit mo ruđaid buoremusat sáhttá geavahit . ¶ERR
Vuoiŋŋašvardin šaddá go varrasuotna vuoiŋŋamaččain luoddana , nu ahte 	varra 	golgá vuoiŋŋamaččaide . ¶
Dás han cirgot 	varra 	, cuozza ja siskkilušat ! ¶
- 	Varra 	lea muhtun beana mii dan lea dáhkan , dadjala Helge . ¶ERR
	Varra 	, gatnjalat ja roassu lea su Iráhka nieguid duššadeame . ¶
– Sii gáddet 	varra 	ahte luohti lea Ipmila sáni vuostá , lohká son . ¶ERR
Livččii gal issoras somá jos buot vuovddašeimmet muhto lea várra váttis dan dahkat , lohká Guttorm ja árvalastá jos vel moadde mánu livččii beassan vuovdit de gal 	varra 	vuorbbit livčče nohkan . ¶ERR
Beasat maid oaidnit boazosápmelaččaid árgabeaivvi njuovadeamis gos 	varra 	lea guovddážis . ¶
Čalbmáičuohcci leage 	varra 	bohccooaivelatna . ¶
Ii leat sápmelaš 	varra 	mus , muhto lean bajásšaddan Leavnnjas . ¶
Rievvárat manne uvssa čađa šleakkain , ja deatnolaš skáidnii iežas nu ahte 	varra 	cirgugođii báŋkobálvvá njieaiga . ¶
	Varra 	iskosiid geažil gávnnahalai deatnolaš báŋkorievvárin . ¶
Helena veallá veahá áigge geažes čiežanuppelot čorvviin sealggis ja julggiin , main sisa golgá 	varra 	. ¶
Ii leat ollu 	varra 	. ¶
Ii mu ráidduin galgga 	varra 	golgat ! ¶
Sin agenda lea 	varra 	bilidit mu vejolašvuođaid válljejuvvot NSR:a presideantta evttohassan , jáhkká Nystad . ¶ERR
Son dovddaha dál ahte lea dan mađe agis politihkkalaš vuogadagas ahte lea 	varra 	áigi loapahisgoahtit doaimmaid . ¶ERR
– Mun in ane dan imašin , Áile Keskitalo han lea Sven Roald lagaš olmmos , ja náitalan su vieljjan , ja dalle lea 	varra 	lunddolaš ahte son doarju Áile . ¶ERR
Ii ge dan bomba lea 	varra 	okta ge vuordán , go Norsk Tipping lei árvvoštallan Pomeranssi olles 102.70 ruvdnui . ¶ERR
- Dát lea eiseváldii beales 	varra 	mearriduvvon politihka vai golgadeapmi Deanus alfárut nohká . ¶ERR
- Mun vuoján gaskkal 15. 000- ja 20. 000 kilomeahtera jahkái ja dat lea 	varra 	seamma ollu go dábálaš olmmoš vuodjá biillain , lohká Sverre . ¶ERR
Danne vurdet 	varra 	buohkat ahte mii álkit dearpat Sámi riikkajoavkku , muhto spábba lea jorbbas ja ii goassige sáhte leat nu sihkar , lohká beaivválaš jođiheaddji Roland Arnquist Umeå IK:s . ¶ERR
Rápmi 	varra 	dagaha ahte boahtte háve ii leat nu álki vajálduhttit rašes joavkku . ¶ERR
Danin 	varra 	dat olmmoš gii lea álgán girječállin lea hálidan govvet čálalaččat daid dovdduid . ¶ERR
Dat lea 	varra 	dat sivva manne mun 1960-logu loahpas válden beanna gihttii ja manne lean doallan dan ovttatmáno badjel 30-jagi . ¶ERR
Ii 	varra 	eadni livčii obba birgen ge go mun maid in máhtán dalle nu bures dárugiela . ¶ERR
Vaikko almmái lei bures cábmohallan , de viegai 	varra 	golggadettiin T-bánii ja váldii sáhtu politistašuvnnii gos son váiddii ášši . ¶
Áiccálaš Ságat lohkki lea maid 	varra 	sihkkarit fuopmán ahte dat seamma Reinås ovdal lea čállán máŋgasiidusaš reportaša iežas lieggariika mátki birra , gos son earret eará lea govven eamidis . ¶ERR
- Mii fuomášeimmet ahte sin biillas lei 	varra 	, ja nu gávnnaimet bierggu , ja de jearahišgođiimet gos biergu boahtá . ¶
- Deaddu livččii lean badjel 26 kilo , muhto roahkastettiin roahkan botkii stuorra varrasuona goadjima gáibbe vuolde ja fatnasii golggai 	varra 	vaikke man olu , Heikki Karpoff muitala . ¶
- Vuigen ahte váibmu coahkkigođii , ja 	varra 	ja adrenaliidna maid lihkastii . ¶
- Muhto dan in jáhke , nie johtilit ii čoaggan 	varra 	. ¶
Sámeskuvllas leat oahppit vuosttaš luohkás gitta joatkkaskuvlla dássái ja dát beaivi lei 	varra 	okta dain hárve beivviin go nu máŋgasat sis ledje čoahkkanan skuvlii oktanaga . ¶ERR
Jus ná joatká de 	varra 	ii dohkke go giddagasas čohkkát , lohká Lukkari Sáme radioi . ¶ERR
Nuppi varrasuonas lei 	varra 	buđđosan . ¶
Siskobeal suona lea leamaš smávva háváš ja 	varra 	johtima geažil lei dat sturron , joatká son . ¶
Váhnemat ja áhkut ja ádját dáide veaháš ballat maid son de earát dasa dadjet go sin mánát cogge sámi biktasiid , vaikko measta juohkehaččas jorai suonain sámi 	varra 	. ¶
	Varra 	johtá buorebut . ¶
Go kristtalaš olbmos lea maid oažži ja 	varra 	, mii oassi olbmos ii leat ođđasit riegádan . ¶
Árbevirolaš ealáhusain eallisámiide , geat leat juoga eallindilis šaddan smiehttat kultuvrraset vuođđoáššiid , nuppástus ii 	varra 	leat oalle stuoris . ¶ERR
go ođđa 	varra 	dárbbašuvvo sámekultuvrii ¶
Lei illu go Sámediggi viimmat ásahuvvui , leimmet 	varra 	ollugat geat doaivvuimet ahte dás dohko Sámi áššitge ožžot buoret siivvu , muhto mii galggaš . ¶ERR
Go buohtastahtášii Sámedikki politihkkára geas dávjá jo lea iežas barggus stuorra dienas , ja dáiddasearvvi jođiheaddji geas ii leat dadjanveara dienas , ja sutno goappatlágan bálkkášumi , de gal 	varra 	haksošgoahtá unohis skuordnavuohta sis geain lea fápmu servodagas . ¶ERR
- Dat lea albma váivašuvvon 	varra 	hádja , mii lea báidnán olles dálu . ¶
Dat ii anit go dievva 	varra 	lea golgán sisa , muitala John Moeng . ¶
Lihkus min bearrašis leaskarovvá doalái goittotge mus viehka buori fuola , 	varra 	danin , go ledjen áidna nieida . ¶ERR
Lea 	varra 	dárbbašlaš plánet buoret dán áigodaga . ¶ERR
Ii fal dakkáriid maid don ovttatmanu jurdilat , muhto sámi « Láhttejeddjiid » Ja dalle han don 	varra 	smiehtastat , mii dat ges lea ? ¶ERR
Ailo jáhkká son lei 	varra 	gáidan eret iežas duogážis . ¶ERR
Neavttárat dihtet ja 	varra 	iešge Olsen diehtá ahte Monologa lea oalle hástalus neavttašit . ¶ERR
-”Na , vuitin 	varra 	” Ungdommens Kulturpris ” danin go mun rahkadan mushikka ja lávlai mat dán áige nuorat liikojit . ¶ERR
- Mun lávlen ” Farsan ” ja maiddái ” Partyjoik ” doppe , lei 	varra 	cajehit ahte sahtan leat hui duohtavas ja maiddái leat veahás mielaheapme . ¶ERR
-”Na , vuitin 	varra 	” Ungdommens Kulturpris ” danin go mun rahkadan mushikka ja lávlai mat dán áige nuorat liikojit . ¶ERR
- Mun lávlen ” Farsan ” ja maiddái ” Partyjoik ” doppe , lei 	varra 	cajehit ahte sahtan leat hui duohtavas ja maiddái leat veahás mielaheapme . ¶ERR
- Leahan mus dadttetge jurdagiin muhtinlágan balut , dego dat mo munno mánná Mihkkal beassá dáppe šaddat ; oažžugo son šaddat dáppe seammaláhkai go dat mánát , geainna lea dáid olbmuid 	varra 	; olgguštuvvogo son , go su sohka lea guhkkin eará guovllus , smiehtada Minna , muhto seammás joatká : ¶
Mii vuodjit suhkkes rođa čađa ja 	varra 	ruohtada suonain . ¶
- Lea okta stuora ášši mii lea boastut duinna ; dus ii leat sámi 	varra 	suonain ! ¶
	Varra 	váilo máhttu sámeservodagas go eai oainne buori áššiid ? ¶ERR
Maid Issát ii diehtán boazodikšumis ja guollebivddus daid , de daid birra 	varra 	eai diehtán earáge olbmot . ¶ERR
Maid Issát ii diehtán boazodikšumis ja guollebivddus daid , de daid birra 	varra 	eai diehtán earáge olbmot . ¶ERR
Dál ii oro ráhkisvuohta ovdáneame , ja don 	varra 	it galggaše nu ollu beroštit das go dan ii daga . ¶ERR
Loahpas vuohtigođiime 	varra 	luottaid ja maiddái livvadan sajiid mas vardá . ¶
Dál ferten ain garraseabbot hárjehallat vai beasan alit dássái , muđui ii leat 	varra 	vejolašvuohta beassat jovkui , logai Martin Nordbye dalá máŋŋá čiekčama . ¶ERR
	Varra 	cirggádii nu ahte mun meanahuvven ja ballájin olggos , muittaša Lea . ¶
Dan botta go Lea lei leamašan olgun de divššui su eadni vielja , ja álggos son dušše giesai livskku juolggi birra , čiekŋalis hávi bokte nu ahte 	varra 	bisánii . ¶
	Varra 	vulggii eret . ¶
Erenoamážit Guovdageainnu bargiguoktá - Elle-Márjá Vars ja Inger Margrethe Olsen - lei 	varra 	somá deaivat . ¶ERR
Sámi Valáštallan Lihttu lea vaháguvvon stuorra háviin máid dál ferte dikšut ovdal go 	varra 	guođđá ja heagga manná . ¶
Sámi Valáštallan Lihttu lea vaháguvvon stuorra háviin máid dál ferte dikšut ovdal 	varra 	guođđá ja heagga manná . ¶
	An Account of the Sami ¶
Ja go boazu lea njuvvon , de 	varra 	váldo bohcco iežas čoavjái . ¶
Ja de váldo veaháš sierra lihttái 	varra 	, mas márfi dahkko , jos lea boazu nu buoidi ahte leat márfebuoiddit . ¶
Ja gal Kaina 	varra 	lea vel dálnai veaháš soames báikkiin , veaháš dakkár bivdoolbmuin , mat sáhttet oktanaga ráhkistit ja vašuhit , iigo dat leat vašši go bidjet firpmiid váriide ja beahceeatnamiidda ? ¶
Das golgá 	varra 	, go dodjet gaskat . ¶
Dat galgá čuoigat nu ahte 	varra 	njálmmis boahtá , ja báhkkana nu ahte ferte ratti rahpat jur rabas . ¶
Ja vaikko olggos 	varra 	cirge dakko gokko luođđa boahtá , muhto go son snelke njálmmiin , de son bisseha vara ja váldá várkka eret . ¶
Ja nubbi : jos ulddat leat su biebmit dálvet , de eai sii fuola šatain go lea suosttuhan olbmo 	varra 	iežas . ¶
Sápmelaččain lea dávjá ratti vuolde vihki , ja dat loktana oaivái ja luoitá julggiide , ja dan vigi dálkkas lea : luito 	varra 	rumašvarrasuonas . ¶
Jiektavihkái maiddá luito 	varra 	. ¶
Muhto váldojuvvo beare moadde vuovtta bajil oaivvis , ja de ravget fáhkkestaga , vai náhkki luovvana luovos , mii lea darvánan gitta , vai beassá 	varra 	golgat su dábálaš lági mielde . ¶
Ja dat galgá jorgalit velá guovtti guvlui , vai cuvke eambbo , ja vai boađále juobe golbma goaikkanasage 	varra 	. ¶
Ja go dat olggos boahtá , de lea nu ruoksat dego 	varra 	. ¶
Muhto gávdnojit gal dakkárat , ahte go ožžot gullat , de juo bisána 	varra 	golgamis , muhto eai dakkárat leat olu . ¶
Ja okta dálkkas čoaskinvihkái lea bohcco ealli 	varra 	, juhkkojuvvo . ¶
Ja jos ii gávdno ealli 	varra 	, de váldo galbma varra ja seaguhuvvo dassážii go šaddá liđbmat dahe fiinnis , ja de juhkkojuvvo jur njuoskkasin . ¶
Ja jos ii gávdno ealli varra , de váldo galbma 	varra 	ja seaguhuvvo dassážii go šaddá liđbmat dahe fiinnis , ja de juhkkojuvvo jur njuoskkasin . ¶
Ealli 	varra 	ii boađe iežá ládje go čuggejuvvo boazu , ja de dakkaviđe váldá lihttái vara ja juhká , jos ii leat skihpa olmmoš dan meare vuoimmis , ahte veadjá mannat ieš bohcco lusa ja juhkat dakkaviđe go varra golggiida . ¶
Ealli varra ii boađe iežá ládje go čuggejuvvo boazu , ja de dakkaviđe váldá lihttái vara ja juhká , jos ii leat skihpa olmmoš dan meare vuoimmis , ahte veadjá mannat ieš bohcco lusa ja juhkat dakkaviđe go 	varra 	golggiida . ¶
Dat bisána 	varra 	dahje dadjet : varra lohppe . ¶
Dat bisána varra dahje dadjet : 	varra 	lohppe . ¶
Ja de das álgá golgat ruođđi dahe 	varra 	eanet go gierdá olmmoš , ja de lea das váralaš , dainna lágiin leat olu jápmán Sámis nissonat , go leat nu hárve dakkárat , geat dihtet dasa ráđi . ¶
Muhtun sámit leat dakkárat , go gulletge , de juo bisána 	varra 	golgamis . ¶
( Čilgehus dasa , manne lea muhtun olbmos dakkár leaves 	varra 	, ahte viggá veaháš šaddat seahkanussii . ¶
Ja son ieš viegai juohke báikki birra geahččame , lea go 	varra 	gokkoge . ¶
Ja 	varra 	golggai čađa loktaláhtti vulos . ¶
Ealli 	varra 	lea dakkár mas muođut ruoksájit valjis vara geažil . ¶
Oktii čullen gieđa , hirbmadit bođii 	varra 	, X ‐ áhkku eará válddii gáfiid . ¶
ahte 	varra 	láhtis . ¶
Olbmot lávejedje rimškalit maid sohkkara hávi ala , dat dollii vara : Ja go 	varra 	golgagođii , ¶
meahcis ládjosajis ja mun čuolastin ja das golggai hirbmosit 	varra 	. ¶
) Jos njunis golggai 	varra 	, galggai gužžat ullui ja bidjat dan ¶
Dat gal lea buorre dálkkas , dat gal ii 	varra 	beasa golgat ja dat álgá savvut . ¶
) Maiddái suohkat , káffe , sohkar ja bohcco 	varra 	 ¶
Olbmos galggai leat nana 	varra 	vai basttii doaibmat noaidin . ¶
Dat lei dieđus dalle dan láhkai , dat galggai bissehit dan láhkai , ahte [ sus , guhte 	varra 	 ¶
Ruoksadin báitá olbmo 	varra 	, go guovssahasain ellet goddon ¶
Váibmu ja 	varra 	leat dan sajit gorudis . ¶
dahje « rumašsiellu » jávká gorudis go 	varra 	luitojuvvo ( Edsman 1994 : 156 ) . ¶
Sámi 	varra 	, moŋgolvarra rávnnjas ain vel suonaid mield . ¶
Sáme 	varra 	, moŋgolvarra rávnnjas ain vel suonaid mield . ¶
Go geahččá Erkke Jovsseha veršuvnna , de vuosttas ja goalmmát garggas son čállá moŋgolsohka // moŋgolsitkes 	varra 	// sitkes sohka . ¶
Málli - 	varra 	. ¶
Málli lea dan suopmanis ealibiid 	varra 	mii geavahuvvo málisteapmái . ¶
ilgadis biebmu go 	varra 	lea olbmos ja ealli eallis . ¶
